sense,sentence,centroid_cs
white.a.02,"This patient was a 65 - year old white male accountant who entered the New York Hospital for his fourth and terminal admission on June 26 , 1959 , because of disabling weakness and general debility .",0.8478282832559444
white.a.02,Wilson came by train from Birmingham and looked the city over ; the rather pleasant white city was on the hill where the chief stores were .,0.8591624108991767
white.a.02,"It had been there 50 years or more and everybody in town , black and white , knew of it .",0.7863384398858316
white.a.02,"There were two liquor saloons not very far from the church , one white , that is conducted for white people with a side entrance for Negroes ; the other exclusively Negro .",0.7837778921988492
white.a.02,Why should a white hotel be set down in the center of Black Bottom ?,0.8430832732593398
white.a.02,I do n't understand why a white hotel should be down here '' .,0.8546462331243435
white.a.02,`` It 's a house of prostitution for white men with white girls as inmates .,0.8819980909991536
white.a.02,They buy some supplies from our colored grocers and they are patronized by some of the best white gentlemen in town '' .,0.886295689449813
white.a.02,"This , of course , was the sort of thing that used to take place in Southern cities - putting white houses of prostitution colored girls in colored neighborhoods and carrying them on openly .",0.8470977959543083
white.a.02,"The inmates were white and from out of town , avoiding local friction .",0.8473475762406111
white.a.02,The backing from the white town was greater and there was little publicity .,0.8790817214068449
white.a.02,"Under the trees , there was a dead redcoat , a young boy with a pasty white skin and a face full of pimples , who had taken a rifle ball directly between the eyes .",0.671611310878549
white.a.02,"`` I 've never done this before '' , they always said , shaking their dresses down over their white shoulders .",0.7435242396301341
white.a.02,"In town after town my companion pointed out the Negro school and the White school , and in every instance the former made a better appearance ( it was newer , for one thing ) .",0.854040910043101
white.a.02,"The Negro composer Hall Johnson studied the Americanegro Suite and said of it , `` Of all the many songs written by white composers and employing what claims to be a Negroid idiom in both words and music , these six songs by Harold Arlen and Ted Koehler easily stand far out above the rest .",0.8390108962105262
white.a.01,"Spectators in white crush textures dip toe and heel in smooth black , navy and taffy tan .",0.7847045017449081
white.a.01,At right is a casual style in a crushed unlined white leather .,0.8375242516173953
white.a.01,"A good formulation will keep the clothes clean and white after many washings ; whereas , with a poor formulation , the clothes exhibit a build-up of `` tattle-tale grey '' and dirty spots - sometimes with bad results even after the first wash .",0.7375664759279453
white.a.01,"The firm red spleen weighed 410 gm. , and its surface was mottled by discrete , small patches of white material .",0.8376250597077515
white.a.01,This was chiefly because of the bluish white autofluorescence from the cells .,0.7546783358180102
white.a.01,"Dice , for example , he inferred from black dots on a white surface .",0.7598082678395905
white.a.01,Pels also sent a check for $ 100 to Russell 's widow and had a white marble monument erected on his grave .,0.7440309360889562
white.a.01,He smiled and stuck a large finger with white hairs sprouting on it into his ear as though that might help .,0.853820283896155
white.a.01,"Only the top of the head , with a spot bare and white as a clamshell , remained visible .",0.7988039362157975
white.a.01,"On the Christophers ' lawn , little girls in white pinafores were playing grownups at a tea party .",0.7934772216126442
white.a.01,The white clad trees stood like specters in the February night .,0.7826270287946565
white.a.01,"Underneath the big one , in the silent moonlight , lay a dead pigeon , and on the smaller bell , the Clemence , two gray and white birds slept huddled together in the cold winter air .",0.7836485706187752
white.a.01,Below the moon splashed world rolled away to insurmountable white peaks ; above him the deep blue sky glittered with stars .,0.8633988917332809
white.a.01,The firelight played over Eli 's flowing white locks and rugged features .,0.8073593726292222
white.a.01,"The infant , in white terry-cloth bathrobe , her face intense and purposeful , had essayed a few wobbly steps toward her father .",0.756022249128576
white.a.01,"They answered him in monosyllables , nods , occasionally muttering in Greek to one another , awaiting the word from Papa , who restlessly cracked his knuckles , anxious to stuff himself into his white Cadillac and burst off to the freeway .",0.7257629764349469
white.a.01,"Michelangelo found the rabbi in the room of study , a gentle old man with a white beard and luminous grey eyes , robed in black gabardine with a skullcap on his head .",0.8409594324772028
white.a.01,`` I am carving a Pieta from white Carrara marble .,0.8050586520376987
white.a.01,"Argiento made him lie down on the bed , brought a pan of hot water , dipped some clean white linen cloth and applied it to extract the splinter .",0.8004123910158408
white.a.01,"A mist was walking on the water , white as cotton , but with a blending and merging grace .",0.7754444001173258
white.a.01,"Along Wappinger Creek in Dutchess County , past the white church at Fishkill , past Verplanck 's Point on the east bank of the Hudson , to the white salt crusted roads of the Long Island Rockaways there was a watching and an activity of preparing for something explosive to happen .",0.7087807065470937
white.a.01,"Along Wappinger Creek in Dutchess County , past the white church at Fishkill , past Verplanck 's Point on the east bank of the Hudson , to the white salt crusted roads of the Long Island Rockaways there was a watching and an activity of preparing for something explosive to happen .",0.7087807065470937
white.a.01,"And all this too shall pass away : it came to him out of some dim corner of memory from a church service when he was a boy - yes , in a white church with a thin spur steeple in the patriarchal Hudson Valley , where a feeling of plenitude was normal in those English Dutch manors with their well-fed squires .",0.8237766815537755
white.a.01,"Abel sat and regarded the farm country which , spreading out from both sides of the road , rolled greenly up to where the silent white houses and long barns and silos nested into the tilled fields .",0.8216221048516424
white.a.01,"She had surprised Hans like she had surprised me when she said she 'd go , and then she surprised him again when she came back so quick like she must have , because when I came in with the snow she was there with a bottle with three white feathers on its label and Hans was holding it angrily by the throat .",0.8347111939000281
white.a.01,"It was a fine broody hen , white , with a maternal eye and a striking abundance of feathers in the under region of the abdomen .",0.7545556535171302
white.a.01,"His face was ruddy and heavy and unlined , and when he laughed he showed his teeth , which were big and white and strong and unquestionably home-grown .",0.8028931909039337
white.a.01,I do n't remember ever seeing teeth that were quite so white and at the same time quite so emphatically not dentures .,0.8157431146677661
white.a.01,It was almost as white as his teeth .,0.7483786579647458
white.a.01,It slashed the sloping manure scented lawns with concrete steps which climbed upward to white wooden porches .,0.8500509943881923
white.a.01,He would not be like the `` rich Americans '' who lived in white columned houses on the other side of the park .,0.8308507714078305
white.a.01,"Her tanned foot , whose arch swept high and white , pointed artfully toward tapering toes - toes like fingers , whose tips glowed white .",0.8088787879069667
white.a.01,"Her tanned foot , whose arch swept high and white , pointed artfully toward tapering toes - toes like fingers , whose tips glowed white .",0.8088787879069667
white.a.01,"With his mouth opened wide , he squirted the warm white milk against the roof of his mouth and his tongue savored the light , earthy taste of it .",0.7692085754794943
white.a.01,"Also , she lived in continual fear of finding a white worm curled up in a neat , mean little heap at the white center of the radish .",0.7998026662377499
white.a.01,"Also , she lived in continual fear of finding a white worm curled up in a neat , mean little heap at the white center of the radish .",0.7998026662377499
white.a.01,"The sweep of space , the delicate counterbalance of the white masses , the over-all completeness and unity , the originality and imagination , all entitle it to be called an authentic masterpiece .",0.7196363018036067
white.a.01,"Arteries and veins are apparent by their black , blood-filled centers and the surrounding white walls .",0.8220974441912752
white.a.01,"First came the cannon fodder , white clad civilians being driven into death as a massive human battering ram .",0.7805313920201438
white.a.01,"The preparations were elaborate : flowers , candles , incense sticks , rice wine , dozens of delicacies , and pieces of white cotton string .",0.7747078707358058
white.a.01,"I have no picture in my mind of the garden as a whole - that I could not see - but certain aspects of certain corners linger in the memory : wind-blown , frost-bitten , white chrysanthemums beneath a window , with their brittle brown leaves and their sharp scent of November ; ripe pears lying in long grass , to be turned over by a dusty slippered foot , cautiously , lest bees still worked in the ragged , brown edged holes ; hot colored verbenas in the corner between the dining-room wall and the side porch , where we passed on our way to the pump with the half gourd tied to it as a cup by my grandmother for our childish pleasure in drinking from it .",0.8268822801357504
white.a.01,"She stood there , watching Holden come in , and she put the piece of toast in her mouth and bit off one corner with a huge chomp of her white teeth .",0.7608445873482786
white.a.01,"He took up a white sheet of paper , dark with single-spaced data .",0.7461149810832791
white.a.01,White shirted and conservatively cravated drivers stared conspicuously toward the eastern horizon and past my supplicating and accusing gaze .,0.7853357951577573
white.a.01,"`` Mor-ee-air-teeeee '' , he shrieked , his white teeth grossly counterpointing those of the glittering blonde .",0.8042446315409181
white.a.01,"At once my ears were drowned by a flow of what I took to be Spanish , but - the driver 's white teeth flashing at me , the road wildly veering beyond his glistening hair , beyond his gesticulating bottle - it could have been the purest Oxford English I was half hearing ; I would n't have known the difference .",0.7900824337408062
white.a.01,"White teeth suddenly vanishing , the driver slammed the side of his bottle against Johnson 's ear .",0.6718249102627741
white.a.01,"In the ditch sand was white and soft looking , only an occasional pebble discernible , faintly gleaming .",0.7931916397943848
white.a.01,"It raced closer and they could see a woman with white hair , sitting astride an upright branch .",0.8227913958827103
