sense,sentence,centroid_cs
state.n.02,"In representing part of this new picture , I will be recounting some of my own personal experiences , reactions and judgments ; but my primary aim is to transcribe what Englishmen themselves are saying and writing and implying about the Roman and Anglican Churches and about the present religious state of England .",0.7256137516856926
state.n.02,"Because he interprets the primitive state of man as one of mere potentiality or capacity and believes that Adam and Eve were created as children , Irenaeus often seems inclined to extenuate their disobedience as being `` due , no doubt , to carelessness , but still wicked '' .",0.7987423655969748
state.n.02,"But He set a bound to his [ state of ] sin , by interposing death , and thus causing sin to cease , putting an end to it by the dissolution of the flesh , which should take place in the earth , so that man , ceasing at length to live in sin , and dying to it , might live to God '' .",0.8294704415255827
state.n.02,"If this aspect of death as punishment is not distinguished from the idea of death as natural termination , the conclusion seems inevitable that temporal existence itself is a form of punishment rather than the state into which man is put by the will of the Creator .",0.8018292417834366
state.n.02,"The fruit is then cooled to 42 ` F. , a temperature at which it lapses into a sort of dormant state .",0.8006241407977465
state.n.02,"Although the tape was run for over 1 hr. , a steady state was not reached , and it was concluded that the reason for this was that the back pressure of the manometer was built up from the material fed from between the blocks and this was available at a very slow rate .",0.7265955009971612
state.n.02,"The maximum suction was 3.25 '' of test fluid measured from the top of the block , and steady states were apparently reached with these fluids .",0.7423770167773162
state.n.02,In the above development we have applied the thermodynamics of equilibrium ( referred to by some as thermostatics ) to the steady state .,0.6683923991503974
state.n.02,"There is a well-known relationship between probability and entropy which states that * * f , where \q is the probability that state ( i.e. , volume for an ideal gas ) could be reached by chance alone .",0.7163884620173637
state.n.02,"According to Whipple ( 1955 ) , cometary debris is sufficient to replenish the material spiraling into the sun , maintaining a fairly steady state .",0.7700280212670629
state.n.02,"Apart from the honeybee , practically all bees and bumblebees hibernate in a state of torpor .",0.8231118136093074
state.n.02,"Consequently , if for any reason the hypothalamic excitability falls below the physiological level , the lessened hypothalamic cortical discharges lead to a diminished state of activity in the cortex with consequent reduction in the cortico-fugal discharges .",0.8718094685801165
state.n.02,"Before we comment further on these pathological conditions , we should remember that changes in the state of the hypothalamus within physiological limits distinguish sleep from wakefulness .",0.8112249955704285
state.n.02,"The Mecholyl and noradrenalin tests applied with certain precautions are reliable indicators of this central autonomic balance , but for the sake of correlating autonomic and clinical states , and of studying the effect of certain therapeutic procedures on central autonomic reactions , additional tests seem to be desirable .",0.7686999228675891
state.n.02,The fundamental differences between physiological and pathological states of parasympathetic ( and also of sympathetic ) dominance remain to be elucidated .,0.7615399469178521
state.n.02,"A state of parasympathetic `` tuning '' of the hypothalamus induced experimentally causes not only an increase in the parasympathetic reactivity this structure to direct and reflexly induced stimuli , but leads also to an autonomic reversal : a stimulus acting sympathetically under control conditions elicits in this state of tuning a parasympathetic response !",0.8466543806617143
state.n.02,"A state of parasympathetic `` tuning '' of the hypothalamus induced experimentally causes not only an increase in the parasympathetic reactivity this structure to direct and reflexly induced stimuli , but leads also to an autonomic reversal : a stimulus acting sympathetically under control conditions elicits in this state of tuning a parasympathetic response !",0.8466543806617143
state.n.02,"It has further been shown that : ( 1 ) an experimental neurosis in its initial stages is associated with a reversible shift in the central autonomic balance ; ( 2 ) drugs altering the hypothalamic balance alter conditioned reactions ; ( 3 ) in a state of depression , the positive conditioned stimulus may fail to elicit a conditioned reaction but cause an increased synchrony instead of the excitatory desynchronizing ( alerting ) effect on the EEG .",0.7892334879187444
state.n.02,"These are few and seemingly disjointed data , but they illustrate the important fact that fundamental alterations in conditioned reactions occur in a variety of states in which the hypothalamic balance has been altered by physiological experimentation , pharmacological action , or clinical processes .",0.7944053700301086
state.n.02,"Furthermore , a functional antagonism exists between an aggressive attitude and a state of anxiety .",0.853741486501206
state.n.02,"Although in both emotions sympathetic symptoms are present , different autonomic somatic patterns underlie aggression and anxiety , respectively , as indicated by the rate of the excretion of the catecholamines , the state of the muscle tone , and the Mecholyl test .",0.7976653028495464
state.n.02,"Although we are still far from a complete understanding of these problems , as a first approximation , it is suggested that alterations in the hypothalamic balance with consequent changes in the hypothalamic cortical discharges account for major changes in behavior seen in various moods and states of emotions in man and beast under physiological circumstances , in experimental and clinical neurosis , and as the result of psychopharmacological agents .",0.8049643284350301
state.n.02,"In view of the important role which emotional disturbances play in the genesis of neurotic and psychotic disorders and the parallelism observed between autonomic states and psychological behavior in several instances , it is further suggested that a hypothalamic imbalance may play an important role in initiating mental changes .",0.7530727603797112
state.n.02,"Religion usually also includes a principle of compensation , mainly in a promised perfect future state .",0.7930124675081577
state.n.02,"Finally , it gives sanctity , more than human legitimacy , and even , through super empirical reference , transcendent and supernatural importance to some values ; for example , marriage as a sacrament , much law-breaking as sinful , occasionally the state as a divine instrument .",0.6366089354464145
state.n.02,"In the only sense in which badness is involved at all , whatever was bad in the first case is still present in its entirety , since all that is expressed in either case is a state of feeling , and that feeling is still there .",0.8682602169454168
state.n.02,"I wanted to wipe my flint , but I did n't dare to , the state my hands were in , just as I did n't dare to do anything about the priming .",0.7387132303664835
state.n.02,By the second day Michelangelo began to worry ; and by the second night he was in a state of panic : he could see nothing out of the afflicted eye .,0.7690195284928635
