sense,sentence,centroid_cs
wrong.a.02,"If we were asked why we thought so , we should say that these things involve great evil and are wrong , and that to take delight in what is evil or wrong is plainly unfitting .",0.8674575647948483
wrong.a.02,"If we were asked why we thought so , we should say that these things involve great evil and are wrong , and that to take delight in what is evil or wrong is plainly unfitting .",0.8674575647948483
wrong.a.02,"To interpret , indeed , the era from 1000 to 800 as a period mainly of consolidation may be a necessary but unfortunate defect born of our lack of detailed information ; if we could see more deeply , we probably would find many side issues and wrong turnings which came to an end within the period .",0.7744411116259076
wrong.a.02,"In their search for what turned out to be the right breakfast china but the wrong table silver , they opened every cupboard door in the kitchen and pantry .",0.6934315246458659
wrong.a.02,"`` I was wrong '' , I admitted .",0.7257631735198682
wrong.a.02,"He had no apparent comprehension of morality ; he divided humanity into `` right guys '' and `` wrong guys '' , and the wrong ones he was always willing to kill and trample under .",0.854985991240517
wrong.a.02,"He had no apparent comprehension of morality ; he divided humanity into `` right guys '' and `` wrong guys '' , and the wrong ones he was always willing to kill and trample under .",0.854985991240517
wrong.a.02,"It is possible that the study of literature affects the conscience , the morality , the sensitivity to some code of `` right '' and `` wrong '' .",0.8682506570129721
wrong.a.02,"Still , it would be surprising if what one reads did not contribute to one 's ideas of right and wrong ; certainly the awakened alarm over the comic books and the continuous concern over prurient literature indicate some peripheral aspects of this influence .",0.7762413095037393
wrong.a.02,"He , McBride , would be cited as in the wrong , and he , Lord , would go scot-free , an officer who had only done his duty , though perhaps too energetically .",0.7712396612035878
wrong.a.02,I 'm not steering you wrong .,0.6702793463147919
incorrect.a.01,"`` You 're wrong '' , said Arnold , a man who knows the rules .",0.8925004249625405
incorrect.a.01,But at least the pessimists who believed that the world organization had plunged to its death in that plane crash in the Congo have been proved wrong .,0.7843725463223163
incorrect.a.01,"What in the name of God was he doing , crouched in a timbered pit on the wrong bank of the river ?",0.6487983948455406
incorrect.a.01,"The man began to creep in the wrong direction , deceived by a slight rise in the ground !",0.6439047999219042
incorrect.a.01,But you 're wrong about the rest of it .,0.8516832433700842
incorrect.a.01,Adam Smith was wrong .,0.8760398977340627
incorrect.a.01,"He played a number of typical situations before observers , other supervisors who kept notes and then explained to him in detail what he did they thought was wrong .",0.7260620008913549
incorrect.a.01,"`` You 've give me the wrong change '' , said the customer sharply .",0.7576998334201087
incorrect.a.01,"Madden knew that he could be completely wrong about all this , but also knew that he would go right on disliking Garth .",0.8484422059431254
incorrect.a.01,`` I 'll show you how wrong you are .,0.8343398044295578
incorrect.a.01,"But you 're all wrong , man !",0.8736469665992466
incorrect.a.01,He 's wrong !,0.8904090823102249
incorrect.a.01,"`` I think you 're wrong , Eddie '' , he said finally .",0.8816490263436982
