sense,sentence,centroid_cs
change.v.02,"But it must be readily seen that the religious picture in England has so greatly changed during these hundred years as to engender hope , at least on the Catholic side .",0.8977145952484076
change.v.02,"In addition , our way of dealing directly with natural phenomena has also changed .",0.8327514744144697
change.v.02,"In child care , the opposite extreme prevails ; procedures change rapidly and parental confidence probably exceeds anything warranted by established psychological theory .",0.832173669066583
change.v.02,This region which had a higher temperature than the rest of the anode surface changed size and location continuously .,0.7905121670458504
change.v.02,The direction in which the arrow points shows how the maturity level of the growth center was changed at Completion from the level at Onset .,0.8456483014233459
change.v.02,"Further , we see by Lemma 2 that the multiplicity of f can only change at a tangent point , and at such a point can only change by an even integer .",0.7765800340110681
change.v.02,"Further , we see by Lemma 2 that the multiplicity of f can only change at a tangent point , and at such a point can only change by an even integer .",0.7765800340110681
change.v.02,And suppose that the circumstances have now so changed that the feeling with which we made the remark in the first place has faded .,0.8274800668017795
change.v.02,Thus every part and plane of the picture keeps changing place in relative depth with every other part and plane ; and it is as if the only stable relation left among the different parts of the picture is the ambivalent and ambiguous one that each has with the surface .,0.7300499366943045
change.v.02,It was possible to maintain aerobic conditions in the pond by regular additions of sodium nitrate until the temperature decreased and the algae population changed from blue-green to green algae .,0.7880331961910487
change.v.02,"Now times have changed , and I must pretend that hair does n't grow on my face .",0.7778084475656502
change.v.02,"I must state that the faster things happened , the slower they happened ; the passage and rhythm of time changed , and when I remember back to what happened then , each event is a separate and frozen incident .",0.8142105029709669
change.v.02,"It was only hours since I had last seen them , but they had changed and I had changed .",0.7964803284834117
change.v.02,"It was only hours since I had last seen them , but they had changed and I had changed .",0.7964803284834117
change.v.02,"`` All too frequently '' , points out James O' Gara , managing editor of Commonweal , `` Catholics run roughshod over Protestant sensibilities in this matter , by failure to consider the reasoning behind the Protestant position and , particularly , by their jibes at the fact that Protestant opinion on birth control has changed in recent decades '' .",0.8324600690356518
change.v.02,"The land , too , is changing , and earthquakes are daily reminders of this .",0.7885128008871596
change.v.02,"I was having lunch not long ago ( apologies to N. V. Peale ) with three distinguished historians ( one specializing in the European Middle Ages , one in American history , and one in the Far East ) , and I asked them if they could name instances where the general mores had been radically changed with `` deliberate speed , majestic instancy '' ( Francis Thompson 's words for the Hound of Heaven 's pursuit ) by judicial fiat .",0.8195073927893981
change.v.02,"Chewing it over with his colleagues and in his own mind , he reaches a tentative identification of the question - tentative because it may change as he explores it further and because , if no tolerable answer can be found , it may have to be changed into one which can be answered .",0.7391188568110275
change.v.02,To want to change is the third step .,0.7679158597218566
change.v.02,"Particularly was this true when the norms previously applied were no longer satisfactory to many , when customs were rapidly changing as the forces of the new productivity were harnessed .",0.826549254431808
change.v.02,"He stopped automatically at the street corners , waiting for the traffic lights to change , unheeding of other people , his coat open and flapping .",0.7458562524598351
change.v.02,"`` She won n't change her mind '' , Brannon said .",0.6840774866302909
change.v.02,"All the ideologies changing from day to day , right under his eyes , so how could a man look to any one of them for an enlargement of his freedom ?",0.7626462377023534
change.v.02,Was it possible that as people grow older the nature of time changed ?,0.8248622271582109
change.v.02,"He said `` Morris County is rapidly changing and unless steps are taken  to preserve the green areas , there will be no land left to preserve '' .",0.7457178558620128
change.v.02,"But , obviously , at least some things have changed for the better in Russia so far as the ballet is concerned .",0.8274924695217954
change.v.02,If any one of them has any power to veto the Secretary General 's decisions the nature of the organization will have changed .,0.8373024150427816
change.v.02,"If they give him advice when he asks it , or if they perform specified duties under his direction , the nature of the U. N. will not of necessity change .",0.8487387315965416
change.v.02,"With contemporary English changing with the rapidity that marks this jet age , some of the words and phrases of the new version may themselves soon become archaic .",0.7919644028755928
change.v.02,"He recalls with a wry smile the wit who said , on returning from a homecoming reunion , that he would never go again because all his class had changed so much they did n't even recognize him .",0.8220265823400202
change.v.02,"As early as 1928 , however , the Sloan style began to change .",0.8180814095736749
change.v.02,"Through previous centuries , eating changed by nearly imperceptible degrees , and mostly toward just getting enough .",0.8014567678671999
change.v.02,That mention of this should bring smiles to our lips today is as clear an indication as we could wish of the extent to which attitudes have changed .,0.8785036700527877
change.v.02,In mentioning this under `` salvation reconsidered '' I do not mean to imply that Roman Catholic doctrine has changed in this area but rather that it has become clearer to the world community what that doctrine is .,0.8860203280361257
change.v.02,"For if I knew the secret of letting this power in my body change directly into electricity , I could rent myself out to the electric companies and with just the power in my body I could light all the lights and run all the factories in the entire United States for some days .",0.7330746339556402
change.v.02,That purpose has never changed .,0.7932725239111293
change.v.02,"The road maps of the region have changed since 1905 ; inns have burned down , moved elsewhere , or taken other names .",0.8504374438323424
change.v.02,"Soon after the method changed , visitors began asking how he managed to irrigate his soil to keep it looking moist , when in reality , it was the soil treatment alone that accomplished this .",0.7765533023977008
change.v.02,"However , the last few years of your life , things seem to be changing .",0.8363425675558679
change.v.02,"Suddenly , however , their posture changed and the game ended .",0.809504385337034
change.v.02,"As his disciples boast , even though his emphasis is elsewhere , Faulkner does show his awareness of the changing order of the South quite keenly , as can be proven by a quick recalling of his Sartoris and Snopes families .",0.7561234397710523
change.v.02,One subject changed when given only the information that some people have something happen to their arm when they relax .,0.7418547240240048
change.v.02,"Five subjects ( 12 % ) did not change until they had been told that some people have something happen to their arm , what that something was , and also were given a demonstration .",0.77141568177217
change.v.02,Four subjects ( 10 % ) did not change even then but needed the additional information that an arm-elevation under these circumstances was a perfectly normal reflex reaction which some people showed while others did not .,0.7711580542877349
change.v.02,What had changed for him ?,0.6317900591954281
change.v.02,The pains themselves had not changed ; he had .,0.8320011105142401
change.v.02,"Thus events occurred , and victims changed in appearance , and new ones arrived .",0.8472394039942072
change.v.02,The land of Shayol did not change .,0.8145703476785994
change.v.01,"This cooling does not change the avocado in any way , it just delays the natural softening of the fruit until a grove like temperature ( room temperature ) is restored .",0.8271327980917238
change.v.01,"De Jager ( 1955 ) has calculated the times required for these particles to reach the atmosphere under the influence of the Poynting-Robertson effect , which in this case causes the orbits to become more and more eccentric without changing the semi major axis .",0.7583051531345802
change.v.01,"A high protein diet , calcium lactate supplements , and norethandrolone failed to change the skeletal complaint or the severe muscle weakness .",0.7108288295580508
change.v.01,"In spreading the factories even farther , the automobile may not have changed to any great extent the growth pattern of the cities .",0.8388257966142849
change.v.01,When a city has arranged things like this you cannot easily change them .,0.8488162187453306
change.v.01,"I have observed that being up on a horse changes the whole character of a man , and when a very small man is up on a saddle , he 'd like as not prefer to eat his meals there .",0.6904526982629186
change.v.01,"And in any case , answers may clarify but they do not change anything .",0.7521824978843293
change.v.01,"Argiento had been trained so rigorously by the Jesuits that Michelangelo was unable to change his habits : up before dawn to scrub the floors , whether they were dirty or not ; water boiling on the fire for washing laundry every day , the pots scoured with river sand after each meal .",0.7970167056477032
change.v.01,Suppose her father had changed his mind and had refused to let her leave ?,0.671521791635489
change.v.01,"First thing I did after my twenty-first birthday was go into court and have it officially changed , and this is something I do n't tell everybody .",0.7415060344888211
change.v.01,Twenty-four hours had changed him from a performer to a freak .,0.6767507921092543
change.v.01,She had helped him change his mind .,0.7251107147090845
change.v.01,"`` He works for my father '' , the girl said , and then seemed to change her mind .",0.633947906768716
change.v.01,`` I wrote Bill in my last letter to forget that I had told him that I did n't mean to reconsider my decision not to change my mind - and he seems to have misunderstood me '' .,0.7426384700504388
change.v.01,Modern times have changed the world beyond recognition .,0.7693049445564056
change.v.01,"Now they learn that men can change their surroundings , through their traditional village elders , without violence .",0.8215717776115162
change.v.01,"Moreover , the law of the land is not irrevocable ; it can be changed ; it has been , many times .",0.8298503612543613
change.v.01,The shutter aperture may be made larger or smaller by changing the foil area and adjusting the electrical energy input to the foil .,0.779018838033511
change.v.01,A small pressure unbalance displaces the diaphragm and changes the capacitance between the diaphragm and an electrically insulated plate spaced 0.001 in. apart ( for * * f ) .,0.7756958876595328
change.v.01,"The 1954 Amendments completely changed the financing of the vocational rehabilitation program , providing for a three part grant structure - for ( 1 ) basic support ; ( 2 ) extension and improvement ; and ( 3 ) research , demonstrations , training and traineeships for vocational rehabilitation - and in addition for short-term training and instruction .",0.7944377103580944
change.v.01,"Chewing it over with his colleagues and in his own mind , he reaches a tentative identification of the question - tentative because it may change as he explores it further and because , if no tolerable answer can be found , it may have to be changed into one which can be answered .",0.7699939742423461
change.v.01,"He refused to change his approach , and instead he attacked high and low - the officials for their not backing him , and subordinates for their laxness , stupidity , and stubbornness .",0.7956890674036888
change.v.01,The engineer turned works manager had a particular view of life - and refused to change it .,0.803341888564311
change.v.01,"Codification was followed in all countries by a growing amount of legislation , some changing and adjusting the older law , much dealing with entirely new situations .",0.7612309289275674
change.v.01,"The change was not quite so dramatic as it sounds because in fact common norms continued to be invoked by municipal courts and were only gradually changed by legislation , and then largely in marginal situations .",0.8079247164786486
change.v.01,She had reason to change the one she made right after Mr. Meeker 's death .,0.7494161457366598
change.v.01,Senate Republican Leader Dirksen [ Ill . ] and House Republican Leader Charles Halleck [ Ind . ] said the message did not persuade them to change their opposition to compulsory medical insurance .,0.7860124387775791
change.v.01,`` The church 's ability to change her methods is going to determine her ability to meet the challenge of this hour '' .,0.8507431409005558
change.v.01,"The trial will be held , probably the first week of March , in the famous Old Bailey central criminal court where Klaus Fuchs , the naturalized British German born scientist who succeeded in giving American and British atomic bomb secrets to Russia and thereby changed world history during the 1950 s , was sentenced to 14 years in prison .",0.7135220949834227
change.v.01,"The first one , two years ago , changed the routine of their home life .",0.797284721868401
change.v.01,"New Mexico 's Clint Anderson offered a resolution to change the Senate 's notorious Rule 22 to allow three-fifths of the Senators present and voting to cut off debate , instead of the current hard-to-get two-thirds .",0.7809572320590421
change.v.01,"Having whipped Mr. De Sapio in the primaries and thus come into control of Tammany Hall , they have changed the name to Chatham Hall .",0.7301598838120257
change.v.01,Change our taxing law so that no tax shall be charged to any owner for additions or improvements to his properties .,0.6994983709868152
