sense,sentence,centroid_cs
design.n.02,In this design the anode holder is water cooled and the heat losses by conduction from the anode were determined by measuring the temperature rise of the coolant .,0.7396512776384696
design.n.02,"This something leads to a conception of an over-all Social Plan with a meaning interpretable in terms of ultimate ends ; for example , a plan that fulfills the will of God , which advances the Kingdom of God , which involves social life as part of the Grand Design .",0.821653132062031
design.n.02,"His creative development of melodic designs of Slavic dance tunes and love songs is captivating : witty , clever , adroit , and subtle .",0.7927076034693986
design.n.02,"Just because a tree or other object appears in a certain spot is absolutely no reason to place it in the same position in the painting , unless the position serves the design of the whole composition .",0.8543260702817341
design.n.02,"`` Speed in painting a picture is valid only when it imparts spontaneity and crispness , but unless the artist has lots of experience so that he can control rapid execution , he would do well to take these first sketches and soberly reorder their design to achieve a unified composition .",0.8885792170735449
design.n.02,"However , first I thoughtfully study my sketch for improvement of color and design along the lines I have described .",0.8318672543956557
design.n.02,"With greater investments in plant facilities , with automation growing , you can n't switch around , either in volume or in product design , as much as was formerly possible - or at least not as economically .",0.8521305574591795
design.n.02,In this case also the design of the thermometer can be modified to reduce the helium film flow .,0.8531659432454203
design.n.02,"However , it determined that neither this factor , nor `` the fact that all concerned in high executive posts in both companies acted honorably and fairly , each in the honest conviction that his actions were in the best interests of his own company and without any design to overreach anyone , including du Pont 's competitors '' , 353 U. S. , at 607 , outweighed the Government 's claim for relief .",0.6787654402913526
design.n.02,The design of orthographies has received much less attention from linguists than the problem deserves .,0.844792524676695
design.n.02,"This , however , will not exhaust their practical usefulness , as they rather clearly indicate what thorough phonologic investigation can contribute to orthography design .",0.875692361494382
design.n.02,We need many more studies of this sort if the design of written languages is to be put on a sound basis .,0.8944809049731343
design.n.01,"Yet even here many a problem is presented ; as in a recent design competition with a floor plan and the simple command - `` design a luxury apartment '' ; no description of the client or his cultural level , no assertion of geographical area or local social necessities - simply `` a luxury apartment '' .",0.7833822211407697
design.n.01,At the end of its letter was the information that applicants for this position `` must also be prepared to teach costume design and advertising art '' .,0.8171810669510241
design.n.01,"Considerable specialization in teaching subjects such as architecture , furniture design , textiles and color is also desirable .",0.8372628171026436
design.n.01,It was shown that by proper anode design the net energy loss of the arc to the anode could be reduced to approximately 15 % of the total arc energy A detailed energy balance of the anode was established .,0.806229665767185
design.n.01,The use of high voltages and low currents by proper design to reduce electron heat transfer to the anode for a given power output .,0.7905803752421751
design.n.01,They also give information which will aid in the design of a more satisfactory instrument for the measurement of the normal pressures .,0.78280757722598
design.n.01,"There was only one way to accomplish this : by design , by drawing diagrams and sketches in which he probed the remotest corner of his mind for creative ideas to carry his concept .",0.804564941323293
design.n.01,"in his motherland ; in the spacious hunting grounds of `` Uncle Sam '' ; in the exciting salons of his lovely , brilliant Paris - mistress of gaiety - excess and abandon - world theatre of new found freedoms in tone , color , dance , design , and thought .",0.8224174846054267
design.n.01,"And like this English master , Mason realizes his subjects in large , simplified masses which , though they seem effortless , are in reality the result of skilled design born of hard work and a thorough distillation of the natural form that inspired them .",0.8727333233242368
design.n.01,"Like many others , he had to work hard , long hours in a struggling family business which , though it was allied to art of a kind - the design and production of engraved seals - bore no relation to the painting of pictures .",0.8136989011672262
design.n.01,"First I make preliminary watercolor sketches in quarter scale ( approximately * * f inches ) in which I pay particular attention to the design principles of three simple values - the lightest light , the middle tone , and the darkest dark - by reducing the forms of my subject to these large patterns .",0.8172261218536258
design.n.01,Good service starts with product design and planning :,0.8444311700350965
design.n.01,"As a result , many people have been confirmed in their conviction that orthography design is not an activity to which experts can contribute anything but confusion .",0.8277849332465949
