sense,sentence,centroid_cs
first.r.02,That 's how he first won the Masters in 1958 .,0.785131783331521
first.r.02,Allied Arts corporation first listed the Chicago dates as Dec. 4 thru 10 .,0.7774479758373273
first.r.02,Miss Sutherland first sang Lucia at Covent Garden in 1959 .,0.6910213804082496
first.r.02,When these groups were first formed many prominent and accomplished decorators could not have had the advantage of school training since interior design courses were rare and undeveloped during their youth .,0.838711230254191
first.r.02,In about seven years Griffith either invented or first realized the possibilities of virtually every resource at the disposal of the film maker .,0.7724427509269045
first.r.02,"Life is further characterized , in antithesis to Piepsam , as animal : the image of a dog , which appears at several places , is first given as the criterion of amiable , irrelevant interest aroused by life considered simply as a spectacle : a dog in a wagon is `` admirable '' , `` a pleasure to contemplate '' ; another wagon has no dog , and therefore is `` devoid of interest '' .",0.7500127797609203
first.r.02,"The radio emission of a planet was first detected in 1955 , when Burke and Franklin ( 1955 ) identified the origin of interference like radio noise on their records at about 15 meters wave length as emission from Jupiter .",0.8132402720133133
first.r.02,"The presence of normally occurring bronchial artery pulmonary artery anastomoses was first noted in 1721 by Ruysch , and thereafter by many others .",0.7923164541948197
first.r.02,"Splenomegaly was first noted in 1956 , and a sternal marrow biopsy at that time showed `` scattered foci of fibrosis '' suggestive of myelofibrosis .",0.8074380781703671
first.r.02,* * f was first conjugated with 50 mg of FITC per gram of globulin .,0.7531074910960361
first.r.02,"In these circumstances , since what was expressed by the remark when first made is , on the theory before us , simply absent , the remark now expresses nothing .",0.8088570351551412
first.r.02,"Though the spread of this type of decoration in the Aegean has not yet been precisely determined , it seems to appear first in the Cyclades , which were among the leading exporters of pottery throughout the century .",0.7139040502295937
first.r.02,"Ever since he had first begun to study music and to teach it , Rousseau had dreamed of piercing through to fame as the result of a successful opera .",0.8225350876230447
first.r.02,"All these emotions were screwed up to new heights when , after acceptance and the first rehearsals , there ensued such a buzz of excitement among Parisian music lovers that Duclos had to come running to Rousseau to inform him that the news had reached the superintendent of the King 's amusements , and that he was now demanding that the work be offered first at the royal summer palace of Fontainebleau .",0.72925926627389
first.r.02,I hated you when I first came in .,0.7725190368909487
first.r.02,At two thirty he sent Fujimoto to the top of the wall at the northeast corner of the mission to keep an eye on the ridge road and give a signal when he first glimpsed the approach of Kayabashi 's party .,0.7718014506521678
first.r.02,"She looked at the girl speculatively from eyes which had paled with the years ; from the early evening lights of them which had first startled Izaak to look at her in an uncousinly way , they had faded to a near absence of color which had , possibly from her constant looking at the water , something of the light of the sea in them .",0.8112602874909025
first.r.02,"When they first married he had been working in the fields all day , and she would get in the car and drive to wherever he was working , to take him a fresh hot meal .",0.7391580962915958
first.r.02,"Perhaps if Felix had first come upon us when this boy was not cavorting so gaily up and down the hall outside the murdered woman 's apartment , we might have had less trouble convincing Felix of our seriousness .",0.7469804669806969
first.r.02,"When Felix first opened the door on it , all these shades were tightly drawn and the whole studio was as dark as night .",0.8191626314843422
first.r.02,"Out of this background of hunting and fishing , it was only natural that Roy first painted subjects he knew best : hunters in the field , fishermen in the stream , ducks and geese on the wing - almost always against a vast backdrop of weather landscape .",0.7995236975619808
first.r.02,His interest in finding a relationship between voltaic electricity and magnetism is here first indicated .,0.7324933682317335
first.r.02,"Some date it from woman suffrage , others from when women first began to challenge men in the marketplace , still others from the era of the emancipated flapper and bathtub gin .",0.8034256922346371
first.r.02,"The truth is , however , that when Mel Chandler first reported to the regiment the only steed he had ever ridden was a swivel chair and the only weapon he had ever wielded was a pencil .",0.8436509310326749
first.r.02,"Although it was at the Battle of The Little Horn , about which more words have been written than any other battle in American history , that the 7 th Cavalry first made its mark in history , the regiment was ten years old by then .",0.8440099405321593
first.r.02,Hardly a window has been broken since Dunbar first was opened ( and vandalism in schools is a major problem in many slum areas ) .,0.7582094363809739
first.r.02,This is the primary function of the imagination operating in the absence of the original experiential stimulus by which the images were first appropriated .,0.8077718909514389
first.r.02,"These narratives of coarse action and crude language appeared first in local newspapers , as a rule , and later found their way between book covers , though rarely into the planters ' libraries beside the morocco bound volumes of Horace , Mr. Addison , Mr. Pope , and Sir Walter Scott .",0.7349025930231967
first.r.02,"`` We 've got Father and Mother and each other , '' said Beth on the first page of Louisa Alcott 's Little Women ; and , `` I do think that families are the most beautiful things in all the world '' , burst out Jo some five hundred pages later in that popular story of the March family , which had first appeared when Henrietta was eight ; and the Szold family , as it developed , bore a striking resemblance to the Marches .",0.6563477533954991
first.r.02,"By the time the child first attacks the actual problem of reading , he is completely familiar and at ease with all of the elements of words .",0.8221153024110337
first.r.02,"She could always predict what Stanley was going to do , ever since she first met him .",0.8046842239700004
first.r.02,Blanche could n't remember when she had first arrived at this conclusion .,0.8311584453517529
first.r.02,"Then , six weeks after the day Kitti first came into the office , Stanley announced he and Kitti were married .",0.8413343017703708
first.r.02,"Stevens was grunting over the last empty pocket when Russ abruptly rose and lunged toward Carmer 's hat , which had tumbled half-a-dozen feet away when he first fell .",0.7673049156248689
first.r.02,Her temper sparked like charcoal when it first lights up .,0.7507706864790008
first.r.02,"The night we first met , at one of Mrs. Monmouth 's giant parties , he was wearing a brown cashmere jacket with silver buttons and a soft pink Viyella shirt ; instead of a necktie he wore a leather bolo drawn through a golden ring in which was set a lump of pale pure jade .",0.8042231589856218
first.r.01,Pelham said Sunday night there was research being done on whether the `` quickie '' vote on the increase can be repealed outright or whether notice would have to first be given that reconsideration of the action would be sought .,0.7387661840366574
first.r.01,"First the Larkins are ahead , then the Jerebohms .",0.7775900279923702
first.r.01,"We may show , first , that there cannot possibly be an alternative other than the three typically represented by Bultmann , Barth , and Buri .",0.831411460601472
first.r.01,"Taking first things first , let 's understand the sport called gymnastics .",0.6757871040191701
first.r.01,"The right will land first , followed by the left .",0.749313236813365
first.r.01,"The interior designer , then , must first be an artist but also understand carpentry and painting and lighting and plumbing and finance .",0.8024896768022892
first.r.01,"This and other fears of the solar system have disappeared gradually , first , with the Ptolemaic system and its built-in concept of periodicity and then , more firmly , with the Newtonian innovation of an universal force that could account quantitatively for both terrestrial and celestial motions .",0.7811505733762074
first.r.01,We first discuss the **f bond in **f .,0.6729244205555565
first.r.01,The reactants for the gas phase experiments were first frozen out in a side arm attached to the manifold and then allowed to distill slowly into the manifold of pre-cooled reaction cells before sealing off .,0.792151795225441
first.r.01,"In criticism of the latter 's views , his conclusions were based upon dog lung injection studies in which all of the vascular channels were first filled with a solution under pressure and then were injected with various sized colored particles designed to stop at the arteriolar level .",0.7497080591120538
first.r.01,"Our own studies in which bronchial artery pulmonary artery anastomoses were demonstrated , were accomplished by injecting the bronchial artery first with no pressure on the pulmonary artery or vein , and then by injecting the pulmonary artery and vein afterwards .",0.7830230605936481
first.r.01,"First , the Onset Profile spreads across approximately 12 years for boys and 10 years for girls .",0.8593339676935677
first.r.01,"First , the upper portion requires series of films for every child , consisting of those from Hand , Elbow , Shoulder , Knee , and Foot .",0.872393919322476
first.r.01,On chemical grounds it seems most likely that iodide is first converted to * * f and then to * * f as the active iodinating species .,0.7490040006985557
first.r.01,"First , is the circulating form of the hormone the same as that found in the gland where it is synthesised and stored ?",0.8195240023933206
first.r.01,"Muscle weakness did not improve , and the patient needed first a cane , then crutches .",0.7518415129539598
