sense,sentence,centroid_cs
news.n.02,The flavor of Baltimore 's Florida Grapefruit League news ripened considerably late today when the Orioles were advised that Ron Hansen has fulfilled his obligations under the Army 's military training program and is ready for belated spring training .,0.8392655642209762
news.n.02,"Perhaps the Pirate who will be the unhappiest over the news that Musial probably will sit out most of the series is Bob Friend , who was beaten by The Man twice last season on dramatic home runs .",0.7454030305963816
news.n.02,"Proposed property sales of general interest to small business concerns are publicized through SBA regional news releases , and by `` flyers '' directed to the small business concerns .",0.7683443271260134
news.n.02,"Upon receiving the news , Northern writers , editors , and clergymen heaped accusations of murder on the Southern states , particularly Virginia .",0.8479924397173703
news.n.02,"All these emotions were screwed up to new heights when , after acceptance and the first rehearsals , there ensued such a buzz of excitement among Parisian music lovers that Duclos had to come running to Rousseau to inform him that the news had reached the superintendent of the King 's amusements , and that he was now demanding that the work be offered first at the royal summer palace of Fontainebleau .",0.831633628670903
news.n.02,And of course the news of who the composer was did finally begin to get around among his closest friends .,0.8447971205611043
news.n.02,"An occasional traveler from Italy brought news of Peter Robert , who was now distributing his Bible among the Waldensian peasants .",0.7809648810581387
news.n.02,Accounts were garbled at the telegraph office when they sent old George down to Parkersburg for the news .,0.8842116318053505
news.n.02,"Now she could let out the three parakeets without fear they would be stepped on or that Stowey would let them out one of the doors ; she could dust the plants , then break off suddenly and pick up an old novel and read from the middle on ; improvise cha-chas on the harp ; and finally , the best part of all , simply sit at the plank table in the kitchen with a bottle of wine and the newspapers , reading the ads as well as the news , registering nothing on her mind but letting her soul suspend itself above all wishing and desire .",0.8011611664955246
news.n.02,"My memory has catalogued for easy reference and withdrawal the image of her pink , scented stationery and the unsloped , almost printed configurations of her neat , studious handwriting with which she invited me to recall our summer , so many sentences beginning with `` Remember when '' ; and others concerning camp friends who resided in her suburban neighborhood , and news of her commencing again her piano lessons , her private school , a visit to Boston to see her grandparents and an uncle who was a surgeon returned on furlough , wounded , from the war in Europe .",0.7776845544789591
news.n.02,"The glorious news had been held up pending Heavenly confirmation of the elevation of a new Supreme Bishop , Huey Short - a candidate accepted by the Boone faction after lots had been cast repeatedly .",0.8401118273826516
news.n.02,In news items a man is less often shot in the body or head than in the suburbs .,0.7680520125200249
news.n.02,"A news item described the launching of a ship : `` Completing the ceremony , the beautiful movie star smashed a bottle of champagne over her stern as she slid gracefully down the ways into the sea '' .",0.7364515960121761
news.n.02,"He then got a job with the Chicago Herald-Examiner as a circulation slugger , a rough fighter employed to see that his paper 's news pitches were not trespassed upon by rival vendors .",0.7962887193240996
news.n.02,"And the school newspaper sells space to jubilant fraternities , sororities , and houses ( in the House Plan Association ) that have good news to impart .",0.8062557818104102
news.n.02,"is George reads the news emotionally , dominant stress may or may not be on the adjunct emotionally .",0.8483291713223104
news.n.01,It is not news that Nathan Milstein is a wizard of the violin .,0.7463694085104267
news.n.01,"Almost daily something is reported which feeds this Catholic hope in England : statistics of the increasing numbers of converts and Irish Catholic immigrants ; news of a Protestant minister in Leamington who has offered to allow a Catholic priest to preach from his pulpit ; a report that a Catholic nun had been requested to teach in a non-Catholic secondary school during the sickness of one of its masters ; the startling statement in a respectable periodical that `` Catholics , if the present system is still in operation , will constitute almost one-third of the House of Lords in the next generation '' ; a report that 200 Protestant clergymen and laity attended a votive Mass offered for Christian unity at a Catholic church in Slough during the Church Unity Octave .",0.7857974212153639
news.n.01,`` Maybe today 'll be a good news day '' .,0.7728882064421787
news.n.01,"They stayed in their own world on the bluff , waiting for letters and the peddler , bringing the news .",0.8815612153757102
news.n.01,He would send on by trusted messenger the dispatches with their electrifying news .,0.8770500742011728
news.n.01,"The news of battle on Breed 's Hill had already seeped through , and New York itself was now left in the hands of the local Provincial Congress .",0.8338493684479066
news.n.01,"`` We were on our vacation in Canada '' , Howard explained , in a muffled voice that must have been used to booming , `` and the news did n't catch up with us till we were nearly home .",0.8476837385969319
news.n.01,"`` Chickens have short memories '' , the doctor remarked , `` that 's why they are better company than most people I know '' , and he went on to break some important news to Alex .",0.8568215703918614
news.n.01,Reckon you know the news '' .,0.8366494865027292
news.n.01,"And what news , Sarah thought as satirically as Maude might have said it .",0.8126770364547086
news.n.01,Weigand tossed this news into the centrifuge .,0.8568823669233179
news.n.01,"He swung toward the front to give the news to Hettie , then stopped , barred from her by the vehemence of her blame and hate .",0.8697021668577848
news.n.01,"Heiser , breathless and wild-eyed , brought the chilling news that the handspikes , heavers and holystones had been mysteriously removed from their customary places .",0.8077275407739767
news.n.01,"And Sam thanked her , and hoped he might meet her nephew back home , and asked her if she had any further news of the Pope .",0.80885514305746
news.n.01,"Instead of being depressed by this news , Mr. Crombie was actually relieved .",0.8294474139896214
