sense,sentence,centroid_cs
moment.n.01,"Each high note had the crowd in ecstasy so that it stopped the show midway in the `` Mad Scene '' , but the real reason was a realization of the extraordinary performance unfolding at the moment .",0.7108354094850249
moment.n.01,"Miss Stuart is as intensely vibrant as one could wish , almost an icy shriek threatening to explode at any moment .",0.7366010948193267
moment.n.01,"Wherefore , as they became forfeit to death , from that [ moment ] they were handed over to it '' .",0.7807283788013686
moment.n.01,"At that moment Kipling was overwhelmed with awed amazement , suddenly recalling that these identical details of scene , action and word had occurred to him in a dream six weeks earlier .",0.7927877518806091
moment.n.01,This theory makes it possible for any event throughout eternity to be continuously available at any moment to consciousness .,0.8233467034768486
moment.n.01,"In the work of every artist , I suppose , there may be found one or more moments which strike the student as absolutely decisive , ultimately emblematic of what it is all about ; not less strikingly so for being mysterious , as though some deeply hidden constatation of thoughts were enciphered in a single image , a single moment .",0.7838795306064217
moment.n.01,"In the work of every artist , I suppose , there may be found one or more moments which strike the student as absolutely decisive , ultimately emblematic of what it is all about ; not less strikingly so for being mysterious , as though some deeply hidden constatation of thoughts were enciphered in a single image , a single moment .",0.7838795306064217
moment.n.01,"For the present it is enough to note that in the grotesque figure of Jacoby , at the moment of his collapse , all these elements come together in prophetic parody .",0.8049704428320602
moment.n.01,"Piepsam 's fatal rage arises not only because he cannot stop the cyclist , but also because God will not stop him ; as Piepsam says to the crowd in his last moments : `` His justice is not of this world '' .",0.6318052121464064
moment.n.01,Now he knew that the moment illuminated by the vision on the train would have to be approached .,0.7742493897373087
moment.n.01,"From the east to the west coast of the Korean peninsula was a strip of land in which fear filled men were at that same moment furtively crawling through the night , sitting in sweaty anticipation of any movement or sound , or shouting amidst confused rifle flashes and muzzle blasts .",0.7699096562428267
moment.n.01,"He sensed something precious in the perilous moment , something akin to the knowledge gained on his bicycle trip through the French countryside , a knowledge imprisoned in speechlessness .",0.7817875425433266
moment.n.01,For a moment the hall confused him .,0.6386247325085427
moment.n.01,"He did not really want to kill , but as in the sexual act , there was a moment when the impulse took over and could not be downed , even while you watched yourself giving way to it .",0.7925291776935189
moment.n.01,"Everyone is ambivalent about his profession , if he has practised it long enough , but there were still moments when he loved the stage and all those unseen people out there , who might cheer you or boo you , but that was largely , though not entirely , up to you .",0.7003136023110009
moment.n.01,"The music drove them off , or away , and he was free to walk on air in a very few moments , humming and jiving within , beating the rhythm within .",0.7143421799372743
moment.n.01,"It made no sense to him * * h He whirled around , suddenly hot all over , finding the man who had been standing before him a few moments back , nailing him to the spot on which he now stood , open-mouthed -",0.5927245950256809
moment.n.01,"One moment there was a man in the saddle ; the next a headless horror on a horse that bolted through the redcoat ranks , and during the next second or two , we all of us fired into the suddenly disorganized column of soldiers .",0.6454408010331347
moment.n.01,"One moment , the road was filled with disciplined troops , marching four by four with a purpose as implacable as death ; the next , a cloud of gun smoke covered a screaming fury of sound , out of which the redcoat soldiers emerged with their bayonets and their cursing fury .",0.7075201532903055
moment.n.01,"A dozen cows mooed sadly and regarded us as if we were insane , as perhaps we were at that moment , with the crazy excitement of our first encounter , the yelling and shooting still continuing up at the road , and the thirst of some of the men , which was so great that they waded into the muddy water and scooped up handfuls of it .",0.827049094746462
moment.n.01,"In that moment of vision Adam heard the voice within himself saying : I must not hate him , I must not hate him or I shall die .",0.7992925176781254
moment.n.01,"At that moment the bathroom door flew open and Eugene came out , with his face lathered for shaving , and strode down the hall , tying the sash of his dressing gown as he went .",0.7178124955533581
moment.n.01,"For instance - what about all those people Harold Rhodes went toward unhesitatingly , as if this were the one moment they would ever have together , their one chance of knowing each other ?",0.7537124618349881
moment.n.01,"Search as he might , he could find no place where the Bible spoke of a moment when Mary could have been alone with Jesus .",0.7900730522848113
moment.n.01,"Mostly the scene was crowded with mourners , such as the dramatic Dell'Arca Lamentation in Bologna , where the grief-stricken spectators had usurped Mary 's last poignant moment .",0.7082217223143059
moment.n.01,When might Mary have had that moment to hold her child on her lap ?,0.7813016054585433
moment.n.01,"Even though he would later be resurrected , he was at this moment dead indeed , the expression on his face reflecting what he had gone through on the cross .",0.7355871582861291
moment.n.01,"He hesitated for a moment when Michelangelo asked him to disrobe , so Michelangelo gave him a piece of toweling to wrap around his loins , led him to the kitchen to take off his clothes .",0.6430524562130868
moment.n.01,"Though this sculpture must take place thirty-three years after her moment of decision , he could not conceive of her as a woman in her mid-fifties , old , wrinkled , broken in body and face by labor or worry .",0.7109688864417484
moment.n.01,From the moment of the occupation Lublin became a focal point .,0.7205973844423248
moment.n.01,"From the moment that Hino had first walked into the mission to ask for a job , any job - his qualifications neatly written on a piece of paper in a precise hand - he had been ready to become a Christian .",0.6382319084748098
moment.n.01,"She sang him Scott 's charming ballad `` Rosabelle '' , which was the vogue of the moment .",0.7011754083840535
moment.n.01,Suppose at this very moment her father was calling my house in an effort to cancel the plans ?,0.7721492564111038
moment.n.01,"At this moment , all he could think of was what he 'd been forced to undergo .",0.7598947355317127
moment.n.01,There would still be plenty of moments of regret and sadness and guilty relief .,0.6944362600344214
moment.n.01,"`` I paint the nothing '' , he said once to Franz Kline and myself , `` the nothing that is behind the something , the inexpressible , unpaintable ' tick ' in the unconscious , the ' spirit ' of the moment resting forever , suspended like a huge balloon , in non time '' .",0.7542209963578016
moment.n.01,"The cycle of disaster starts the moment they touch any belonging of ours , and dogs them unto the forty-fifth generation .",0.6276169113587258
moment.n.01,Too often it is thought of at the last moment of new product introduction .,0.7723270164326212
moment.n.01,"At its most ecstatic moments , husband and wife are elevated far above worldly cares .",0.7701624822074538
moment.n.01,"Where it is not actually erupting , it rumbles and smolders in sullen resentment like a volcano , ready to explode at any moment .",0.7478121956255115
moment.n.01,"The moment the alarm goes off , information is immediately forwarded to Honolulu , which is the center of the warning system .",0.6427285402765862
moment.n.01,We were there at a moment when the situation in Laos threatened to ignite another war among the world 's giants .,0.7888400817490926
moment.n.01,"But now we can keep it out no longer , because we have come into a time when `` it invades our experience at every moment .",0.790271482138782
moment.n.01,At the moment of crisis it had no more depth than an old school tie .,0.7417498343636808
moment.n.01,"I have chosen to use the word `` mimesis '' in its Christian rather than its classic implications and to discover in the concrete forms of both art and myth powers of theological expression which , as in the Christian mind , are the direct consequence of involvement in historical experience , which are not reserved , as in the Greek mind , only to moments of theoretical reflection .",0.743918991023393
moment.n.01,"Everett Miller , then assistant director for the Garrick Gaieties , a Theatre Guild production , needed a lyricist for a song he had written ; he just happened not to need any actor at the moment , however .",0.6109121126239344
moment.n.01,"An idea , of the sort that we have in mind , although of necessity readily available to imagination , is more general in connotation than most poetic or literary images , especially those appearing in lyric poems that seek to capture a moment of personal experience .",0.7571836689923211
moment.n.01,Let us survey for a moment the development of modern thought - turning our attention from the Reformation toward the revolutionary and romantic movements that follow and dwelling finally on more recent decades .,0.6487188337007226
moment.n.01,The actual moments of contact are vitally important .,0.7264044584929426
moment.n.01,These moments are historical events in the lives of individual authors with which the student of comparative literature must be frequently concerned .,0.7614515217190834
moment.n.01,"But it is true that the therapist can sense , when he hears this stereotype , that there are at this moment many emotional determinants at work in it , a blurred babel of indistinct voices which have yet to become clearly delineated from one another .",0.788025199481217
moment.n.01,"But when to represents to consciousness in that was the moment that I came to , and similarly in that was the moment I came to , there is much stronger stress on to .",0.8104970515308534
moment.n.01,"But when to represents to consciousness in that was the moment that I came to , and similarly in that was the moment I came to , there is much stronger stress on to .",0.8104970515308534
moment.n.01,"She stood for a moment , rain dripping from the trees over her head , thinking of Maude .",0.5610907455948024
moment.n.01,"He could tell them his fears of being involved , he could explain what had happened in the old neighborhood and how Mae had misunderstood and how she had held it over him - the scene was complete in his mind at the moment , even to his own jerkings and snivelings , and Ferguson 's silent patience .",0.6541768699513998
moment.n.01,"At that moment , Holden almost slammed on the brakes to go back to Cooper and ask if Ferguson was about .",0.7574402631755461
moment.n.01,"A seeping coldness entered Holden 's being ; his nerves seemed frost-bitten down to the tips of his tingling fingers and his spine felt stiff and glass like , liable to break like an icicle at any moment .",0.7563207917220097
moment.n.01,"`` Sometimes we 'd have trouble persuading her to make tax-exempt charitable contributions , and I 've known her to quarrel with a plumber over a bill for fixing a faucet ; the next moment she 'd put another half million into the scholarship fund or thirty thousand into something as impractical as this unfortunate Johnston affair .",0.6498953516202846
moment.n.01,"At the moment , the three men were not saying much of anything .",0.6014564399838009
moment.n.01,"As it was , his vision blurred and for a moment he was unable to move .",0.6604047524653948
moment.n.01,"If he wondered whether the attackers would allow him to pull away unmolested , he had his answer a moment later .",0.6685004613548058
moment.n.01,"With the rapid rate of closure , the approach from below , the side , and ahead , there would be only a moment when damage could be done .",0.8044766134715429
moment.n.01,"He had picked out this pathless trail , instead of the common one , in a moment of romantic fancy , to give them privacy on their honeymoon .",0.714618218400256
moment.n.01,"Spencer was quiet for a moment longer , then he said , `` There is nothing I want to say , Captain '' .",0.5424947704724593
moment.n.01,"Naval procedure , he thought , had its moments of grim humor .",0.5842814199877774
moment.n.01,An African knife and battle-ax are at this moment being sharpened by McKinley and Green .,0.7192398469162807
moment.n.01,They are about to do so at any moment as it is .,0.7800273082263572
moment.n.01,"In the next moment , it seemed , the infield was crowded with spectators , ballplayers , cops , kids and a dog .",0.7988933231063015
moment.n.01,Carpenters all wanted steady work and at the moment every mother's son for twenty miles around that could hammer nails for twenty-five dollars a day was working on the school job .,0.6524115075863667
moment.n.01,At least the moment was postponed when he had to face the mystery of the power tools .,0.7160480324239799
moment.n.02,"Why it was ever forgotten for even a moment I cannot say because it works perfectly for everyone , no matter whether he has short or long thigh-bone lengths !",0.7793289594032922
moment.n.02,"For a moment or two , both scenes are present simultaneously , one growing weaker , one growing stronger .",0.8382331177355236
moment.n.02,"At the same time the multiple transvestitism involved - the fat man as girl and as baby , as coquette pretending to be a baby - touches for a moment horrifyingly upon the secret sources of a life like Jacoby 's , upon the sinister dreams which form the sources of any human life .",0.7974695187891813
moment.n.02,"But to say that at a moment in history something is new is not necessarily to say that it is modern ; and for this statement the best evidence comes within the five years following the publication of Utopia , when Martin Luther elaborates a new perception of the nature of the Divine 's encounter with man .",0.6238908489244145
moment.n.02,"By its greater corporeal presence and its greater extraneousness , the affixed paper or cloth serves for a seeming moment to push everything else into a more vivid idea of depth than the simulated printing or simulated textures had ever done .",0.8327858680560624
moment.n.02,"But even before that , Picasso had glimpsed and entered , for a moment , a certain revolutionary path in which no one had preceded him .",0.8462871513558511
moment.n.02,Scotty regarded the ear and the grizzled hair around it with a moment of interest .,0.7725690098280975
moment.n.02,"He thought he saw - it awakened and , for a moment , interested him - that Elizabeth held a leash in her hand and that a round fuzzy puppy was on the end of the leash .",0.8677452440365782
moment.n.02,"Like Mrs. Dalloway , with her regrets about Peter Walsh , he had his moments of melancholy over a youth too well spent .",0.6029201162443736
moment.n.02,"For a moment , boy and mount hung in midair .",0.8496830815867719
moment.n.02,"Some liar 's logic , a wisp of optimism as fragile as the scent of tropical blossoms that came through the window ( a euphoria perhaps engendered by the pill Fritzie had given her ) , consoled her for a moment .",0.8325697575594248
moment.n.02,"When he had given the call a few moments thought , he went into the kitchen to ask Mrs. Yamata to prepare tea and sushi for the visitors , using the formal English china and the silver tea service which had been donated to the mission , then he went outside to inspect the grounds .",0.7300431080148708
moment.n.02,"For a moment she thought of answering with the truth but she knew there were men who shied away from virginity , who demanded some degree of education in body as well as mind .",0.8192886658293543
moment.n.02,For a moment she held her face to the empty doorway ; then she snorted and groped for her fork .,0.8478283616926799
moment.n.02,"Not until the words had been spoken did Abel suddenly see the old house and the insistent sea , and feel his contrition blotted out in one shameful moment of covetousness .",0.7461927163992942
moment.n.02,"He worked standing , with his left hand in his pocket as though he were merely stopping for a moment , sketching with the surprised stare of one who was watching another person 's hand .",0.8292863829330035
moment.n.02,"When he was bent over behind the wheel of the station wagon , feeling in his trouser cuffs for the ignition key which he had dropped a moment before , she came out of the house with an enormous Rumanian shawl over her head , which she had bought in that country during one of their trips abroad , and handed him a clean handkerchief through the window .",0.7078426220760156
moment.n.02,"Every few minutes she would awaken for a moment to review things : Stowey , yes , was on his way south , and the two boys were away in school , and nothing was burning on the stove , and Lucretia was coming for dinner and bringing three guests of hers .",0.804214276459575
moment.n.02,"Yet a moment did come that night when the adventurous letter writer and fantasist seemed to stride off my flashy pages , out of my mind , and plant himself in reality .",0.6877334517128942
moment.n.02,"When in one letter Jessica informed me that her father did not like the idea of her going out alone on New Year's Eve , I knew for a moment an immense relief ; but the letter went on : she had cried , she had implored , she had been miserable at his refusal , and finally he had relented - and now how happy she was , how expectant !",0.7757905582951208
moment.n.02,Just put yourself in Felix 's place for a moment .,0.7984348512229693
moment.n.02,"We waited till he had finished laughing , and that gave us a few moments for taking stock of him .",0.7309758462709391
moment.n.02,"But a moment later he brought his horse forward into the light , and Wilson had a good look at him .",0.7791208641658948
moment.n.02,"After a moment of thought , her mind cleared and , in the interest of clarity , she typed into the record : `` Shot in the woods '' .",0.844333552127997
moment.n.02,"He thought a moment , then inquired , `` You mean petted '' ?",0.7832502994113133
moment.n.02,"`` I 'll try '' , I said , and sat for a moment thinking .",0.8317407652109937
moment.n.02,"After a few tortuous moments of wondering who `` he '' is , the camera pans across the room to the plaster statue , and we realize that Neitzbohr is trying to redeem himself in the eyes of a mute piece of sculpture .",0.7429440418479493
moment.n.02,"I will reserve discussion of it for a moment , however , to return to President Kennedy .",0.7348914580792801
moment.n.02,"For a moment he thought of going into Crosson 's office to explain that he had to leave , but there was now such a pain in his chest , such a pounding in his head , that he decided to let it go .",0.8205668048854728
moment.n.02,"And he knew in that moment , with a cold sinking of despair , a dying of old hopes , that Mae had spread some kind of word there among the neighbors .",0.7046280870193107
moment.n.02,"Because , if for no other reason , Willings would never for a moment suppose he was not bigger , tougher , than anything else that went on two legs .",0.7168531366112292
moment.n.02,"Gun held his breath a moment , pushing the volume and pitch of his voice down under the trapdoor in his throat .",0.7884836132055821
