sense,sentence,centroid_cs
hapless.s.01,Poor ol Slater .,0.7979198497676838
hapless.s.01,Cousin Joshua Dover decided to remain with the Reverend and poor Isaac Pitt until life passed away - and he was hurt so badly he did not seem for long in this world .,0.828286501016823
hapless.s.01,"Her mother wrote Kate of her grief at the death of Kate 's baby and at Jonathan 's decision to go with the South `` And , dear Kate '' , she wrote , `` poor Dr. Breckenridge 's son Robert is now organizing a militia company to go South , to his good father 's sorrow .",0.8288927704459609
hapless.s.01,And what of that poor tarred and feathered wretch he had seen on the road driving down from Schuyler 's ?,0.8261522528928751
hapless.s.01,Instead of wanting to sock the poor bastard I found myself having a fellow-feeling for him .,0.7832082872009323
hapless.s.01,"You would n't have me throw the poor boy out on the street '' , Eileen said when I needled her about it .",0.823909428617289
hapless.s.01,"`` And in the future , since I write for a public of one , I can save the poor publishers from wasting their money '' .",0.7731932637350601
hapless.s.01,"`` Poor Mr. Thynne , he always has to be trotted out for my encouragement '' .",0.8309491848387459
hapless.s.01,She experienced none of the suspense of some poor stranger selling encyclopedias .,0.7506519493384407
hapless.s.01,"Eventually it became clear to me , partly with the aid of another schizophrenic patient who could point out my condescension to me somewhat more directly , that this man , with his condescending , `` You 're welcome '' , was very accurately personifying an element of obnoxious condescension which had been present in my own demeanor , over these months , on each of these occasions when I had bid him good-bye with the consoling note , each time , that the healing Christ would be stooping to dispense this succor to the poor suffered again on the morrow .",0.6949197295361259
hapless.s.01,"All just by chance , and in a way tracing back to poor Frank , all of it , because naturally - brothers , living together - and Angie -",0.8246513889604874
hapless.s.01,"The poor kid - the poor , frail kid .",0.8549528483980298
hapless.s.01,"The poor kid - the poor , frail kid .",0.8549528483980298
hapless.s.01,"The poor , unlucky -",0.8067196937856638
hapless.s.01,Not his poor mother 's fault .,0.8292123279136784
