sense,sentence,centroid_cs
final.s.02,"The proposal would have to receive final legislative approval , by two-thirds majorities , before March 1 to be printed on the April 4 ballot , Roberts said .",0.7034892514196507
final.s.02,"The addition of endurance training later , when the body is mature enough to benefit from it without danger of injury , provides that final quality that makes the top athlete , soldier or citizen .",0.809648022352589
final.s.02,"Ordinary politeness may have militated against this opinion being stated so badly but anyone with a wide acquaintance in both groups and who has sat through the many round tables , workshops or panel discussions - whatever they are called - on this subject will recognize that the final , boiled down crux of the matter is education .",0.8185383304188857
final.s.02,Many other ( probably nearly all ) snakes at maturity are already more than half their final length .,0.7217367789670679
final.s.02,"However , as so many of the records are not certainly based on newborn snakes , these data must be taken tentatively ; final conclusions will have to await the measurements of broods from definite localities .",0.763577747491964
final.s.02,"The final step was a vote for a $ 230000 bond issue for the construction of a sewage system by the 1959 town meeting , later confirmed by a two-thirds vote at a special town meeting June 21 , 1960 .",0.8437933023388533
final.s.02,"It had just suffered a calamity , the final crisis in a long series of calamities .",0.7298238667481988
final.s.02,One had to believe in final events or one was stranded in the abyss of nothing .,0.7825737907041054
final.s.02,Lublin was the seed of action for the `` final solution '' of the Jewish problem .,0.8120201150521404
final.s.02,"I asked , taking a final gulp of my drink , and handing him the empty glass .",0.6214749461681628
final.s.02,"If a human figure or wild life are to be part of the projected final picture , I try to place them in the initial sketch .",0.8790402136687643
final.s.02,"For me , these will belong more completely to their surroundings if they are conceived in this early stage , though I freely admit that I do not hesitate to add or eliminate figures on the full sheet when it serves my final purpose .",0.8453183491915575
final.s.02,"Out of long experience I have found that incidental figures and other objects like trees , logs , and bushes can be traced from the original sketch and moved about in the major areas on the final sheet until they occupy the right position , which I call ' clicking ' .",0.8422937650710884
final.s.02,"When this occurs , I make the change on the sketch or on the final watercolor - if I have been working on a full sheet in the field .",0.869880320488971
final.s.02,Trial and error are better placed in the preliminary sketch than in hoping for miracles in the final painting .,0.8448910893947604
final.s.02,The final proof was a small incident .,0.858359916292634
final.s.02,"Petitioner first contends that the Department denied him procedural due process by not giving him timely opportunity , before its final recommendation to the appeal board , to answer the statement of the local board as to his claim of devoting 100 hours to actual preaching .",0.8298921828360435
final.s.02,It is but part of the whole process within the Department that goes into the making of the final recommendation to the appeal board .,0.8182141351446801
final.s.02,The final sample was not significantly different from a normal distribution in regard to reading achievement or intelligence test scores .,0.7846436641334165
final.s.02,Final ratings were made on the basis of a point system which was developed after studying the distributions of actual behaviors recorded and assigning weight values to each type of behavior that was deviant from the discovered norms .,0.8440551745504904
concluding.s.01,"Keegan , a 6 - foot - 3 - inch 158 - pounder , gave up the Orioles ' last two safeties over the final three frames , escaping a load of trouble in the ninth when the Birds threatened but failed to tally .",0.6642990336713943
concluding.s.01,"Then Kerr , a graduate student from Illinois , moved past him on a straightaway and held off Mills 's challenge on the final turn .",0.7189896298129408
concluding.s.01,"The crowd at the twenty-first annual K. of C. Games , final indoor meet of the season , got a thrill a few minutes earlier when a slender , bespectacled woman broke the one week old world record in the half-mile run .",0.7862955454050004
concluding.s.01,"The Air Force's , and the game 's , final play , was a long pass by quarterback Bob McNaughton which Gannon intercepted on his own 44 and returned 22 yards .",0.7542919962152425
concluding.s.01,"Mazeroski , whose homer beat the Yankees in the final series game , will receive the Babe Ruth Award as the outstanding player in the 1960 world series .",0.7509908878466307
concluding.s.01,"The world 's best golfer , shooting below par , came to the last hole of the opening round of the Los Angeles open with every intention of delivering a final crusher .",0.8403814464608891
concluding.s.01,"Within a week after the injury , suffered in St. Louis 's victory in the final game of the Kentucky tournament , Nordmann was sitting on the Bill 's bench doing what he could to help Benington .",0.6869001764309429
concluding.s.01,These are then mixed by their sound engineers with the active co-operation of the musical staff and combined into the final two channels which are impressed on the record .,0.8127246663313468
concluding.s.01,Probably less than one percent of our previsions escape final obliteration before we wake .,0.7289666006591614
concluding.s.01,I suppose the reason is a kind of wishful thinking : do n't talk about the final stages of Reconstruction and they will take care of themselves .,0.8477808491408604
concluding.s.01,"Each initially contained 1700 ml of buffer ; in the sphere was starting buffer and in the cone was final buffer , 0.50 M in both * * f and Tris , pH 4.1 .",0.7581331824585368
concluding.s.01,And he took heart ; the final word came forth `` place '' .,0.8295717528740446
concluding.s.01,"He left with all the joyous spirit of a child going on a holiday , nodding attentively as Rector gave him his final instructions .",0.7883847074869678
concluding.s.01,"They were both so young , after all , so unready for any final parting .",0.7616610520684698
concluding.s.01,"But after the doctor 's return that night Alex could see , from the high window in his own room , the now familiar figure crouched on a truly impressive heap of towels , apparently giving its egg hatching powers one final chance before it was replaced in its office by a sure-enough hen .",0.6911011720938092
concluding.s.01,"`` Good-by , Winston '' , Mr. Jack said , giving a final set to his hat .",0.8097539857007522
