sense,sentence,centroid_cs
announce.v.01,"He will be succeeded by Ivan Allen Jr. , who became a candidate in the Sept. 13 primary after Mayor Hartsfield announced that he would not run for reelection .",0.7597270926247145
announce.v.01,"Prior to the featured race , the stewards announced that apprentice James P. Verrone is suspended ten days for crowding horses and crossing the field sharply in two races on Wednesday .",0.817281681935043
announce.v.01,"The Texas Aggies got a day off Monday - a special gift from Coach Jim Myers for its conference victory last Saturday night , but Myers announced that halfback George Hargett , shaken up in the Tech game , would not play against Trinity Saturday .",0.8034366557725499
announce.v.01,The appointment was announced at a news conference at which Skorich said he would retain two members of Shaw 's staff - Jerry Williams and Charlie Gauer .,0.7820761456679912
announce.v.01,"Solly Hemus announced a switch in his starting pitcher , from Bob Gibson to Ernie Broglio , for several reasons :",0.7826201484224621
announce.v.01,"For example , in accordance with the fashion of the times , most transitional societies have announced economic development plans of varying numbers of years ; such is the mystique of planning that people expect that fulfillment of the plan will follow automatically upon its announcement .",0.7747219828402953
announce.v.01,"In January , 1958 , the Minister of the Interior announced that an election law was ready to be submitted to the King , the rumors of election dates appeared once again , first for spring of 1958 and later for the summer .",0.8680123855663767
announce.v.01,"`` We have nine hundred and eleven members in our charge '' , Mama announced , `` and three hundred and eighty Sunday-school scholars '' .",0.7871503176026599
announce.v.01,The one thing he missed from his farm in the Po Valley was the animals ; frequently he would take his leave of Michelangelo by announcing :,0.7086726153907379
announce.v.01,"He had already been studying the Bible ; he knew the fundamentals , and after studying with Fletcher for a time he approached Rector , announced that he wanted to be baptized and that was that .",0.7265909974627394
announce.v.01,A bustle of sheets being smoothed and pillows being arranged indicated the fille de chambre 's presence inside ; they listened and suddenly a step towards the door announced another important fact .,0.7175125480742973
announce.v.01,"`` We '' , Gibby announced , `` are not philosophers .",0.7020498561395409
announce.v.01,"Charlie Marble was back and forth on several occasions , first to confer with Andy on the advisability of cancelling the Las Vegas engagement - they decided it was wise - and later to announce that a prominent comedian , also an agency client , had agreed to fill the casino 's open date .",0.7824576446985607
announce.v.01,"A Tibetan swami from Palermo , Sicily , announced in Beverly Hills a newly discovered , ancient yoga discipline for ripple breathing which increased both pranha and cosmic attraction between sexes .",0.8138621108825156
announce.v.01,"Fosterite bishops , after secret conclave , announced the Church 's second Major Miracle : Supreme Bishop Digby had been translated bodily to Heaven and spot-promoted to Archangel , ranking with-but-after Archangel Foster .",0.8596474990984694
announce.v.01,"Jubal did not hear of Digby 's disappearance when it was announced , and , when he did , while he had a fleeting suspicion , he dismissed it ; if Mike had had a finger in it , he had gotten away with it - and what happened to supreme bishops worried Jubal not at all as long as he was n't bothered .",0.7111947320577274
announce.v.01,In 1959 SAAMI 's shooting development program announced a new activity designed to expose thousands of teen-age boys and girls to the healthy fun enjoyed through the participation in the shooting sports .,0.8054421944150698
announce.v.01,A group of sailors announced to Hudson that they would sail no farther .,0.7934787997353847
announce.v.01,`` Witt House happily announces the engagement of Fran Horowitz to Erwin Schwartz of Fife House '' .,0.7069826498477726
announce.v.01,"The dweller at p is last to hear about a new cure , the slowest to announce to his neighbors his urgent distresses , the one who goes the farthest to trade , and the one with the greatest difficulty of all in putting over an idea or getting people to join him in a cooperative effort .",0.7236696816361075
announce.v.01,"The Leopard 's Spots came from the pen of Thomas Dixon in 1902 , and in this he announced an `` unchangeable '' law .",0.7738011797500959
announce.v.01,"He has announced results on Hokan , Penutian , Uto-Aztecan , and almost all other American families and phyla , and has diagrammed their degree of interrelation ; but he has not worked out by lexicostatistics one comprehensively complete classification of even a single family other than Salish .",0.7067697310279688
announce.v.01,"The morning he walked in to announce to her , blushing , that he was married .",0.6996598778375688
announce.v.01,"Then , six weeks after the day Kitti first came into the office , Stanley announced he and Kitti were married .",0.8240487183561634
announce.v.01,"`` Exterminatin ' cow thieves is just a business proposition with me '' , he 'd blandly announce .",0.7123813372453867
announce.v.01,"Vincent G. Ierulli has been appointed temporary assistant district attorney , it was announced Monday by Charles E. Raymond , District Attorney .",0.7994417330183384
announce.v.01,"Gene Marshall , genial manager of the club , has announced that the Garden of the Gods will open to members Thursday , June 1 .",0.8288243669396609
announce.v.01,"The committee for the annual Central City fashion show has been announced by Mrs. D. W. Moore , chairman .",0.8005198022390388
announce.v.01,"Mr. and Mrs. James Janssen announce the birth of a daughter , Patricia Lynn Janssen , on March 2 .",0.6789651608442951
announce.v.01,"Mr. and Mrs. Charles Marella announce the engagement of their daughter , Miss Mary Ann Marella , to Mr. Robert L. Orcutt , son of Mr. and Mrs. Donald R. Orcutt , of Drexel Hill .",0.649177121087378
announce.v.01,"Dr. and Mrs. Richard Peter Vieth announce the engagement of their daughter , Miss Susan Ann Vieth , to Mr. Conrad Wall 3 , , son of Dr. Conrad Wall 2 , , and Mrs. Nell Kennedy Wall .",0.6890661940847642
announce.v.01,The Baltimore and Ohio Railroad announced yesterday it would reduce the total amount of its payroll by 10 per cent through salary cuts and lay-offs effective at 12.01 A. M. next Saturday .,0.8166656102557461
announce.v.01,Governor Tawes announced that a triple swearing-in ceremony will be held in his office next Friday .,0.810345047484029
announce.v.01,"But just before luncheon today the fact was announced grimly by the British navy 's chief adviser to the cabinet on underwater warfare , Capt. George Symonds .",0.8246113221973932
