sense,sentence,centroid_cs
gas.n.01,"Gas injection through a porous anode ( transpiration cooling ) not only feeds back the energy transferred to the anode by the above mentioned processes , but also modifies the conditions in the arc itself .",0.8077292807979912
gas.n.01,"Note that though the ideal gas itself contains no additional energy , the compressed gas does exert an increased pressure .",0.8495587087560799
gas.n.01,Mass spectrometric analysis of gases evolved upon heating to 410 ` C indicated nitrogen oxides and water vapor .,0.8302897150857296
gas.n.01,For the low-temperature measurements the sample was cooled by a cold nitrogen gas flow method similar to that of Andrew and Eades .,0.8589412835942714
gas.n.01,"In the gas phase , with * * f of * * f and * * f of * * f , quantum yields of the order of * * f have been observed at 85 ` .",0.9128660319508568
gas.n.01,The rate of the gas phase exchange reaction appears to be proportional to the first power of the absorbed light intensity indicating that the radical intermediates are removed at the walls or by reaction with an impurity rather than by bimolecular radical combination reactions .,0.8869307850771186
gas.n.01,"It would appear that it should be possible to determine unique mechanisms for the thermal and photochemical reactions in both the liquid and gas phases and to determine values for activation energies of some of the intermediate reactions of atoms and free radicals , as well as information on the heat of dissociation of the carbon halogen bond .",0.8370972263451429
gas.n.01,The reactants for the gas phase experiments were first frozen out in a side arm attached to the manifold and then allowed to distill slowly into the manifold of pre-cooled reaction cells before sealing off .,0.9054962059899624
gas.n.01,"Although there was some variation in results which must be attributed either to trace impurities or to variation in wall effects , the photochemical exchange in the gas phase was sufficiently reproducible so that it seemed meaningful to compare the reaction rates in different series of reaction tubes for the purpose of obtaining information on the effect of chlorine concentration and of carbon tetrachloride concentration on the reaction rate .",0.9055349963723439
gas.n.01,"moreover , diffuses through structures in much the same manner as a gas .",0.8378213320123367
gas.n.01,"The detection and study of such line spectra would add considerably to present information on interstellar gas clouds and , perhaps , planetary atmospheres .",0.8417707015979233
gas.n.01,"Very small concentrations of these hydrides should be detectable ; in interstellar gas , concentrations as low as * * f molecules / * * f may be sufficient , as compared to the * * f hydrogen atoms * * f required for detection of the 21 - cm line .",0.896103529351151
gas.n.01,"Results of this experiment include the frequencies of the two strong spectral lines by which OH may be identified in interstellar gas ; the frequencies are 1665.32 and 1667.36 * * f , with an uncertainty of 0.10 * * f .",0.8805890132778327
gas.n.01,"The efforts and accomplishments fall into three main categories : absolute thermometry based upon the velocity of sound in helium gas , secondary thermometry involving principally studies of the behavior of germanium resistors , and helium 4 vapor-pressure measurements ( see p. 144 ) .",0.843806308285753
gas.n.01,Precise pressure volume temperature measurements on corrosive gases are dependent on a sensitive yet rugged pressure transducer .,0.8487434307422954
gas.n.02,Experiments were made on an electric arc applying a porous graphite anode cooled by a transpiring gas ( Argon ) .,0.8877901625184479
gas.n.02,The dependence of the arc voltage upon the mass flow velocity of the transpirating gas was investigated for various arc lengths and currents between 100 Amp and 200 Amp .,0.9105864203976564
gas.n.02,"The gas flow through a plasma generator will modify these conditions ; however , the anode is still the part receiving the largest heat flux .",0.9111811781529737
gas.n.02,Feed back of the energy transferred to the anode by applying gas transpiration through the anode .,0.9058634300690773
gas.n.02,The transpiring gas ejected from the anode formed a jet directed axially towards the cathode below .,0.9138167789681112
gas.n.02,A shielded thermocouple was used to measure the upstream temperature of the transpiring gas .,0.922191973122921
gas.n.02,This arrangement had the purpose to prevent heated gas to reach the thermocouple by natural convection .,0.8951753924596202
gas.n.02,"To reduce heat transfer from the hot gas to this anode holder outside the region of the arc , a carbon shield was attached to the surface providing an air gap of 1/16 inch between the plate and the surface of the anode holder .",0.9048854847802476
gas.n.02,The argon flow from commercial bottles was regulated by a pressure regulator and measured with a gas flow rator .,0.8802932517621529
gas.n.02,"Assuming thermal equilibrium between the anode surface and the transpiring argon , the gas enthalpy rise through the anode was calculated according to the relation **f whereby the specific heat of argon was taken as **f .",0.9079105168114472
gas.n.02,The upstream gas temperature measured with the thermocouple shown in figure 2 was **f .,0.8942958361293779
gas.n.02,"The photochemical reaction cells consisted of 10 mm. i.d. Pyrex tubing , 5.5 cm. long , diffraction effects being minimized by the fact that the light passed through only liquid glass interfaces and not gas glass interfaces .",0.8086749119958246
gas.n.02,"An acoustical interferometer has been constructed and used , with helium gas as the thermometric fluid , to measure temperatures near 4.2 and 2.1 * * f .",0.8290059228377286
