sense,sentence,centroid_cs
scene.n.01,Remove the child from the scene of his misbehavior .,0.7806149782107671
scene.n.01,The crowd staged its own mad scene in salvos of cheers and applause and finally a standing ovation as Miss Sutherland took curtain call after curtain call following a fantastic `` Mad Scene '' created on her own and with the help of the composer and the other performers .,0.8001866693458469
scene.n.01,"At that moment Kipling was overwhelmed with awed amazement , suddenly recalling that these identical details of scene , action and word had occurred to him in a dream six weeks earlier .",0.7921748658500506
scene.n.01,"We should do what we can to discourage this conclusion , both by offering assistance for their domestic needs and by reacting firmly to irresponsible actions on the world scene .",0.7468866264343681
scene.n.01,"On that view , nothing good or bad happened in the case until I came on the scene and made my remark .",0.74310662850893
scene.n.01,"For what I express in my remark is something going on in me at the time , and that of course did not exist until I did come on the scene .",0.7648264656638034
scene.n.01,Let us put to ourselves the hypothesis that we had not come on the scene and that the rabbit never was discovered .,0.7806369565154515
scene.n.01,"Mostly the scene was crowded with mourners , such as the dramatic Dell'Arca Lamentation in Bologna , where the grief-stricken spectators had usurped Mary 's last poignant moment .",0.8222281068833063
scene.n.01,"And so they went , he choosing of all places an inn near Medmenham Abbey , scene a generation ago of the obscene orgies of the Hellfire Club .",0.7417797504132834
scene.n.01,`` Do you think we need a new Henry James to re-explore the Anglo-American scene '' ? he asked .,0.7271799005264482
scene.n.01,"When Stravinsky shaped his purpose to the shifting scenes of many cultures , many salons , many dialectics , many personalities , he tried to refashion himself into a stylist of many styles , determined by many disparate cultures .",0.7567504251539693
scene.n.01,"To prevent the manager from deliberately controlling himself only during the sessions , they were rather lengthy ( about twenty minutes ) , the situations were imperfectly described to the manager so that he would not know what to expect , new antagonists were brought on the scene unexpectedly , and the antagonists were instructed to deliberately behave in such ways as to upset the manager and get him to operate in a manner for which he had been previously criticized .",0.8064976966208606
scene.n.01,On the second floor he saw the animated faces of the party guests ; the scene looked like a Christmas card .,0.8357411363231625
scene.n.01,"But the scene was not the quiet , calm scene I 'd expected .",0.8542024703040024
scene.n.01,"But the scene was not the quiet , calm scene I 'd expected .",0.8542024703040024
scene.n.01,"Present at the scene - in addition to the dead man , who was indeed Louis Thor - had been Thor 's partner Bill Blake , and Antony Rose , an advertising agency executive who handled the ZING account .",0.7983492460853332
