sense,sentence,centroid_cs
piece.n.01,Another piece of evidence appears in a dispatch from Bonn in the Observer ( London ) .,0.7167883532282108
piece.n.01,"A British writer , Richard Haestier , in a book , Dead Men Tell Tales , recalls that in the turmoil preceding French Revolution the body of Henry /4 , , who had died nearly 180 years earlier , was torn to pieces by a mob .",0.6267029598698942
piece.n.01,The total heat loss through the anode holder included also the heat conducted through the base of the cylindrical piece into the adjacent metal parts .,0.7341106295577565
piece.n.01,"It was for this reason , and no other that I can see , that in September 1912 , Braque took the radical and revolutionary step of pasting actual pieces of imitation woodgrain wallpaper to a drawing on paper , instead of trying to simulate its texture in paint .",0.8697933206503868
piece.n.01,"Picasso says that he himself had already made his first collage toward the end of 1911 , when he glued a piece of imitation caning oilcloth to a painting on canvas .",0.891054104807674
piece.n.01,"The area adjacent to one edge of a piece of affixed material - or simply of a painted in form - will be shaded to pry that edge away from the surface , while something will be drawn , painted or even pasted over another part of the same shape to drive it back into depth .",0.8282760711137871
piece.n.01,The head was wrapped in a turban and on top of the turban rode a great hamper across which a piece of poncho had been flung .,0.8691413856206157
piece.n.01,"He hesitated for a moment when Michelangelo asked him to disrobe , so Michelangelo gave him a piece of toweling to wrap around his loins , led him to the kitchen to take off his clothes .",0.7935343808887916
piece.n.01,"Putting the pieces of this mosaic together , Rector had the vague outlines of a biography .",0.6941001415558996
piece.n.01,"`` Why , I could n't even cook a piece of antelope steak ; I never even saw any '' .",0.8084599400945133
piece.n.01,"As we find out at the end , it is not the stool ( symbolizing Doris , therefore the English ) that he is punishing but the piece of Venetian blind .",0.8467584773715817
piece.n.01,"The innocence that they tried to conceal at the beginning is clearly destroyed forever when one of them , asking for a piece of lemon-meringue pie , gets a plate of English muffins instead .",0.7705235200504938
piece.n.01,The fast opening of the shutter consists of a piece of aluminum foil ( approximately * * f ) placed directly in front of the camera lens so that no light may pass into the camera .,0.8229033215432058
piece.n.01,The Jap 's propeller flew off in pieces .,0.6342262697736797
piece.n.01,A large piece of engine cowling vanished .,0.8343390610076202
piece.n.02,"As you see , the professor has designed a piece of apparatus that forces the bodybuilder to use a wide grip .",0.8252567307290359
piece.n.02,"He looked very carefully at every piece of furnishing , as though hoping to store this information carefully in his mind .",0.8289583267013139
piece.n.02,"`` Finally , all I needed was to throw a little piece of red wood that looked like a firecracker and that dumb dog would run ki-yi-ing for his life '' .",0.8836446782334886
piece.n.02,Beccaria had almost stumbled on a lead to the relationship between electricity and magnetism when a discharge from a Leyden jar was sent transversally through a piece of watch spring steel making its ends magnetic .,0.8458342643950835
piece.n.02,"If an expensive and specialized piece of machinery is needed - such as a spray rig , a combine , or a binder - it is better to pay someone with a machine to do the work .",0.8431980295641854
piece.n.02,"The preparations were elaborate : flowers , candles , incense sticks , rice wine , dozens of delicacies , and pieces of white cotton string .",0.7935267442199742
piece.n.02,"We need not , to be sure , expect to find such ideas in every piece of literature .",0.7562342101790124
piece.n.02,"`` History has this in common with every other science : that the historian is not allowed to claim any single piece of knowledge , except where he can justify his claim by exhibiting to himself in the first place , and secondly to any one else who is both able and willing to follow his demonstration , the grounds upon which it is based .",0.8248538566367948
piece.n.02,These two pieces of information for each dictionary form that is matched by a text form constitute the table of dictionary usage .,0.7350772394104722
piece.n.02,"She had a cup of something steaming , coffee perhaps , in one hand , a fresh piece of toast in the other .",0.7665500941364225
piece.n.02,"She stood there , watching Holden come in , and she put the piece of toast in her mouth and bit off one corner with a huge chomp of her white teeth .",0.6579082547672153
piece.n.02,On the truck bed there was nothing smaller than a piece of rusty machinery ; with more time I could have loosened a small burr or cotter pin -,0.8602591268714148
piece.n.02,"He went down to Mills and Bradley 's Hardware Store and bought a full set of carpenter 's tools , including a rotary power saw and several other pieces of power machinery that Mr. Mills said were essential for babbiting and doweling , whatever they were .",0.8430909057004855
