sense,sentence,centroid_cs
salvage.v.01,Nor were there any rules to save him .,0.8008703068805424
salvage.v.01,"A compromise will leave both sides without the glow of triumph , but it will save Berlin .",0.8204422600670297
salvage.v.01,He would save her .,0.7983867461799253
salvage.v.01,If there was a fire or a flood he would save Mama first and Violet next .,0.8255948137857289
salvage.v.01,I wish our doctor could have saved her '' .,0.8183299781626993
salvage.v.01,"She thought again of her children , those two who had died young , before the later science which might have saved them could attach even a label to their separate malignancies .",0.7464805373396496
salvage.v.01,"`` Such as ' sending the cat to guard the mice ' , or ' the falcon to protect the dove ' , or most terribly sharp of all , ' the human being to save humanity '' ' .",0.8432963718673671
salvage.v.01,Should not everyone have been awakened to it as an outstanding fact of our time that the nations poisoned by anti-Semitism proved less fortunate in regard to their own freedom than those whose citizens saved their Jewish compatriots from the transports ?,0.8294743091456659
salvage.v.01,There is little doubt that the warning system saved lives and reduced the damage .,0.782915545781315
salvage.v.01,That saved Mel Chandler .,0.7061871923104492
salvage.v.01,"Now the detective must save his own skin by informing on the girl he loves , who is also the real murderer .",0.8216544240570137
salvage.v.01,"Because the private eye intends to save society in spite of himself , he invariably finds himself in trouble with the police .",0.8548605485796685
salvage.v.01,"In order to save the mystery story , they have converted the private detective into an organization man .",0.8111734188352204
salvage.v.01,Hughes supported Gov. Meyner 's `` Green Acres '' plan for saving large tracts of open land from the onrush of urban development .,0.7511815100338318
salvage.v.01,"With this ultimate weapon , the two Yankees may have saved baseball from its dullest season .",0.8277064480366733
salvage.v.01,Wooded stream valleys in the folds of earth would be saved .,0.7895030033957229
salvage.v.01,"More , the U. S. action was hailed by a principal opposition leader , Dr. Juan Bosch , as having saved `` many lives and many troubles in the near future '' .",0.8496582579375274
salvage.v.01,Since then nothing has happened to save the life of Pope .,0.8216542574628073
salvage.v.01,"Putting on local musicians at this place in the program serves a triple purpose : it saves the top flight jazz men from being wasted in this unenviable spot , when the audience is cold , restless , and in flux ; it prevents late-comers from missing some of the people they have come a long way to hear , and it gives the resident musicians a chance to perform before the famous Newport audience .",0.7254594335705601
salvage.v.01,The explanation offered for her conduct is a misguided attempt to save her marriage to a neurotic husband left sterile as a result of an automobile accident .,0.8227661584969068
salvage.v.01,"Is putting a rocket in orbit half so significant as the good news that God put His Son , Jesus Christ , on earth to live and die to save our hell-bound souls ?",0.8407711414965255
salvage.v.01,He knew that his God would save him from his enemies because He had saved him from his sins .,0.7552244607834743
salvage.v.01,My father went as a missionary to China in a generation that responded to Student Volunteer Movement speakers who held watches in their hands and announced to the students in their audiences how many Chinese souls were going to hell each second because these students were not over there saving them .,0.753871554450939
salvage.v.01,"For by grace you have been saved through faith ; and that not from yourselves , for it is the gift of God ; not as the outcome of works , lest anyone may boast .",0.8271695874141332
salvage.v.01,You cannot be saved ; you cannot go to heaven unless you are born again .,0.8192216824794242
salvage.v.01,"Being convinced that salvation is alone by accepting Christ as Saviour , and being convicted by the Holy Spirit of my lost condition , I do repent of all effort to be saved by any form of good works , and just now receive Jesus as my personal Saviour and salvation as a free gift from Him .",0.8226721076542876
salvage.v.01,"The horse and men were saved , but the oxen drowned .",0.7760541092359983
salvage.v.01,Twice during the Civil War it was saved from destruction by the opposing armies by the pleas and prayers of a local minister .,0.7731323653566591
salvage.v.01,"Again Reverend Corder saved the bridge when Union soldiers planned to destroy it , after filling its two lanes with hay and straw - but for what reason is not recorded nor remembered , certainly not because of pressure from an opposing Confederate force .",0.8251726951313978
salvage.v.01,This has saved us from constant requests seven days a week and made us feel less brutal to the young `` less fortunate '' than ours .,0.7297436900857098
salvage.v.01,"For lawyers , reflecting perhaps their parochial preferences , there has been a special fascination since then in the role played by the Supreme Court in that transformation - the manner in which its decisions altered in `` the switch in time that saved nine '' , President Roosevelt 's ill-starred but in effect victorious `` Court-packing plan '' , the imprimatur of judicial approval that was finally placed upon social legislation .",0.7391843335597389
salvage.v.01,`` I suppose because it saves them some loss of body water .,0.7120191991418854
salvage.v.01,"The musician ran away from school when he was fifteen , but this escapade did not save him from the Gymnasium .",0.7125776055230258
salvage.v.01,He issued his Emancipation Proclamation only when he felt that necessity left him no other way to save the Union .,0.8323949886465528
salvage.v.01,"Righteous in their denunciation of all that makes for death , the beat prophets bid all men become cool cats ; let them learn to `` swing '' freely , to let go , to become authentically themselves , and then perhaps civilization will be saved .",0.8001106800424664
salvage.v.01,I saved their souls '' .,0.8005434877936433
salvage.v.01,"I was saved from making the decision as the phone rang , and the girls were upon me instantly .",0.5173847216671245
salvage.v.01,"But in order to keep Letch in the public eye and out of trouble , I wrote in a part especially for him - that of a dashing ruffian who `` sees the light '' and is saved by the inspiring example of Mother Cabrini .",0.7924726764111459
save.v.02,"In order to be saved , plasticity had had to be isolated ; and as the aspect of the subject was transposed into those clusters of more or less interchangeable and contour obliterating facet-planes by which plasticity was isolated under the Cubist method , the subject itself became largely unrecognizable .",0.7743659471682651
save.v.02,Part of the time saved was spent on a preliminary estimate for a long-distance plan to free bound oxygen in the sands of Mars to make the planet more friendly to future human generations .,0.7195278679176397
save.v.02,Have you checked the cost of subcontracting your cafeteria operation in order to save administrative costs ?,0.7673805536997703
save.v.02,You may save valuable production minutes with a change .,0.8300197373337597
save.v.02,The address * * f and the number of cells required to store the form are written in * * f ; the information cell * * f is saved to represent the text occurrence .,0.8499137744439015
save.v.02,"When , as in this case , the two forms match , the address * * f is saved to represent the occurrence * * f .",0.8336738537788063
