sense,sentence,centroid_cs
miss.v.02,"She said , `` Do you think you 'll miss school '' ?",0.7433865798046001
miss.v.02,She says the children miss you .,0.8165156287774812
miss.v.02,The one thing he missed from his farm in the Po Valley was the animals ; frequently he would take his leave of Michelangelo by announcing :,0.7753482823698243
miss.v.02,She loved him and missed his company .,0.8461504358067644
miss.v.02,"These would be his hardest years , she knew , and he missed his father desperately .",0.8329426644938231
miss.v.02,"`` I imagine the old girl has n't missed us much '' , Mark added , his eyes on the road .",0.7729906128929489
miss.v.02,"Yet if he were not there , they would have missed him , as they would have missed the sounds of bees buzzing against the screen door in early June ; or the smell of thick tomato paste - the ripe smell that was both sweet and sour - rising up from aluminum trays wrapped in fly dotted cheesecloth .",0.847104846017131
miss.v.02,"Yet if he were not there , they would have missed him , as they would have missed the sounds of bees buzzing against the screen door in early June ; or the smell of thick tomato paste - the ripe smell that was both sweet and sour - rising up from aluminum trays wrapped in fly dotted cheesecloth .",0.847104846017131
miss.v.02,"Yes , she had missed it after her talk with Emile , after dinner , just before Emile was shot .",0.8017770667903106
miss.v.02,Give her time to miss you .,0.7799069398205686
miss.v.02,"William keeps up with our town 's doings daily , via the Tribune , and he tells me he never misses the Ticker .",0.7877882639631152
miss.v.02,His firm hand will be desperately missed .,0.7534871005524572
miss.v.02,When they leave for vacations they miss the hot cereal .,0.8062873934992137
miss.v.01,"He missed the 1955 season because of an operation on the ailing knee , then played 77 minutes in 1956 .",0.595247810697287
miss.v.01,Do n't miss the pansies that appear from time to time through the winter .,0.790830851324834
miss.v.01,"The orchestra is far enough away from you that you miss the bow scrapes , valve clicks , and other noises incidental to playing .",0.7950120214162165
miss.v.01,"It would summon him once ; if he missed it , never again .",0.7443176392982532
miss.v.01,I would n't want him to miss the message '' .,0.8278288761154227
miss.v.01,I guess nobody wants to pass out and miss anything '' .,0.7542456101946547
miss.v.01,"They run their show their way - the Universe has variety , something for everybody - a fact you field workers often miss '' .",0.7725923098850974
miss.v.01,"But if there was evidence at the Trial that aimed over Eichmann 's head at his collaborators in the societies where he functioned , the press seems to have missed it .",0.8148701892318024
miss.v.01,"He knew that anything a brainy little lady like her had to say would be plumb important , as well as pleasin ' to the ear , and he did n't want to miss a word of it .",0.7767199437045424
miss.v.01,"`` You 're missing the point '' , he said .",0.625370497393184
miss.v.01,I suppose I am missing some elementary point but I honestly cannot see how two wrongs can make a right !,0.7051469572916006
miss.v.01,It also brought home proof of something a casual observer might have missed : that more than half of the U. S. Negroes live outside the southeastern states .,0.8226327798707166
miss.v.01,"Merchant ships illuminated in the light of the flares , made to seem like stones imbedded in a lake of polished mud , were impossible to miss .",0.6880860756255576
miss.v.01,"Had I been in an all-married section I would have missed this , and I believe that this single aspect has been of great personal value to me '' .",0.8427933306506632
miss.v.01,"Unless he was stone-blind , the person who 'd just left could n't have missed seeing Hank through the open door of the brightly lighted room .",0.7842475880300351
miss.v.01,"And even if he 'd somehow missed seeing him , he would n't have gone off and left the light on and door open in the file room .",0.7982821757976132
