sense,sentence,centroid_cs
issue.v.03,"Heydrich , in opening the Conference , followed the reasoning and even the phraseology of the order issued earlier by Goering which authorized the Final Solution as `` a complement to '' previous `` solutions '' for eliminating the Jews from German living space through violence , economic strangulation , forced emigration , and evacuation .",0.7921981208815339
issue.v.03,"In 1920 , the Lambeth Conference repeated its 1908 condemnation of contraception and issued `` an emphatic warning against the use of unnatural means for the avoidance of conception , together with the grave dangers - physical , moral , and religious - thereby incurred , and against the evils which the extension of such use threaten the race '' .",0.8211637383951178
issue.v.03,The Secretary of the Interior may issue rules and regulations to effectuate the purposes of this Act .,0.7715903753109821
issue.v.03,"In an important assertion of national leadership in this field , he has issued an executive order establishing the President 's committee on Juvenile Delinquency and Crime , to be supported and assisted by a Citizens Advisory Council of recognized authorities on juvenile problems .",0.8079887112321281
issue.v.03,"The complaint on which the warrant was issued was filed by Leo Blaber , an attorney for the association .",0.7290228962845696
issue.v.03,The new President is in no position to start out his dealings with Moscow by issuing callable bluffs .,0.7312731102550909
issue.v.03,"To silence extremists , to warn the Axis , President Roosevelt issued this statement for the Allies in August :",0.8348540161424706
issue.v.03,He issued his Emancipation Proclamation only when he felt that necessity left him no other way to save the Union .,0.7643388170383055
issue.v.03,"The President of the United States , pursuant to a Joint Resolution of Congress , has issued a proclamation each year since 1933 declaring may 22 nd to be National Maritime Day .",0.8229225228524121
issue.v.03,"A royal decree issued in 1910 , two years after the Belgian government assumed authority for the administration of the Congo , prescribed the registration of all adult males by chiefdoms .",0.8329704980139997
issue.v.03,Further decrees along this line were issued in 1916 and 1919 .,0.8611633268826392
issue.v.03,"A unified set of regulations , applicable to all areas , was issued in 1929 , and a complementary series of demographic inquiries in selected areas was instituted at the same time .",0.8469437646115124
publish.v.02,"Meanwhile , it was learned the State Highway Department is very near being ready to issue the first $ 30 million worth of highway reconstruction bonds .",0.8140583437150497
publish.v.02,The department apparently intends to make the Rural Roads Authority a revolving fund under which new bonds would be issued every time a portion of the old ones are paid off by tax authorities .,0.7582221149848914
publish.v.02,"The Highway Department source told The Constitution , however , that Vandiver has not been consulted yet about the plans to issue the new rural roads bonds .",0.767970100475934
publish.v.02,There 's more specialization and a narrower purpose in two albums recently issued by Dover Publications .,0.6588810219880167
publish.v.02,They are leaving so fast that the president of the West German Employers' Federation issued an appeal this week to factory workers in the West to volunteer for six months ' front-line work in factories in West Berlin .,0.7685020103699458
publish.v.02,"On the street outside , Hieronymus envisions a holocaust of the vanities of this world , such a burning of artistic and erotic productions as his namesake actually brought to pass in Florence , and prophetically he issues his curse : `` Gladius Dei super terram cito et velociter '' .",0.6866761775668838
publish.v.02,"Until the Charter of Liberties was issued in the fall of 1958 , there were no guarantees of the right to assemble or to organize for political purposes .",0.7843277001127988
