sense,sentence,centroid_cs
sit.v.02,"There the objective sat , brooding over all .",0.6722230677704295
sit.v.02,"From the east to the west coast of the Korean peninsula was a strip of land in which fear filled men were at that same moment furtively crawling through the night , sitting in sweaty anticipation of any movement or sound , or shouting amidst confused rifle flashes and muzzle blasts .",0.7875230805062879
sit.v.02,A Newfoundland sat solemnly beside a doghouse half his size .,0.7576111793442466
sit.v.02,"Rather than sit around waiting for the suitcases to be delivered , they had gone sight-seeing .",0.7613207558212199
sit.v.02,"Still she was not sorry he sat by her , but in fact was flattered .",0.7248098315427884
sit.v.02,"Heavy coated , severe looking policemen sat astride noble horses along the curbside to prevent the revellers from spilling out in front of the crawling traffic .",0.7666096063413099
sit.v.02,Hub was sitting in a chair that blocked the hall door .,0.7774030086209871
sit.v.02,There seemed to be a contemptuous purpose in the way he sat there with his eyes glued to Drexel Street and his back in opposition to the church behind him .,0.8426668529031615
sit.v.02,"He would sit inside the coffee shop and pound a gloved fist upon the table and a girl would hear him and come running , bowing with her running , calling out in her bowing , `` At your service '' .",0.8090520693562927
sit.v.02,"All the while she sat there , her sinewy arms swirled before her chest .",0.8047472926672533
sit.v.02,"`` I 'll try '' , I said , and sat for a moment thinking .",0.7599307263761825
sit.v.02,We sat for a while drinking in silence .,0.6964511519094858
sit.v.02,"Moreland sat brooding for a full minute , during which I made each of us a new drink .",0.712832708565288
sit.v.02,"There are three principal feed bunk types for dairy and beef cattle : ( 1 ) Fence-line bunks - cattle eat from one side while feed is put in from the opposite side of the fence by self unloading wagons ; ( 2 ) Mechanized bunks - they sit within the feed lot , are filled by a mechanical conveyor above feeding surface ; ( 3 ) Special bunks - as discussed here , they permit cattle to eat from all sides .",0.7158383431625878
sit.v.02,"The classical lines of the church which Napoleon thought of as a Temple of Glory , dominated all the scene where we sat .",0.7569831980903218
sit.v.02,"If we sit here reading editorials and looking at public opinion polls and other reports that cross our desks , we should realize that this is raw , undigested opinion expressed in the absence of leadership .",0.7641442663997574
sit.v.02,"I would have been negligent and a goddam lousy cop to boot , if I 'd sat around this station all night when somebody got away with murder in my district .",0.717066616573234
sit.v.02,"Houses of settlers who 'd treated the company herds as a natural resource , free for the taking , were sitting empty , with weeds growing high in their yards .",0.7179113666984884
sit.v.02,Just like the balloon would go up and you could sit all day and wish it would spring a leak or blow to hell up and burn and nothing like that would happen .,0.7590731669823619
sit.v.02,"Like certain expensive restaurants , just sitting there gave you the illusion of being wealthy yourself .",0.717402419856913
sit.v.02,"They sit alone in their rooms and try to paint , and only succeed in isolating themselves still farther from life .",0.7746223973490578
sit.v.02,"It was about that time , a board member said later , that Dr. Thomas G. Pullen , Jr. , State superintendent of schools , told Dr. Jenkins and a number of other education officials that he would not talk to them with a recording machine sitting in front of him .",0.6976927628549711
sit.v.02,He sat in his office yesterday and recalled that historic flight in 1944 .,0.7697392141018443
sit.v.02,"John Salvador , a farmer from Palm Desert , Calif. , was sitting up front and could see through the door as the trio entered the cockpit .",0.7427762689278968
sit.v.02,St. Louis sits in the center of a relatively slow-growing and in some places stagnant mid-continent region .,0.5419817818870899
sit.v.02,Sir - I read of a man who felt he should not build a fallout shelter in his home because it would be selfish for him to sit secure while his neighbors had no shelters .,0.7359167144902303
sit.v.02,"I hope the man who plans to sit on his hands until the emergency comes will have a change of heart , will get busy and be the first member of our `` plus-one '' shelter club .",0.7511098181307331
sit.v.02,There were nine qualified scouts sitting around collecting base pay the day Helva was commissioned .,0.7421582563474565
sit.v.02,"Even to herself Helva sounded a little self-pitying but the truth was she was lonely , sitting on the darkened field .",0.7691162649501723
sit.v.02,In the center of his brilliant curls sat a small black skullcap .,0.5375517305642621
sit.v.02,"We were sitting together , talking .",0.7827447683943118
sit.v.01,"Only too often , however , you have the feeling that you are sitting in a room with some of the instruments lined up on one wall to your left and others facing them on the wall to your right .",0.821633846130947
sit.v.01,"They are definitely in the same room with you , but your head starts to swing as though you were sitting on the very edge of a tennis court watching a spirited volley .",0.7243149508247004
sit.v.01,( Music often sounds best to me when I can dress informally and sit in something more comfortable than a theatre seat . ),0.8123853461925324
sit.v.01,"This used to be part of every child 's bag of tricks , but few children can do it today ; some are actually incapable of rolling forward and are completely confused when not sitting or standing upright .",0.6577708216138418
sit.v.01,"He was able , now , to sit for hours in a chair in the living room and stare out at the bleak yard without moving .",0.8159100900692312
sit.v.01,"Once , sitting at the front window in his parents ' room , he saw Kate come out of her house .",0.7503720441573798
sit.v.01,"He would sit , slim-waisted and spare , on the edge of Scotty 's bed , his legs crossed so elaborately that the crossed foot could tap the floor .",0.8333776193336352
sit.v.01,"Where their sharp edges seemed restless as sea waves thrusting themselves upward in angry motion , Papa-san sat glacier like , his smooth solidity , his very immobility defying all the turmoil about him .",0.754310888393905
sit.v.01,"`` We just sit quiet and wait '' , Prevot had said .",0.7192873082756805
sit.v.01,Mickie sat over his second whisky-on-the-rocks in a little bar next to the funeral parlor on Pennsylvania Avenue .,0.8094265014208746
sit.v.01,Jane sat receptive and interested .,0.7525339348112734
sit.v.01,He had dinner and sat there over his coffee watching the winding pattern of traffic as it crossed the bridge and spread out like a serpent with two heads .,0.8037665993274882
sit.v.01,They cannot stop to grasp and embrace and sit in the back seat of cars along a dark country lane .,0.8193557470660637
sit.v.01,They had been sitting too long to be able to stand up easily .,0.7190539448496728
sit.v.01,"It was not exactly panic they gave way to , but they could not just sit there .",0.6687667769564897
sit.v.01,He was sitting on top of a log which was spinning round and around in the water .,0.8133795435152401
