sense,sentence,centroid_cs
growth.n.02,During this precarious period of development the mother should continue to influence the growth of the child 's conscience .,0.7864222876531682
growth.n.02,"Many such loans have been made to establish small concerns or to aid in their growth , thereby contributing substantially to community development programs .",0.8400143581630052
growth.n.02,It should be American policy not only to encourage effective land reform programs but also to underline the relation of such reforms to the economic growth and modernization of the society .,0.8707892550618722
growth.n.02,"By holding out prospects for external capital assistance , the United States can provide strong incentives to prepare for the concerted economic drive necessary to achieve self-sustaining growth .",0.9013985134434777
growth.n.02,"At a third stage in the modernization process are such countries as India , Brazil , the Philippines , and Taiwan , which are ready and committed to move into the stage of self-sustaining growth .",0.8716811404513785
growth.n.02,Several related tasks must be carried out if self-sustaining growth is to be achieved .,0.8716905113732408
growth.n.02,"Thus , although the agenda of external assistance in the economic sphere are cumulative , and many of the policies suggested for nations in the earlier stages remain relevant , the basic purpose of American economic policy during the later stages of development should be to assure that movement into a stage of self-sustaining growth is not prevented by lack of foreign exchange .",0.9041314885121526
growth.n.02,It is merely the latest example of the leapfrog growth which formed the pattern of virtually all American cities .,0.8366798866509036
growth.n.02,"In spreading the factories even farther , the automobile may not have changed to any great extent the growth pattern of the cities .",0.8411861119714862
growth.n.02,"Does our society have a runaway , uncontrollable growth of technology which may end our civilization , or a normal , healthy growth ?",0.8622909152623869
growth.n.02,"Does our society have a runaway , uncontrollable growth of technology which may end our civilization , or a normal , healthy growth ?",0.8622909152623869
growth.n.02,Should the accelerating growth of technology then warn us ?,0.8308529735657579
growth.n.02,"If we were creating a wholly new society , we could insist that our social , political , economic and philosophic institutions foster rather than hamper man ; best growth .",0.8382330473136504
growth.n.02,"The biggest loss , of course , was the individual 's lessened desire and ability to give his services to the growth of his company and our economy .",0.8744287953943366
growth.n.02,"Proprietorships should get the tax advantages now accruing to corporations , e. g. the chance to accumulate capital so vital for growth .",0.8688783333570986
growth.n.02,"These proposals would go far toward creating the economic atmosphere favoring growth of the individual , who , in turn , would help us to cope with runaway technology .",0.8967581506903587
growth.n.02,"Any abilities I may have were achieved in their present shape from experience in sharing in the growth and control of my business , coupled with raising my family .",0.8382817164206754
growth.n.02,Its growth continues steadily on a par with past growth ; and no limitation is in evidence .,0.8577226326949466
growth.n.02,Its growth continues steadily on a par with past growth ; and no limitation is in evidence .,0.8577226326949466
growth.n.01,"Too often a beginning bodybuilder has to do his training secretly either because his parents do n't want sonny-boy to `` lift all those old barbell things '' because `` you 'll stunt your growth '' or because childish taunts from his schoolmates , like `` Hey , lookit Mr. America , whaddya gonna do with all those muscles ( of which he has none at the time ) '' ?",0.7823967129023292
growth.n.01,"And they could n't have entrusted Henri to better hands because `` le professeur '' knows his muscles from the sterno-cleido mastoideus of the neck right down to the tibialis anticus of the leg - and better still , he knows just what exercises work best for them and what Weider principles to combine them with for fast , fast muscle growth .",0.7719498389107873
growth.n.01,"It speeds muscle growth and power development even for the advanced bodybuilder because each hip and leg is exercised separately , thus enabling a massive , concentrated effort to be focused on each .",0.7868163896359358
growth.n.01,"A light , porous mulch applied now keeps the roots cool and the soil soft during these early days of growth .",0.764473322480808
growth.n.01,"Many people think that pansies last only a few weeks , then their period of growth and bloom is over .",0.8150697923169868
growth.n.01,"Moreover , it should not be so fastidious in its growth requirements as to make production on a militarily significant scale improbable .",0.8130879855848734
growth.n.01,Additional records of slow growth have been omitted .,0.7902707634233056
growth.n.01,"When it comes to rate of early growth , the Indian python leads with a figure of about 3 feet 6 inches per year for the first two years , more or less .",0.8492780858628008
growth.n.01,It seems likely that the Indian python comes out ahead because records of its growth have been made more carefully and frequently ; it responds exceptionally well to captivity and does not reach proportions that make it hard to keep .,0.8220995447032604
growth.n.01,I cannot make sense out of the figures for post maturity growth ; at best the annual increase appears to be a matter of inches rather than feet .,0.791439553024769
growth.n.01,"Discussions of the giants one by one will include , as far as possible , data on these aspects of growth :",0.8277284762149761
growth.n.01,Definite information on the growth of senile individuals is lacking .,0.8141282878582816
growth.n.01,"Hans Schweizer had one that increased from 19 - 1 2 inches to 5 feet 3 inches in five years , and J . J . Quelch records a growth of from less than 4 feet to nearly 10 in about six years .",0.7705009346977363
growth.n.01,"What data there are on growth indicate considerable variation in rate ; unfortunately , no one has kept complete records of one individual , whereas many have been made for a very short period of time .",0.878641591251195
growth.n.01,To summarize the purpose of the Skeletal Maturity Chart : each contains two kinds of skeletal maturity norms which show two quite different methods of depicting developmental level of growth centers .,0.9041557228144219
growth.n.01,"Second , the upper portion permits comparison of maturity levels of an equal number of growth centers from the long , short , and round bones of the five regions .",0.8740614418018575
growth.n.01,"Fourth , the two indicators are for the most part widely separated chronologically , with the extensive age gap occurring during childhood for all but one growth center .",0.8775538580133436
growth.n.01,"It may be assumed that differences in ratings due to selection of growth centers from specific regions of the body will be small , according to existing tables of onset age and completion age for centers throughout the body .",0.89553425350211
growth.n.01,"Since a Skeletal Age rating can be made at any age during growth , from Elbow , Shoulder , Knee , or Foot as well as Hand , it seems to be the method of choice when one wishes to study most aspects of skeletal developmental progress during childhood .",0.8232265975654595
growth.n.01,It was stated earlier that one purpose of this study was to extend the analysis of variability of Onset and Completion in each of the 21 growth centers somewhat beyond that provided by the data in Tables 1 and 2 .,0.8861867782096764
growth.n.01,The numbering system used in Tables 1 and 2 and Figures 1 and 2 was continued for the 21 growth centers .,0.8073946253389064
growth.n.01,The `` dot '' on one end of each arrow indicates extent of difference in months between the child 's onset age and the corresponding mean age for the growth center .,0.8983921203693834
growth.n.01,The `` tip '' of the arrow represents extent of difference between the child 's completion age and the corresponding mean age for the growth center .,0.909617512232651
growth.n.01,"Thus , the alignment of the `` dots '' and `` tips '' , respectively , indicate individual variability of the 21 growth centers of each child with respect to the mean values for these boys and girls .",0.8861141073085913
growth.n.01,The direction in which the arrow points shows how the maturity level of the growth center was changed at Completion from the level at Onset .,0.8970426497384263
growth.n.01,We have attempted to simplify the extensive task of analyzing onset ages and completion ages of each child - more than 1700 values for the entire group - by constructing figures for each of the 21 centers so that the data for all 34 boys and 34 of the girls will appear together for each growth center .,0.8435783485473585
growth.n.01,Figures 5 and 6 are examples of our method of analyzing the results for each growth center .,0.873089763123638
growth.n.01,"One growth center in a short bone - distal phalanx of the second finger - was chosen as an example for discussion here , primarily because epiphyseal diaphyseal fusion , the maturity indicator for Completion in long and short bones , occurs in this center for girls near the menarche and for boys near their comparable pubescent stage .",0.80569714722279
growth.n.01,"Its Completion thus becomes one of the convenient maturity indicators to include in studies of growth , dietary patterns , and health during adolescence .",0.8556939907713697
growth.n.01,"The following summary , based on Figures 5 and 6 , is an example of one way of interpreting the 42 figures constructed from onset ages and completion ages of individual children with respect to the appropriate mean age for each growth center .",0.8779467624593328
growth.n.01,"At the top of Figure 5 , for example , the Onset range and Completion range lines for the chosen growth center have been drawn for girls according to their mean and standard deviation values in Table 1 .",0.8906517430766343
growth.n.01,"The growth center depicted here , in the distal phalanx of the second finger , is listed as the fifth of those in the seven short bones .",0.7938623262318303
growth.n.01,"An aid in getting cattle and sheep on full feed , in improving feed conversion and growth , in reducing bloat and founder , and in controlling scours .",0.7911983939537888
growth.n.01,"0.2 gram Dynafac per head daily ( 1 gram of premix per head daily ) for promoting growth , feed conversion , bloom , and full feed earlier .",0.8258710310673391
growth.n.01,"1.0 gram premix per head per day for promoting growth , feed conversion , and getting lambs on full feed earlier .",0.8096591866648566
growth.n.01,"Here there may be an analogy with cancer : we can detect cancers by their rapidly accelerating growth , determinable only when related to the more normal rate of healthy growth .",0.8311099473477467
growth.n.01,"Here there may be an analogy with cancer : we can detect cancers by their rapidly accelerating growth , determinable only when related to the more normal rate of healthy growth .",0.8311099473477467
