sense,sentence,centroid_cs
treatment.n.02,"The truth is , though , that men react differently to different treatment .",0.7240606705678474
treatment.n.02,"Such fascinating novelties in the score as the fugual treatment of `` On the Side of the Angels '' and `` Politics and Poker '' were handled splendidly , and I thought Rudy Bond and his band of tuneful ward-heelers made `` Little Tin Box '' even better than it was done by the New York cast ; all the words of its clever lyrics came through with perfect clarity .",0.6455423958646309
treatment.n.02,"Treatment of all the sera with sweet clover proteins greatly reduced nonspecific fluorescence , especially when the treated conjugate was diluted to 1 : 2 with 0.85 % saline .",0.826453918020453
treatment.n.02,"In addition to other treatments , treating the sections with normal sheep serum for half an hour before layering * * f did not reduce nonspecific staining .",0.8153840559974544
treatment.n.02,The only treatment by which nonspecific staining could be satisfactorily removed was by passing the conjugate through a DEAE-cellulose column .,0.8279809666913897
treatment.n.02,In the latter cases an additional treatment of the DEAE cellulose treated * * f with 50 mg of sweet clover stem tissue powder further improved the specificity .,0.8467229634356954
treatment.n.02,After these treatments the conjugate did not stain healthy or crown gall sweet clover tissues or stained them a very faint green which was easily distinguishable from the bright yellow-green specific staining .,0.7935139014367665
treatment.n.02,"Treatment of the conjugates with ethyl acetate , and the conjugates ( which had been passed through Dowex-2-chloride ) with mouse liver powder , sweet clover crown gall tissue powder , or healthy sweet clover proteins did not satisfactorily remove nonspecifically staining substances in the conjugates .",0.7917915338526171
treatment.n.02,"Such treatments of the conjugates have usually been successful in eliminating nonspecific staining in several other systems ( Coons , 1958 ) .",0.837075890529169
treatment.n.02,The reason for the failure of these treatments to eliminate nonspecific staining in the conjugates in our system is not known .,0.8127756418797378
treatment.n.02,"In the midwest , oxidation ponds are used extensively for the treatment of domestic sewage from suburban areas .",0.7662285811763263
treatment.n.02,The high cost of land and a few operational problems resulting from excessive loadings have created the need for a wastewater treatment system with the operational characteristics of the oxidation pond but with the ability to treat more organic matter per unit volume .,0.7770294983550986
treatment.n.02,"Since experience indicates that effluents from oxidation ponds do not create major problems at these BOD concentrations , the goal for the effluent quality of the accelerated treatment system was the same as from conventional oxidation ponds .",0.8701949880210542
treatment.n.02,"Later , Eckenfelder increased the efficiency of treatment to between 75 and 85 per cent in the summer months .",0.8495573983749636
treatment.n.02,It appeared from the limited information available that the aerated lagoon might offer a satisfactory means of increasing the capacity of existing oxidation ponds as well as providing the same degree of treatment in a smaller volume .,0.870917399696182
treatment.n.02,This necessitated the construction of temporary sewage treatment facilities with an expected life from 5 to 15 yrs. .,0.8098539211849003
treatment.n.02,At the same time further expansion in the Red Bridge Subdivision required the construction of additional sewage treatment facilities .,0.7439950020714564
treatment.n.02,The large land areas required for oxidation ponds made this type of treatment financially unattractive to the developer .,0.8602282352035826
treatment.n.02,It was proposed that aerated lagoons be used to eliminate the problem at the existing oxidation ponds and to provide the necessary treatment for the additional development .,0.8302306750033628
treatment.n.02,The sewage flow into the treatment plant was metered and continuously recorded on 24 - hr charts .,0.7379760877745635
treatment.n.02,"It may be that in this comment he has broken from the conventional pattern more violently than in any other regard , for the treatment in his books is far removed from even the genial irony of Ellen Glasgow , who was the only important novelist before him to challenge the conventional picture of planter society .",0.6812680462816437
treatment.n.02,"One of the early humorists already mentioned , Thomas Bangs Thorpe , can be used to illustrate another point where Faulkner touches authentic Southern materials and also earlier literary treatment of those materials .",0.7064288621637317
treatment.n.02,"Sarason et al. present evidence that the anxious child will suffer in the test like situation , and that his performance will be impaired unless he receives supporting and accepting treatment from the teacher .",0.737409696731145
treatment.n.02,"The result has been neglect , fumbling efforts , or superficial treatment .",0.8012107383447152
treatment.n.02,"The treatment seems unnecessarily loose jointed and complex , largely because the method is lax and the analysis seems never to be pushed to a satisfactory or even a consistent stopping-point .",0.845255984837186
treatment.n.01,"- Held out of Texas Tech 's sweat suits drill Monday at Lubbock was tackle Richard Stafford , who is undergoing treatment for a leg injury suffered in the Raiders ' 38 - 7 loss to Texas A+M .",0.695582062070902
treatment.n.01,He knew just the thing for her - a treatment from his `` cosmic light ozone generator '' machine .,0.7702791051799563
treatment.n.01,But as long as you can have treatment from my machine you have nothing to worry about .,0.8554443984660934
treatment.n.01,"When she said that she did n't have the money , he said that she could come in for treatment with his office model until she was ready to buy one .",0.8201319965906323
treatment.n.01,"After another treatment with the machine , he told her that `` her entire body was shot through with tumors and cysts '' .",0.8248197477196898
treatment.n.01,"When she submitted to his treatment with the capsules , Mrs. Shaefer felt intense pain .",0.8715650967577544
treatment.n.01,"For several days , she was ill as a result of Lee 's treatment .",0.8116374087842455
treatment.n.01,"Rather , it is typical of the thousands of quacks who use phony therapeutic devices to fatten themselves on the miseries of hundreds of thousands of Americans by robbing them of millions of dollars and luring them away from legitimate , ethical medical treatment of serious diseases .",0.7938610625764653
treatment.n.01,"Sarah Gross , a dress shop proprietor , paid $ 1020 to a masseur , and Mr. A. , a laborer , paid $ 4200 to a chiropractor for treatment with two fake health machines - the `` radioclast '' and the `` diagnometer '' .",0.8638546366799461
treatment.n.01,Sarah Gross found that the treatments given her for a nervous ailment by the masseur were not helping her .,0.8187328821269737
treatment.n.01,`` Neither me nor my wife were helped by that chiropractor 's treatments '' .,0.7881565801630814
