sense,sentence,centroid_cs
day.n.02,THE MODEST AND HAPPY Spahn waved off his new laurels as one of those good days .,0.6609588418775793
day.n.02,"`` Pittsburgh definitely is the team to beat '' , Mauch said here the other day .",0.7460707152995821
day.n.02,Stengel probably preached too much in the early days when the kid wanted to pop his bubble gum and sow his oats .,0.6553156106511794
day.n.02,"Edison could hardly have guessed , however , that Sophocles would one day appear in stereo .",0.6285492847795068
day.n.02,"Volumes One and Two , selected from the sound tracks of a television series , contain `` conversations with the elder wise men of our day '' .",0.6701467654974325
day.n.02,"`` If the day should ever come that foreign invaders swarm ashore along the Gulf Coast '' , the account reads , `` they can count on heavy opposition from a group of commando trained telephone employees - all girls .",0.6823766734245448
day.n.02,"The Percussive Twenties ( SP 44006 ) stirs pleasant memories with well-known songs of that day , and Johnny Keating 's Kombo gives forth with tingling jazz in Percussive Moods ( SP 44005 ) .",0.7203687484015795
day.n.02,The costumes are stunning evocations of the voluminous gowns and picture hats of the Gibson Girl days .,0.6395117840926687
day.n.02,"That day is perhaps today , 1961 , and it seems no longer very meaningful to call England a `` Protestant country '' .",0.732558240699857
day.n.02,"The day will come , in midsummer , when you find your plants becoming `` leggy '' , running to tall-growing foliage at the expense of blossoms .",0.7106911605245203
day.n.02,The necessity of that day has long disappeared .,0.7703478584599851
day.n.02,The reason and the day of `` grandfather clauses '' has long since passed .,0.6840451511287554
day.n.02,"One day Maeterlinck , coming with a friend upon an event which he recognized as the exact pattern of a previous dream , detailed the ensuing occurrences in advance so accurately that his companion was completely mystified .",0.7036330857173446
day.n.02,"One day when he attended a war memorial ceremony in Westminster Abbey his view was obstructed by a stout man on his left , his attention turned to the irregular pattern of the rough slab flooring and someone , clasping him by the arm , whispered , `` I want a word with you , please '' .",0.7214988100068537
day.n.02,"In response , the industry allowed the discovery of the motion picture as a form of fiction and thus gave the movies the essential form they have had to this day .",0.5490487928592641
day.n.02,"It is doubtful that Utopia is still widely read because More was medieval or even because he was a martyr - indeed , it is likely that these days many who read Utopia with interest do not even know that its author was a martyr .",0.6687066713941181
day.n.02,"But although the idea of communism is very old even in More 's day and did not spring full-clad from his imagination in 1515 , it is not communism as such that we are concerned with .",0.6557486139211511
day.n.02,"But anybody who promises a substantial volume of business can get a railroad to run a short spur to his plant these days , and many businesses can live without the railroad .",0.6942962077537157
day.n.02,"`` Our objective '' , the colonel had said that day of the briefing , `` is Papa-san '' .",0.7401059194375641
day.n.02,That was the day that Pierre had told Warren about the Abbey of Solesmes .,0.7336230444562867
day.n.02,"He merely said , `` Any good decorator these days can make you a tasteful home '' .",0.7271324418418299
day.n.02,"Guns were going off all over Washington City these days , because of the celebrations , and the theatre was not soundproof .",0.72713273998897
