sense,sentence,centroid_cs
close.a.01,"Start by falling forward to a point close to the feet , and , as strength improves , fall farther and farther out .",0.8257252422568966
close.a.01,Care should be taken to see that the hands are placed on the floor before the kick starts and also that the landing foot is brought as close to the hands as possible .,0.819372299094373
close.a.01,Be sure that the landing foot is brought close to the hands and that only one foot lands at a time .,0.8474526392312601
close.a.01,"As flexibility improves , the feet will move closer to the hands and the bridge rise higher .",0.8139026568328898
close.a.01,"If the **f bond is linear then there are three reasonable positions for the hydrogen atoms : ( 1 ) The hydrogen atoms are centered and hence all lie on a sheet midway between the oxygen sheets ; ( 2 ) all hydrogen atoms lie on a sheet , but the sheet is closer to one oxygen sheet than to the other ; ( 3 ) hydrogen atoms are asymmetrically placed , either randomly or in an ordered way , so that some hydrogen atoms are closer to the upper oxygen atoms while others are closer to the lower oxygen atoms .",0.8403538803824105
close.a.01,"If the **f bond is linear then there are three reasonable positions for the hydrogen atoms : ( 1 ) The hydrogen atoms are centered and hence all lie on a sheet midway between the oxygen sheets ; ( 2 ) all hydrogen atoms lie on a sheet , but the sheet is closer to one oxygen sheet than to the other ; ( 3 ) hydrogen atoms are asymmetrically placed , either randomly or in an ordered way , so that some hydrogen atoms are closer to the upper oxygen atoms while others are closer to the lower oxygen atoms .",0.8403538803824105
close.a.01,"If the **f bond is linear then there are three reasonable positions for the hydrogen atoms : ( 1 ) The hydrogen atoms are centered and hence all lie on a sheet midway between the oxygen sheets ; ( 2 ) all hydrogen atoms lie on a sheet , but the sheet is closer to one oxygen sheet than to the other ; ( 3 ) hydrogen atoms are asymmetrically placed , either randomly or in an ordered way , so that some hydrogen atoms are closer to the upper oxygen atoms while others are closer to the lower oxygen atoms .",0.8403538803824105
close.a.01,"The best chance , of course , is offered by gently sloping terrain where the water remains close to the surface and where the air is dry , so that a high evaporation leaves salty deposits which permit only sparse plant growth .",0.8279830211694024
close.a.01,"The African rock python , a close second , is followed in turn by the reticulate python .",0.5803696527335024
close.a.01,"When a dot appears close to the end of the transverse line , the `` moderate '' rating may be further classified according to the position of the dot with respect to the vertical marking denoting the mean age .",0.7901384150593499
close.a.01,"Such classifications may be called `` somewhat advanced '' or `` somewhat delayed '' , as the case may be , reserving `` moderate '' for dots upon or close to the mean .",0.7631120572617975
close.a.01,"The big factories which are relatively near the centers of our cities - the rubber factories in Akron , Chrysler 's Detroit plants , U. S. Steel 's Pittsburgh works - often began on these sites at a time when that was the edge of the city , yet close to transport ( river ) , storage ( piers ) and power ( river ) .",0.8362740879030793
close.a.01,"Closer still , regular barricades of barbed wire hung on timber supports .",0.6641112900943779
close.a.01,"That after all his years of effort to become a composer , he should now , now when he was still stoutly replying to the critics of his Discourse on the Arts and Sciences , be so close to a success in music and have to reject it .",0.7429412524487401
close.a.01,The figure was close enough now for him to see the nose twitching to dislodge the drop clinging there .,0.7175687565975061
close.a.01,"He drew her close and , hand on cheek , turned her face to his .",0.5511214676670655
close.a.01,"He gave Abel a quick glance and moved closer to the wheel , hugging it to him , and Abel caught this briefest of allusions to guilt .",0.6703093569955806
close.a.01,"Nothing in all the preceding years had had the power to bring me closer to a knowledge of profound sorrow than the breakup of camp , the packing away of my camp uniforms , the severing of ties with the six or ten people I had grown most to love in the world .",0.6973042205058613
close.a.01,"He was closer to understanding it in English now , although it could never have the inevitability of the Martian concept it stood for .",0.7082793034602729
close.a.01,In his mind he spoke simultaneously the English sentence and the Martian word and felt closer grokking .,0.6794446114317034
close.a.01,It is for growing closer .,0.6992683409989803
close.a.01,"Many years later , the photon counting apparatus in the nose of the ship would determine that the star was close enough to actuate deceleration .",0.7991541341583815
close.a.01,"Close to two million game birds were harvested on 1500 commercial and private shooting preserves , and on State Game Commission controlled upland game areas during the 1960 - 61 season .",0.5229822616116476
close.a.01,"If you plan to sell fresh vegetables or whole milk , for example , you should be close to a town or city .",0.7901102908794315
close.a.01,The new site was somewhat warmer than Fort Douglas and much closer to the great herds of buffalo on which the settlement must depend for food .,0.8107692971713968
close.a.01,"O ' Banion was born in poverty , the son of an immigrant Irish plasterer , in the North Side 's Little Hell , close by the Sicilian quarter and Death Corner .",0.637181574163442
close.a.01,"The late R. G. Collingwood , a philosopher whose work has proved helpful to many students of literature , once wrote `` We are all , though many of us are snobbish enough to wish to deny it , in far closer sympathy with the art of the music-hall and picture-palace than with Chaucer and Cimabue , or even Shakespeare and Titian .",0.6613245299759798
close.a.01,"This shelter could be built in regions where water or rock is close to the surface , making it impractical to build an underground shelter .",0.8411723759717469
close.a.01,These are particularly suitable for regions where water or rock is close to the surface .,0.8453155800762525
close.a.01,"Stanley had filled out the return and because , when he was finished , it was close to the lunch hour , he had politely asked Kitti to join him , never expecting her to accept .",0.6337065693463715
close.a.01,"Griffith said , `` Hoag told me to tell you '' - he waited until they were close ; it was hideously embarrassing - `` not to let the prime minister be alone with Mahzeer '' .",0.7080830070680528
close.a.01,Implements of wood and iron are available for close and hasty combat no matter where a man stands .,0.6068731578618454
close.a.01,"He stood flat-footed in the box , but not very close to the plate now .",0.8159947304349269
close.a.02,"It is being fought , moreover , in fairly close correspondence with the predictions of the soothsayers of the think factories .",0.8259175445575829
close.a.02,"In searching for clues which might lead us to a fresh apprehension of the reality of spirit , the close connection between spirit and community is likely to prove the most fruitful .",0.8136628378197244
close.a.02,"I , for one , rather regret that Schnabel did n't collaborate with the Budapest Quartet , whose rugged , athletic playing was a good deal closer to this pianist 's interpretative outlook than the style of the Belgian group .",0.6902010161964762
close.a.02,"Theirs is no mere lack of sympathy , but something closer to the passionate hatred that was directed against Fascism .",0.623754077892252
close.a.02,"Also , we should not even to-day discount the fact that a region such as the coastal lowlands centering on Charleston had closer ties with England and the West Indies than with the North even after independence .",0.7980588270945901
close.a.02,The situation with regard to our attitude and `` control '' of disease contains close analogies to problems confronting us with respect to people .,0.836600414185722
close.a.02,The bronchus and pulmonary artery in this lung type maintain a close relationship throughout .,0.8368362779225431
close.a.02,"The pulmonary vein , however , without the limiting supportive tissue septa as in type 1 , , follows a more direct path to the hilum and does not maintain this close relationship ( figs. 8 , 22 ) .",0.8109180993847486
close.a.02,Nor could he call up memory-pictures of close friends or relatives .,0.6838882158185069
close.a.02,And of course the news of who the composer was did finally begin to get around among his closest friends .,0.6261456424557419
close.a.02,"He felt close to Mary , having spent so long concentrating on the beginning of her journey .",0.6514237086039764
close.a.02,"Now that he knew himself to be self he was free to grok ever closer to his brothers , merge without let .",0.7448883780973101
close.a.02,Now we grow closer '' .,0.7349794877392613
close.a.02,"Then , as their grokking made them ever closer and Mike felt himself almost ready to discorporate her voice called him back : `` Oh !",0.6917195691158013
close.a.02,We use the term `` bio-medicine '' because of the close interrelation between biology and medical research .,0.8481837485541056
close.a.02,"In those vocational programs organized with Smith-Hughes money , there may be a close tie between the labor union and a local employer on the one hand and the vocational teacher on the other .",0.8423576634482596
close.a.02,"Others who wrote of low characters and low life included Thomas Bangs Thorpe , creator of the Big Bear of Arkansas and Tom Owen , the Bee-Hunter ; Johnson Jones Hooper , whose character Simon Suggs bears a close kinship to Flem Snopes in both his willingness to take cruel advantage of all and sundry and the sharpness with which he habitually carried out his will ; and George Washington Harris , whose Tennessee hillbilly character Sut Lovingood perpetrated more unmalicious mischief and more unintended pain than any other character in literature .",0.7894426082581574
close.a.02,Their first collaboration came close .,0.6529161120039716
close.a.02,"Men seem almost universally to want a sense of function , that is , a feeling that their existence makes a difference to someone , living or unborn , close and immediate or generalized .",0.7813961574952176
close.a.02,"If you are unable to sign the request , because of illness or other good cause , another person who stands in close personal or business relationship to you may sign the request on your behalf , stating the reason why you are unable to sign .",0.8021860180386386
close.a.02,"He was also , if Pam North was right , a closer acquaintance of Lauren Payne 's than she , now , was inclined to admit .",0.7799632886531201
close.a.02,"`` I 'm not a man who has many close intimate friends , Carla '' , he said , wanting her to know all about him .",0.7787232746341215
