sense,sentence,centroid_cs
center.n.01,"On the contrary , even in the heart of `` the Bible belt '' itself , as can be attested by any one who is called to work there , the industrial and technological revolutions have long been under way , together with the corresponding changes in man 's picture of himself and his world .",0.8583640616917972
center.n.01,"Raymond Vernon reports that residents of East St. Louis have been driving across the Mississippi , through the heart of downtown St. Louis and out to the western suburbs for major shopping , simply because parking is easier at the big branches than it is in the heart of town .",0.9215530260928848
center.n.01,"Raymond Vernon reports that residents of East St. Louis have been driving across the Mississippi , through the heart of downtown St. Louis and out to the western suburbs for major shopping , simply because parking is easier at the big branches than it is in the heart of town .",0.9215530260928848
center.n.01,They had let this black hole of death in Warsaw 's heart exist without a cry of protest .,0.7439724222807623
heart.n.03,Lublin was their heart .,0.8031867997110432
heart.n.03,Her optimism gave me heart .,0.7833210652354956
heart.n.03,"`` They require , for existence , a brave spirit and a high heart , and where do you find these ?",0.8386773462909228
heart.n.03,You have n't got the heart for baseball '' .,0.8521389414572444
heart.n.03,But what you have n't got is the heart to back up that talent with .,0.87714134173403
heart.n.03,"The heart , Phil .",0.7972515208128411
heart.n.03,"You just have n't got the heart for pro-ball , and that 's it '' .",0.8667811930367351
heart.n.03,That 's what I mean by no heart for the game .,0.8144183304443741
heart.n.02,"The heart weighed 510 gm. , and at the outflow tracts the left and right ventricles measured 19 and 3 mm. , respectively .",0.8872246981343209
heart.n.02,"Microscopically , sections from the posterior base of the left ventricle of the heart showed several large areas of replacement of muscle by fibrous tissue .",0.8649589699628709
heart.n.02,"Shot near the heart , he turned to one side and plunged for a door to another room several feet away , three bullets following him .",0.6136559015441817
heart.n.02,"It was nothing , though his heart was thumping wildly .",0.7798081832552797
heart.n.02,"He stood very still , his heart thumping wildly .",0.7341589543474133
heart.n.02,My heart almost stopped beating .,0.7088972336689625
heart.n.02,Andy felt his heart thud heavily with relief .,0.7223199548539989
heart.n.02,"Before midnight he speeded his heart , resumed normal breathing , ran down his check list , uncurled and sat up .",0.8132713878216036
heart.n.02,"The original electrocardiograph primarily indicates irregularities in the heartbeat , but today 's techniques allow exact measurements of the flow of blood through the aorta , dimensioning of the heart and its chambers , and a much more detailed study of each heartbeat .",0.9189199086284141
heart.n.02,"For many of these measurements the chest must be opened , but the blood vessels and the heart itself remain undisturbed .",0.9181705117980414
heart.n.02,"One simple method of measuring the expansion of the heart is to tie a thin rubber tube , filled with mercury , around the heart and record the change in resistance as the tube is stretched .",0.9213565458247045
heart.n.02,"One simple method of measuring the expansion of the heart is to tie a thin rubber tube , filled with mercury , around the heart and record the change in resistance as the tube is stretched .",0.9213565458247045
heart.n.02,Sonar can be used to measure the thickness of the heart by placing small crystal transducers at opposite sides of the heart or blood vessel and exciting one with some pulsed ultrasonic energy .,0.8867937918359903
heart.n.02,Sonar can be used to measure the thickness of the heart by placing small crystal transducers at opposite sides of the heart or blood vessel and exciting one with some pulsed ultrasonic energy .,0.8867937918359903
heart.n.02,"In addition to the heart and aorta , successful measurements of liver and spleen have also been made by this technique .",0.8890599872648888
heart.n.02,A still more sophisticated system has been devised for determining the effective power of the heart itself .,0.8994630821503579
heart.n.02,It uses both an ultrasonic dimensioning arrangement of the heart and a catheter carrying a thermistor inserted into the bloodstream .,0.9244135281467319
heart.n.02,"It is also possible to utilize a pressure transducer , mounted at the end of a catheter which is inserted into the heart 's left ventricle , to indicate the blood pressure in the heart itself .",0.8714473553612081
heart.n.02,"It is also possible to utilize a pressure transducer , mounted at the end of a catheter which is inserted into the heart 's left ventricle , to indicate the blood pressure in the heart itself .",0.8714473553612081
heart.n.02,"From this doctors can read heart rate , change in diameter , pressure , and effective heart power .",0.8313196843832836
heart.n.02,"Sadie , like Beth March , suffered ill health - got rheumatic fever and had to be careful of her heart - but that never dampened her spirits .",0.7808152191575618
heart.n.02,"No signs of these , no gross hemorrhage of lungs , heart , brain or stomach '' .",0.7951178542651717
heart.n.02,"And then there was a numbing blow to the heart , and another gut flattening blow to the stomach .",0.8107530434016963
kernel.n.03,"Certainly not in Orchestra hall where he has played countless recitals , and where Thursday night he celebrated his 20th season with the Chicago Symphony orchestra , playing the Brahms Concerto with his own slashing , demon-ridden cadenza melting into the high , pale , pure and lovely song with which a violinist unlocks the heart of the music , or forever finds it closed .",0.9140237836115884
kernel.n.03,The material of the Porter film is simplicity itself ; much of it has continued to be used over the years and the heart of it - good guys and bad guys in the old West - pretty well dominated television toward the end of the 1950's .,0.9149844732649224
heart.n.01,Of the two cherished achievements the elderly Spahn 's hitless pitching probably reached the most hearts .,0.650395108042959
heart.n.01,"Open your heart to Him and pray , Stephen , pray !",0.7928572750449636
heart.n.01,"Back in Bavaria he had seen that gesture , and at that sight his heart had always died within him .",0.8362908889971162
heart.n.01,His heart suddenly opened to joy .,0.7307464990212226
heart.n.01,He thought : Only in my heart can I make the world hang together .,0.7651169490275864
heart.n.01,In his heart he had no desire to go to Palestine .,0.7599952784822978
heart.n.01,"Day by day , week by week , month by month , the betrayal gnawed at Andrei 's heart .",0.7635404544776399
heart.n.01,"To confess with a canvas chair as a prie-dieu , gouging at his heart until a rough and stupid hand bade him rise and go ?",0.8222662278495654
heart.n.01,`` The world is full of blokes who put their hearts into making the tragic scene .,0.7516919061296123
heart.n.01,"In our present era of Science and Angst , the heart has been downgraded , to use one of our popular retrogressive verbs '' .",0.7869992765950895
heart.n.01,"`` Last year your Tennessee Williams told our Dilys Powell , in a television program , that it is the task of the playwright to throw light into the dark corners of the human heart .",0.8145956103214606
heart.n.01,"Like almost everybody else , he confused the heart , both as organ and as symbol , with the disturbed psyche , the deranged glands , and the jumpy central nervous system .",0.7488206181672067
heart.n.01,"I'm not pleading for the heart that leaps up when it beholds a rainbow in the sky , or for the heart that with rapture fills and dances with the daffodils .",0.8643954042522978
heart.n.01,"I'm not pleading for the heart that leaps up when it beholds a rainbow in the sky , or for the heart that with rapture fills and dances with the daffodils .",0.8643954042522978
heart.n.01,"The sentimental pure heart of Galahad is gone with the knightly years , but I still believe in the heart of the George Meredith character that was not made of the stuff that breaks '' .",0.8019007070977857
heart.n.01,"The sentimental pure heart of Galahad is gone with the knightly years , but I still believe in the heart of the George Meredith character that was not made of the stuff that breaks '' .",0.8019007070977857
heart.n.01,"`` We no longer have Tom Moore 's and Longfellow 's ' heart for any fate ' , either '' , I said .",0.8354876473343825
heart.n.01,"`` The heart '' , I said finally , `` is now either in the throat or the mouth or the stomach or the shoes .",0.8060927999151456
heart.n.01,"In a similar vein , but writing from the opposite side , Thomas Taylor , a private in the 6 th Alabama Volunteers , in a letter to his wife , stated : `` You know that my heart is with you but I never could have been satisfied to have staid at home when my country is invaded by a thievin foe By a set of cowardly Skunks whose Motto is Booty .",0.8362438316187454
heart.n.01,I looked unceasingly With my cold mind and with my burning heart '' .,0.8430569168651626
heart.n.01,He tells of his `` Jewish heart '' - not a Shylockian heart ; but a Jewish heart .,0.8754281052779884
heart.n.01,He tells of his `` Jewish heart '' - not a Shylockian heart ; but a Jewish heart .,0.8754281052779884
heart.n.01,He tells of his `` Jewish heart '' - not a Shylockian heart ; but a Jewish heart .,0.8754281052779884
heart.n.01,Would we gain by keeping alive his memory and besmirching today 's Roman Catholics by saying he had a Catholic heart ?,0.8374499200157283
