sense,sentence,centroid_cs
attend.v.01,"While it must be said that these same Protestants have built some new churches during this period , and that religious population shifts have emptied churches , a principal reason for this phenomenon of redundancy is that fewer Protestants are going to church .",0.7504507685382759
attend.v.01,`` I do n't go to school any more '' .,0.8808078941238069
attend.v.01,"The chief , annoyed by these questions , knocks Voltaire down and shouts at him that he not only never went to any school , but never even learned how to read .",0.7791635498848403
attend.v.01,He was the dormitory gapt when I went to college and thought I was getting away from him .,0.7665661254612018
attend.v.01,It went to church on Sunday and one Saturday a month went to confession .,0.6799630750026973
attend.v.01,It went to church on Sunday and one Saturday a month went to confession .,0.6799630750026973
attend.v.01,"The daughter replied , `` Oh , I had dinner with - well , you do n't know him but he 's awfully nice - and we went to a couple of places - I do n't suppose you 've heard of them - and we finished up at a cute little night club - I forget the name of it .",0.7035298980060342
attend.v.01,Did you go to their funeral '' ?,0.7851039200545951
attend.v.01,"`` We go to the park with this nice lady '' , one of them said .",0.8170116510350063
attend.v.01,"However , among the girls , there are some morale enhancing compensations for not going to college .",0.7685532858380331
attend.v.01,"Of course , I would like to go to an out-of-town school where there are all kinds of people , but I would want lots of Jewish kids there '' .",0.8526813467131962
attend.v.01,"She 'd say she did n't feel good on Sunday , could n't go to church - there 'd be a little argument , but she could be stubborn - and when the old woman had gone , quick pack the things she 'd need to take , all but the dress she 'd wear Monday , and take the bag down to that place in the station where you could put things in a locker overnight , for a dime .",0.8380050628592671
attend.v.01,"To be Katharine Ross , and work in a nicer shop somewhere , at a little more money so she could have prettier clothes , and learn ladies ' manners and all like that , and get to know different people than up to now , not just the ones like her here , with foreign sounding names , the ones went to the same church and - Different place , different job , different people , she 'd be all different too .",0.7590487824908322
attend.v.01,"`` I 'm also studying enameling with Hajime Iijima '' , he went on , `` and twice a week I go to a life class taught by Pendleton '' .",0.7837996256148988
attend.v.01,"I went to a retrospective of his work when I was eighteen , and I thought he was a contemporary of Cezanne 's '' .",0.7369870737765498
attend.v.01,Where did you go to school '' ?,0.7751353614206616
attend.v.01,"`` I think I 'll sleep in this morning '' , she said drowsily , and as she snuggled against him , he wondered if she ever went to church .",0.7537733471593264
attend.v.01,Why did he want her to go to church ?,0.8373013623785482
attend.v.01,"Just the same , he thought , pondering over it , it would be a good thing for a girl like Carla if she got up and went to church .",0.8008320244390095
attend.v.01,"A half hour later he got her up to go out for breakfast so the Ferraros , hearing them hurrying down the stairs , would think they were going to a late mass .",0.6775791198300272
attend.v.01,"Home is where a man was born , reared , went to school and , most particularly , where grandma is .",0.77984392992272
attend.v.01,Now they go to a high school that is two miles away .,0.7584231569461558
attend.v.01,"Generally , they go to school with a girl named Gloriana , who lives down the block , and has a car .",0.8212905132931131
attend.v.01,"Both were scholastic stars in football , basketball , and baseball ( Mantle in Commerce , Okla. , Maris in Fargo , N. D . ) ; as halfbacks , both came close to playing football at the University of Oklahoma ( `` Sometimes in the minors '' , Maris recalls , `` I wished I had gone to Oklahoma '' ) .",0.7190909906085352
attend.v.01,"Holmes went to Atlanta 's Morehouse ( Negro ) College , where he is a B + student and star halfback .",0.6450661367497308
attend.v.01,"Yet every Sunday we sinners go to that emergency room to receive first aid , and we leave unmindful that the man who ministered to us is a human being who suffers , too .",0.7486663509768732
attend.v.01,"The article also said that a person had to be 18 years old or over , and must not be going to high school to attend these classes .",0.7575194736797823
attend.v.01,You cannot be saved ; you cannot go to heaven unless you are born again .,0.771765668619393
attend.v.01,"I wanted to go to college , to '' -",0.8064662024329996
attend.v.01,I 'll tell you why I did n't go to college ; I 'm the oldest of six children .,0.8098170516822574
attend.v.01,"I had been among the top third in my class at N. Y. U. , had wanted desperately to go to medical school , but I 'd run out of money and energy at the same time .",0.8058257246786225
