sense,sentence,centroid_cs
direction.n.03,They have also led the nation in the direction of a welfare state .,0.7489881793342947
direction.n.03,"Important as these differences are , they should not obscure the basic fact that by shifting the hypothalamic balance sufficiently to the parasympathetic side , we produce depressions , whereas a shift in the opposite direction causes excitatory effects and , eventually , maniclike changes .",0.8244357059555962
direction.n.03,"To each paired vertex and diagonal point there corresponds a unique forward corner point , i.e. , the corner on C reached first by proceeding along C from the vertex in the direction of increasing t .",0.8081792002247988
direction.n.03,"If the vertex is at **f , and if the interior of C is on the left as one moves in the direction of increasing t , then every such corner can be found from the curve obtained by rotating C clockwise through 90 ` about the vertex .",0.7894734874576055
direction.n.03,Prokofieff was guided in a consistent direction by the life of his own people - by the compass of their national ideas .,0.8523050361353529
direction.n.03,"Because of the authentic homogeneity of his early Nationalistic materials , and his flair for orchestrations - his brilliant Petruchka , his savage Sacre du Printemps , his incisive Les Noces - the world kept hoping that he could recapture the historical direction for which his native talents were predisposed .",0.816541778424579
direction.n.03,Prokofieff was able to adjust his creative personality to a swiftly changing world without losing his particular force and direction .,0.7783995490994585
direction.n.03,"Roy Mason is essentially a landscape painter whose style and direction has a kinship with the English watercolorists of the early nineteenth century , especially the beautifully patterned art of John Sell Cotman .",0.731852382443541
direction.n.03,"In spending his money today , the consumer is pulled in many directions .",0.7778457642787577
direction.n.03,"Deciding to become a painter , he entered the studio of Gerome in Paris , where he enjoyed the life of the artists , but soon found that whatever talent he might have did not lie in that direction .",0.8413519947582386
direction.n.03,"They have indicated the direction but they have not been explicit enough , I believe , in pointing out Faulkner 's independence , his questioning if not indeed challenging the Southern tradition .",0.8616323892440593
direction.n.02,"The electric toothbrush moves in a vertical direction , the way dentists recommend .",0.8347243764286574
direction.n.02,"Check the elevation of the ground , degree and direction of slopes , drainage , rock outcrops , topsoil types and quality , as well as subsoil .",0.815402213104197
direction.n.02,"The direction , velocity , and season of these winds should be noted as to just how they will affect the recreation use and your maintenance and operation of the area .",0.8388472843760211
direction.n.02,"Essentially these birefringence studies show that at low rates of shear a tension is present at 45 ` to the direction of shear , and as the rate of shear increases , the direction of the maximum tension moves asymptotically toward the direction of shear .",0.9221451799826547
direction.n.02,"Essentially these birefringence studies show that at low rates of shear a tension is present at 45 ` to the direction of shear , and as the rate of shear increases , the direction of the maximum tension moves asymptotically toward the direction of shear .",0.9221451799826547
direction.n.02,"Essentially these birefringence studies show that at low rates of shear a tension is present at 45 ` to the direction of shear , and as the rate of shear increases , the direction of the maximum tension moves asymptotically toward the direction of shear .",0.9221451799826547
direction.n.02,"There is another means which should show the direction and relative value of the stresses in viscoelastic fluids that is not mentioned as such in the literature , and that is the shape of the suspended drops of low viscosity fluids in shear fields .",0.8944027411436792
direction.n.02,"The direction of the tension of minimum pressure is , of course , given by the direction of the major axis of the ellipsoids .",0.8902581653743855
direction.n.02,"The direction of the tension of minimum pressure is , of course , given by the direction of the major axis of the ellipsoids .",0.8902581653743855
direction.n.02,Mason and Taylor both show that the major axis of the ellipsoids is at 45 ` at low rates of shear and that it approaches the direction of shear with increased rates of shear .,0.8919993493059025
direction.n.02,"( Some suspensions break up before they are near to the direction of shear , and some become asymptotic to it without breakup . )",0.9072187616694282
direction.n.02,"( B ) That because of the low viscosity of the fluid , the internal pressure is the same in all directions .",0.7679891090338932
direction.n.02,The direction in which the arrow points shows how the maturity level of the growth center was changed at Completion from the level at Onset .,0.8714430542976545
direction.n.02,"Second , what is its concentration in normal circumstances and in what circumstances will this concentration depart from the normal level and in which direction ?",0.80702556928103
direction.n.02,"The supposed tactual sense of spatial location and orientation in the patient and his ability to specify the location of a member , as well as the direction and scope of a movement , passively executed ( with one of his members ) , proved to have been , on the contrary , very considerably affected '' .",0.8435345621853788
direction.n.02,A flash illumined the trees as a crooked bolt twigged in several directions .,0.6837852905125724
direction.n.01,"Capable as their minds may be in some directions , these guardians of the nation 's security are incapable of learning , or even of observing .",0.6899124791556528
direction.n.01,This is true because of savings in utility lines and the fact that your buildings have a useful radius equal in all directions .,0.7498381628078749
direction.n.01,"The observable characteristics of planetary radio radiation are the intensity , the polarization , and the direction of arrival of the waves .",0.7826837046719496
direction.n.01,"Dropping to one knee , Cook felled one , and the other struggled off with his comrade , sending no further fire in his direction .",0.7758863781192822
direction.n.01,They turned at the bottom of Kate 's steps and moved off in the direction of the park .,0.7905084921181162
direction.n.01,"I do n't know whether he was after our rider , who had gone by a minute before , or whether he was simply scouting conditions ; but when he passed us by , a musket roared , and he reared his horse , swung it around , and began to whip it back in the direction from which he had come .",0.8718559037125447
direction.n.01,"Wherever you looked , you saw Committeemen running across the meadows , some away from the road , some toward it , some parallel to it ; and about a mile to the west a cluster of at least fifty militia were making their way in our direction .",0.8146960372952863
direction.n.01,"The man began to creep in the wrong direction , deceived by a slight rise in the ground !",0.860895227055593
direction.n.01,And his eyes - those miniature sundials of variegated yellow - had not altered their expression or direction .,0.7822723840029063
direction.n.01,On some of the islands ' beaches the waves came in gently ; they were steepest on the shores facing the direction of the seaquake from which the waves had come .,0.8486552035584664
direction.n.01,"If a child watched its progress he whispered , `` Hay , hay , load of hay - make a wish and turn away '' , and then stared rigidly in the opposite direction until the sound of the horses ' feet returned no more .",0.8403621728859063
direction.n.01,As near as Cobb could determine the shots came from the direction of the Antler ranch house .,0.8423743649968972
