sense,sentence,centroid_cs
cover.v.02,Then I cover the sowing with a board .,0.7257932923330648
cover.v.02,"It is roughly shaped like a large pear , and when properly ripened , its dark green skin covers a meaty , melon like pulp that has about the consistency of a ripe Bartlett pear , but oily .",0.7466982252619535
cover.v.02,"The intimal surface of the aorta was covered with confluent , yellow-brown , hard , friable plaques along its entire course , and there was a marked narrowing of the orifices of the large major visceral arteries .",0.7956462533624009
cover.v.02,"Snow buried the streets and covered the slanting rooftops , as John trudged toward St. Peter 's .",0.7384769249417792
cover.v.02,"When he felt the side of his head , his fingers came away covered with blood .",0.674156821227062
cover.v.02,"No fold could be accidental , each turn of the drapery had to serve organically , to cover the Madonna 's slender legs and feet so that they would give substantive support to Christ 's body , to intensify her inner turmoil .",0.803663100672767
cover.v.02,"Together he and Argiento built the stand , covering it with blankets .",0.7512383703270195
cover.v.02,"I decided I hated the Pedersen kid too , dying in our kitchen while I was away where I could n't watch , dying just to entertain Hans and making me go up snapping steps and down a drafty hall , Pa lumped under the covers at the end like dung covered with snow , snoring and whistling .",0.6254564902119337
cover.v.02,"While accounts of the progress of the tsunami came in from various points in the Pacific ( Midway reported it was covered with nine feet of water ) , the Hawaiian station made its calculations and notified the military services and the police that the first big wave would arrive at Honolulu at 23 : 30 Greenwich time .",0.7655683294953355
cover.v.02,Side fences were hidden beneath lilacs and hundred leaf roses ; front fences were covered with Virginia creeper or trumpet vines or honeysuckle .,0.8245062244875049
cover.v.02,"Every path from back door to barn was covered by a grape-arbor , and every yard had its fruit trees .",0.828991573398686
cover.v.02,"But it was only Johnson reaching around the wire chicken fencing , which half covered the truck cab 's glassless rear window .",0.7929230143360193
cover.v.02,"The water in Thor 's big swimming pool had been covered with a blanket of thick , foamy soapsuds - fashioned , of course , from ZING - Joyce had dived from the board into the pool , then swirled and cavorted in her luxurious `` bath '' while cameras rolled .",0.8152598435498285
cover.v.02,I even ferreted out the materials from which shields were made - linden wood covered with leather - so I 'd get the light reflections accurate .,0.7758096152480907
cover.v.02,"Add enough warmed cream , seasoned to taste with onion juice , to about half cover the chicken breasts .",0.7653293730771651
