sense,sentence,centroid_cs
solution.n.02,These are the results .,0.7461057456579618
solution.n.02,"This material proved to be unsatisfactory , since we could not obtain reproducible results on various portions of the sample .",0.8631987537187795
solution.n.02,"Since **f is ferromagnetic , we felt that any results obtained from the magnetically contaminated **f would be suspect .",0.8426345119530526
solution.n.02,We are reporting these investigations here briefly because of their relevancy to problems of the study of apparently simple exchange reactions of chlorine and because the results furnish some information on the activation energy for abstraction of chlorine atoms from carbon tetrachloride .,0.7709365168718516
solution.n.02,"Homozygous and heterozygous * * f cells , * * f and homozygous and heterozygous * * f cells were used to test each sample ; however , in the interest of clarity and conciseness only the results obtained with homozygous * * f and homozygous * * f cells will be presented here .",0.8734446105649072
solution.n.02,Results from this approach amply confirm the direct observations :,0.825629909868069
solution.n.02,The results are too varied to allow generalization .,0.8302279798325437
solution.n.02,Figures 5 and 6 are examples of our method of analyzing the results for each growth center .,0.868234323099295
solution.n.02,"Here , for the case of squares inscribed in plane curves , we remove the restriction to convexity and give certain other results .",0.8195716990921244
solution.n.02,With the above results we can make the following remarks about the graph of f .,0.8177730979467108
solution.n.02,"However , he continued experimenting and lecturing , publishing the results of his experiments in German and Danish periodicals .",0.7423106266092563
solution.n.02,Determine the ratio of 50 % to the average per capita income of the U. S. ( Divide 50 by the result obtained in item 2 above . ),0.9169768661904056
solution.n.02,( Multiply the result obtained in item 3 above by the result obtained for each State in item 1 above . ),0.9370131387739261
solution.n.02,( Multiply the result obtained in item 3 above by the result obtained for each State in item 1 above . ),0.9370131387739261
solution.n.02,In all other States it is the difference obtained by subtracting from 100 the result obtained in item 4 above ; except that no State shall have an allotment percentage less than 33 - 1 3 % nor more than 75 % .,0.9195508368932985
solution.n.02,"( Multiply result obtained in item 7 above , by result obtained in item 6 above . )",0.8565908709231308
solution.n.02,"( Multiply result obtained in item 7 above , by result obtained in item 6 above . )",0.8565908709231308
solution.n.02,"( For each State , make all computations set forth in items 1 to 8 above , and then add the results obtained for each State in item 8 . )",0.9253150661825792
solution.n.02,( Divide the amount being allotted by the result obtained in item 9 above . ),0.8906095932829771
solution.n.02,( Multiply the State product in item 8 above by the result obtained in item 10 above . ),0.9249800090101146
solution.n.02,"Determine if the particular State 's unadjusted allotment ( result obtained in item 11 above ) is greater than its maximum allotment , and if so lower its unadjusted allotment to its maximum allotment .",0.8625764115338682
solution.n.02,"Determine if the particular State 's unadjusted allotment ( result obtained in item 11 above ) is less than its minimum ( base ) allotment , and if so raise its unadjusted allotment to its minimum allotment .",0.8640965359194203
solution.n.02,( Multiply the result obtained in item 3 above by the amount used for each State in item 1 above . ),0.933900016168259
solution.n.02,In all other States it is the difference obtained by subtracting from 100 the result obtained in item 4 above ; except that no State shall have a Federal share less than 50 % nor more than 70 % .,0.9208300507618921
solution.n.02,"He has announced results on Hokan , Penutian , Uto-Aztecan , and almost all other American families and phyla , and has diagrammed their degree of interrelation ; but he has not worked out by lexicostatistics one comprehensively complete classification of even a single family other than Salish .",0.7644851692006499
consequence.n.01,"The City Purchasing Department , the jury said , `` is lacking in experienced clerical personnel as a result of city personnel policies '' .",0.6423709006383018
consequence.n.01,"Garden Fresh , the result of a mating of Better Self and Rosy Fingered , seems to improve with each start and appeared to win the St. Patrick's Day Purse with some speed in reserve .",0.5449633344304146
consequence.n.01,"It has all been done in superb style , and the result is a show which deserves the support of every person hereabouts who enjoys good musical theater .",0.7361949055095752
consequence.n.01,"These conditions man did not keep , and thus he became mortal ; yet he did not stop being human as a result .",0.6525206265545809
consequence.n.01,"Yet no detail was too small to receive attention from this master , and as a result the playing here has humor , delicacy , and radiant humanity .",0.5774647412052797
consequence.n.01,The engineering provides exactly the support needed for such a result .,0.8068196758390491
consequence.n.01,"As with the penultimate Giselle release ( Wolff 's abridgment for RCA Victor ) I find the cleaner , less razor edged monophonic version , for all its lack of big stage spaciousness , the more aurally tolerable - but this may be the result of processing defects in my SD copies .",0.624420791257809
consequence.n.01,"The backbend is of extreme importance to any form of free gymnastics , and , as with all acrobatics , the sooner begun the better the results .",0.7385290338220654
consequence.n.01,"Typically , Sarah Gross and Mr. A both lost more than their money as the result of their experiences with their Cleveland quacks .",0.62596151701739
consequence.n.01,"As a result , she consulted medical authorities and learned that the devices her quack `` doctor '' was using were phony .",0.5935967249732145
consequence.n.01,"After all , the average American as he lies and waits for the enemy in Korea or as she scans the newspaper in some vain hope of personal contact with the front is unconcerned that his or her plight is the result of a complex of personal , economic and governmental actions far beyond the normal citizen 's comprehension and control .",0.7062530107137941
consequence.n.01,That much of what he calls folklore is the result of beliefs carefully sown among the people with the conscious aim of producing a desired mass emotional reaction to a particular situation or set of situations is irrelevant .,0.7164448820635878
consequence.n.01,"The results of present observations of the thermal radio emission of the moon are consistent with the very low thermal conductivity of the surface layer which was derived from the variation in the infrared emission during eclipses ( e.g. , Garstung , 1958 ) .",0.8335901776503684
consequence.n.01,"This result suggests a very high temperature at the solid surface of the planet , although there is the possibility that the observed radiation may be a combination of both thermal and non thermal components and that the observed spectrum is that of a black body merely by coincidence .",0.7739430921523539
consequence.n.01,"Other than this very significant result , most of the information now available about the radio emission of the planets is restricted to the intensity of the radiation .",0.7835206709794151
consequence.n.01,"Radio observations of the moon have been made over the range of wave lengths from 4.3 mm to 75 cm , and the results are summarized in Table 1 .",0.83252515578612
consequence.n.01,"The result of the observations is ( in ` K ) **f where the phase angle , |qt , is measured in degrees from new moon and the probable errors include absolute as well as relative errors .",0.8081427199543153
consequence.n.01,"This result is plotted along with the 8.6 - mm observations of Gibson ( 1958 ) in figure 1 , a .",0.7687343180998772
consequence.n.01,"A good formulation will keep the clothes clean and white after many washings ; whereas , with a poor formulation , the clothes exhibit a build-up of `` tattle-tale grey '' and dirty spots - sometimes with bad results even after the first wash .",0.7515958379635043
consequence.n.01,No correlation between these variables and the irreproducibility of the results was found .,0.8033007833364016
consequence.n.01,"Although there was some variation in results which must be attributed either to trace impurities or to variation in wall effects , the photochemical exchange in the gas phase was sufficiently reproducible so that it seemed meaningful to compare the reaction rates in different series of reaction tubes for the purpose of obtaining information on the effect of chlorine concentration and of carbon tetrachloride concentration on the reaction rate .",0.7873624843129637
consequence.n.01,"Being based on so few events , these results are of dubious validity .",0.7911015158317406
consequence.n.01,"Many workers believe that the response is proportional to the incident momentum of the particles , a relation deduced from laboratory results linearly extrapolated to meteoritic velocities .",0.7527934536613671
consequence.n.01,Figure 1 describes the results obtained in this trial .,0.8232016605785559
consequence.n.01,"In this case , then , the military objective was accomplished with an epidemic agent solely through the results secured in the initial attack .",0.816805598811196
consequence.n.01,"This was later known to be the result of concentrating the minute amount of complete antibody found in these sera ; when the insoluble fraction was suspended in a volume of saline equal to that of the original serum sample , no complete antibody activity could be detected .",0.72001414852447
consequence.n.01,"As a result , the proportion of males ( which leave the nest ) increases , and eventually the old colony will die out completely .",0.6253121783873997
consequence.n.01,"The best way to determine the correct figure ( in captives ) is by direct observation of pairs isolated from birth , a method that produced surprising results : maturing of a male Indian python in less than two years , his mate in less than three ; data on the boa constrictor about match this .",0.8165226384854792
consequence.n.01,"Similar results might be expected from the influence of drugs or pathological conditions that limit iodide trapping , or organification , or accelerate thyroglobulin proteolysis .",0.8116268282241923
consequence.n.01,The introduction of the United States Pharmacopoeia reference standard in 1952 and the redefinition and equating of the USP and international units of thyroid stimulating activity have made it possible to compare results published by different investigators since that time .,0.7859364427768118
consequence.n.01,We should like to re-emphasise the importance of stating results solely in terms of international units of TSH activity and of avoiding the re-introduction of biological units .,0.8021843988019548
consequence.n.01,"For the most part , this discussion will be confined to results obtained since the introduction of the reference standard .",0.8112536691659693
consequence.n.01,"The international unit ( u . ) , adopted to make possible the comparison of results from different laboratories ( Mussett and Perry , 1955 ) , has been defined as the amount of activity present in 13.5 mg of the International Standard Preparation .",0.7997052452450312
consequence.n.01,Thyroid function tests yielded normal results .,0.7858151193459454
consequence.n.01,Results of specific staining by the direct and the indirect methods were similar and showed the localization of WTV antigen in certain tissues of tumors .,0.7813856282669004
consequence.n.01,"Although we are still far from a complete understanding of these problems , as a first approximation , it is suggested that alterations in the hypothalamic balance with consequent changes in the hypothalamic cortical discharges account for major changes in behavior seen in various moods and states of emotions in man and beast under physiological circumstances , in experimental and clinical neurosis , and as the result of psychopharmacological agents .",0.7283713066354852
consequence.n.01,"From these results , one sees that the study of linear operators on vector spaces over an algebraically closed field is essentially reduced to the study of nilpotent operators .",0.7358385896820512
consequence.n.01,"In any event , the extraordinary result of this injury was that he became `` psychically blind '' , while at the same time , apparently , the sense of touch remained essentially intact .",0.7824724358276768
consequence.n.01,"When the patient was not allowed to move his body in any way at all , the following striking results occurred .",0.8220510565600124
consequence.n.01,"What we have seen in this chapter , we have seen only dimly , and yet the results , however general , are worth the search .",0.8313276811999473
consequence.n.01,The results of the election of 1859 found Republican candidates not only winning the offices of governor and lieutenant-governor but also obtaining the two Congressional offices from the eastern and western sections of the state .,0.6876568498553948
