sense,sentence,centroid_cs
benefit.n.02,"The colonial period has generally left people believing that government can , if it wishes , provide all manner of services for them - and that with independence free men do not have to work to realize the benefits of modern life .",0.8488424330013119
benefit.n.02,"The concentration of effective power in Rabat leads not only to party bickering , but to distraction from local activity that might have had many auxiliary benefits in addition to contributing to more meaningful elections .",0.8458967608476055
benefit.n.02,The registration figures given in Table 2 must be interpreted with caution since the estimate for eligible electors were made without the benefit of a reliable census .,0.6533042896708487
benefit.n.02,The benefits electronics can bring to bio-medicine may be greater by far than any previous medical discovery .,0.800512669117838
benefit.n.02,Greatest benefits have been associated with feeding low moisture corn in beef feeding programs .,0.7877551112113603
benefit.n.02,Will your trade customers settle for less attention and fewer frills in return for some benefit they can share ?,0.8509637274366283
benefit.n.02,Encourage them to exercise their benefits .,0.7916636037356272
benefit.n.02,"Hence the prime issue , as I see it , is whether a democratic or free society can master technology for the benefit of mankind , or whether technology will rule and develop its own society compatible with its own needs as a force of nature .",0.7661112745015305
benefit.n.02,"As to benefits to employees , it is notorious for its callous disregard except where it depends on them for services .",0.7705316598564231
benefit.n.02,"But while the corporation has all the disadvantages of the socialist form of organization ( so cumbersome it cannot constructively do much of anything not compatible with its need to perpetuate itself and maintain its status quo ) , unluckily it does not have the desirable aspect of socialism , the motivation to operate for the benefit of society as a whole .",0.7399854099931562
benefit.n.02,"Though far from completion , these studies indicated beyond a doubt that savings would result which would be of unprecedented benefit to the railroads concerned , their investors , their customers , their users , and to the public at large .",0.8046477730586333
benefit.n.02,"Cuban S. S. R. : Whatever may have been the setbacks resulting from the unsuccessful attempt of the Cuban rebels to establish a beachhead on the Castro held mainland last week , there was at least one positive benefit , and that was the clear-cut revelation to the whole world of the complete conversion of Cuba into a Russian dominated military base .",0.7774538752158509
benefit.n.02,"Thus , besides the training provided to youth in school , the existence of the school program can have supplementary benefits to industry which make it an asset to industrial development efforts .",0.8664179215767935
benefit.n.02,"It was mostly for the benefit of the mailman , because hardly anybody else ever visited us .",0.6373650340554178
benefit.n.01,"Other items on the agenda during the meetings , which are expected to continue through Saturday , concern television , rules changes , professional football 's hall of fame , players ' benefits and constitutional amendments .",0.816018903320953
benefit.n.01,How long has it been since you reviewed the objectives of your benefit and service program ?,0.7762306208370678
benefit.n.01,Has your attitude toward employee benefits encouraged an excess of free `` government '' work in your plant ?,0.8718221581465061
benefit.n.01,"When negotiating with your union , do you make sure employees have a choice between new benefits and their cents per hour cost in wages .",0.901134703313424
benefit.n.01,"Can you consider restricting any additional employee benefits to those paid for by profit-sharing money , such as was done in the union contract recently signed by American Motors Corporation ?",0.8941511723200899
benefit.n.01,Do your employees understand all the benefits to which your insurance entitles them ?,0.8576747670682463
benefit.n.01,Are they encouraged to take full legal advantage of these benefits ?,0.8872061961388419
benefit.n.01,Consider what you can afford to spend and what your goals are before setting up or revamping your employee benefit program .,0.8125890466011639
benefit.n.01,These factors can make the difference between waste and efficiency in any benefit program .,0.7836082552326171
benefit.n.01,Aim to balance your employee benefit package .,0.8469766520654971
benefit.n.01,"U. S. Rubber Company , New York , passes out a form itemizing the value of benefits .",0.8674630494693498
benefit.n.01,Check to see if some of your benefits - such as on-the-job disability pay - can be put on a direct payment rather than an insured basis at a savings to you .,0.8799069218508674
benefit.n.01,Put a dollar and cents limit on benefits .,0.8640795657551227
benefit.n.01,Do n't go overboard on insurance that pays benefits only upon death .,0.8505188703060513
benefit.n.01,"Generally , your employee will greatly appreciate benefits that protect him during his working life or during retirement .",0.8684615615580407
benefit.n.01,Younger men usually do n't think of pensions as an important job benefit factor anyhow and they 're liable to change jobs several times before settling down .,0.7725013993416204
