sense,sentence,centroid_cs
serve.v.05,"After she had served the detectives coffee and toast ( they politely declined eggs , uncomfortable about their tenancy ) , she settled down with a morning newspaper and began reading the stock market quotations .",0.7249339901080962
serve.v.05,"I remember standing in a corner , watching Jessica act the hostess , serving soft drinks to her guests .",0.7267131056814904
serve.v.05,At the home of a gourmet the new maid was instructed in the fine points of serving .,0.8037938599820688
serve.v.05,"`` I want the fish served whole , with head and tail '' , the epicure explained , `` and serve it with lemon in mouth '' .",0.8332912955405269
serve.v.05,"`` I want the fish served whole , with head and tail '' , the epicure explained , `` and serve it with lemon in mouth '' .",0.8332912955405269
serve.v.05,Consider installing supplemental serving lines in production areas .,0.6166257108760784
serve.v.05,"Latest models serve hot meals at reasonable prices , and at a profit to you .",0.7858009927486311
serve.v.05,"Cocktails will be served from 6 to 7 p. m. , with dinner at 7 and entertainment in the main dining room immediately following .",0.8174380384417314
serve.v.05,Serve each breast on a thin slice of slow-baked ham and sprinkle with Thompson seedless grapes .,0.8081461171419888
serve.v.05,"A story goes that a certain Herr Feuchtwanger of St. Louis , around 1883 served his sausages ( grilled ) and mustard to his fancy customers .",0.7841521770487724
serve.v.05,Serves 12 .,0.5765696034507164
serve.v.05,"Jones relented , he did not order his men to apply the torch - the drove of livestock was driven up the valley , via Beverly , and across the mountains to feed and serve the Confederate army , while Jones and his raiders turned toward Buckhannon to join forces with Imboden .",0.6580840012493241
serve.v.05,"The school has not used cold prepared cereals for years , though at one time that was all they ever served .",0.8231139140597039
serve.v.05,"They serve cracked wheat , oats or cornmeal .",0.8626853081871944
serve.v.05,Salads are served at least once a day .,0.8524840613879946
serve.v.05,Vegetables are served liberally .,0.8264745657925151
serve.v.05,Home-made sauerkraut is served once a week .,0.8584481659834001
serve.v.05,Lots of cheese made from June grass milk is served .,0.8146388411732678
serve.v.05,"For deserts , puddings and pies are each served once a week .",0.8816223492136204
serve.v.05,"If the investigation committee spent months digesting the thoughtful food served them at the Laboratory School , they left Helva with a morsel as well .",0.7401554537525749
serve.v.05,You could set up tables in the front room and serve salads and your baked beans and brown bread and Grandma could dress like a gypsy and tell fortunes '' .,0.861511219315723
serve.v.02,"A Houston teacher , now serving in the Legislature , proposed Thursday a law reducing the time spent learning `` educational methods '' .",0.7153832766378551
