sense,sentence,centroid_cs
necessitate.v.01,"Whereas Bultmann 's `` center '' position is structurally inconsistent and is therefore indefensible on formal grounds alone , the general position of the `` right '' , as represented , say , by Karl Barth , involves the rejection or at least qualification of the demand for demythologization and so is invalidated on the material grounds we have just considered .",0.8035021146453992
necessitate.v.01,"The release , the freedom , involved in loving another is either terribly difficult or else absolutely impossible ; and the motion toward it brings disaster .",0.6660446652521533
necessitate.v.01,"Wet cleaning involves an aqueous medium , a solid substrate , soil to be removed , and the detergent or surface-active material .",0.781815473896056
necessitate.v.01,This is a $ 14 million operation involving 3500 employees who work on commuter traffic exclusively .,0.7045341039205839
necessitate.v.01,All of these sub-tests involve reading except Arithmetic Computation .,0.8212504266486172
necessitate.v.01,"Many changes involved minor editing and clarification ; however , the first belief stood for entire revision with a new third point added to the list .",0.8308380952328615
necessitate.v.01,"The latter involved hitting a full four-wood out to the first fairway and toward the clubhouse , hoping to slice it back to the deeply bunkered 9 th green .",0.8215423644608943
necessitate.v.01,They involve only simple mathematics that are taught in grammar school arithmetic classes .,0.8170257316034132
necessitate.v.01,"When solving an equation that involves division as well as other steps , do all the division steps first to reduce those parts of the equation to their numerical value .",0.8287293387123597
necessitate.v.01,"While expensive in time and involving a great deal of adaptation on the part of the worker ( in terms of his willingness to leave the sanctity of his office and enter actively into the client 's life ) , techniques of accompaniment were found to be of tremendous value when in the service of specific preventive objectives .",0.8042080456253131
necessitate.v.01,"Thus , casework involving a limited number of interviews is still to be regarded in terms of the quality of service rendered rather than of the quantity of time expended .",0.8270611558152741
necessitate.v.01,"At present the doctor 's main concern was in seeing to it that Japanese salvage firms were not permitted to operate on the hulks of warships sunk too close inshore , because the work involved setting off nerve-shattering blasts at all hours .",0.7867468383938087
imply.v.05,"If we were asked why we thought so , we should say that these things involve great evil and are wrong , and that to take delight in what is evil or wrong is plainly unfitting .",0.7936611450593343
imply.v.05,"The Church considers this to be the method provided by nature and its divine Author : It involves no frustration of nature 's laws , but simply an intelligent and disciplined use of them .",0.8377639460910038
imply.v.05,"The apprentice program will involve further education on a part-time basis , usually at night , perhaps using some of the same equipment of the high school .",0.7843325264911797
