sense,sentence,centroid_cs
operate.v.01,"If a concessionaire runs the cafeteria , keep an eye out for quality and price .",0.8061995527477533
operate.v.01,"While they were away Blanche came into the office every morning , running things as she had always run them for Stanley , going through the week in a dazed stupor , getting things done automatically , out of habit .",0.7464911399313787
operate.v.01,"While they were away Blanche came into the office every morning , running things as she had always run them for Stanley , going through the week in a dazed stupor , getting things done automatically , out of habit .",0.7464911399313787
operate.v.01,"Her young British lawyer , James Dunlop , pleaded that she was sorely needed at her Portland home by her widowed mother , 80 , her maiden aunt , also 80 and bedridden for 20 years , and her uncle , 76 , who once ran a candy shop .",0.7301744737222613
operate.v.01,The deodorant firm run by Pesce has offices in the headquarters of Glimco 's discredited taxi drivers ' union at 1213 - 15 Blue Island av. .,0.74547195342831
operate.v.01,"Gus Ehlers , competitor of Mr. Houtz in this farm community , says his business since August 1 is running 50 % above a year earlier .",0.7147857918563514
operate.v.01,Registered Democrats in New York City this year have the opportunity to elect their party 's candidates for Mayor and other municipal posts and the men who will run their party organization .,0.7783031320306198
operate.v.01,"But further thought brings the shuddery visions of a governor 's race being run in the next Legislature , the spectre of big spending programs , the ooze of mudslinging before the campaign should even begin .",0.6403945119285567
operate.v.01,Their plan for rotation of leaders promised a salutary blow at `` bureaucracy '' and would enable `` the people '' to take a more direct and active part in running the country .,0.7586782706780936
operate.v.01,"Susan Johnson , as the widow , spends the first half of the play running a bar and singing about the unlamented death of her late husband and the second half trying to acquire a new one .",0.7257980774419346
operate.v.01,"When a hole is to be bored to a predetermined depth , mark the depth on the side of the stock , then run the bit down so that it is even with the mark .",0.6800374852183354
operate.v.01,"We cater mostly to nice people in the $ 5 - 8000 annual income bracket and we run a string of snazzy , neon-lit , chromium-plated suburban stores .",0.7834652749151042
operate.v.01,"On the other hand , it is no interference with sovereignty to point out defects where they exist , such as that a plan calls for factories without power to run them , or for institutions without trained personnel to staff them .",0.8215001195436591
operate.v.01,We like to run a nice quiet place '' .,0.8063333004290892
operate.v.01,"We will gladly entertain your young and give them proper living quarters , in return for their help in running our fusion reactors .",0.8001599006407819
operate.v.01,A ship run by a human brain could not run rogue or insane with the power and resources Central had to build into their scout ships .,0.7571724338292627
operate.v.01,A ship run by a human brain could not run rogue or insane with the power and resources Central had to build into their scout ships .,0.7571724338292627
operate.v.01,He ran the change rooms .,0.7663008626356264
operate.v.01,I now felt it wiser to keep Baby-dear in school and - during the summers - at a camp run by the Society of Friends all year around .,0.7032650501425791
run.v.01,"`` He 's looking a lot better , and he 's able to run '' , Meek explained .",0.7714316771792483
run.v.01,"The game players saw the Air Force film Monday , ran for 30 minutes , then went in , while the reserves scrimmaged for 45 minutes .",0.6011763102005896
run.v.01,I can't run .,0.7256719727684959
run.v.01,"Miss Sutherland appeared almost as another person in this scene : A much more girlish Lucia , a sensational coloratura who ran across stage while singing , and an actress immersed in her role .",0.7576114445434453
run.v.01,"Keeping the hands in the starting position , run in place to a quick rhythm .",0.6684846435553093
