sense,sentence,centroid_cs
need.n.01,"Marshall Formby of Plainview , former chairman of the Texas Highway Commission , suggested a plan to fill by appointment future vacancies in the Legislature and Congress , eliminating the need for costly special elections .",0.772989561296147
need.n.01,Paradise lost to the alleged water needs of Texas ' big cities Thursday .,0.7412066052973888
need.n.01,"In the absence of a truly adequate conceptuality in which the gospel can be expressed , the unavoidable need to demythologize it makes use of whatever resources are at hand - and this usually means one or another of the various forms of `` folk religion '' current in the situation .",0.8158421223000992
need.n.01,This is not to say that the only explanation of the present infatuation with Norman Vincent Peale 's `` cult of reassurance '' or the other types of a purely cultural Christianity is the ever-present need for a demythologized gospel .,0.8757468184358043
need.n.01,But it is to say that this need is far more important for such infatuation than most of the pundits seem to have suspected .,0.7810615976578017
need.n.01,"There is an ancient and venerable tradition in the church ( which derives , however , from the heritage of the Greeks rather than from the Bible ) that God is completely independent of his creation and so has no need of men for accomplishing his work in the world .",0.7779875195275141
need.n.01,"But , as Scripture everywhere reminds us , God does have need of his creatures , and the church , a fortiori , can ill afford to do without the talents with which the world , by God 's providence , presents it .",0.7528947709508998
need.n.01,"Moreover , for those few there was almost no ecclesiastical representation in the city to care for their religious needs .",0.7143739337997682
need.n.01,"Irenaeus does not claim pre-existence for the human soul ; therefore there is no need for him , as there is for Origen , to identify existence itself with the fall .",0.6985308080666335
need.n.01,"But we must never forget , most of the appropriate heroes and their legends were created overnight , to answer immediate needs , almost always with conscious aims and ends .",0.7853481141109275
need.n.01,There still remained the need for one great film artist to explore the full potential of the new form and to make it an art .,0.7909706438567725
need.n.01,- liberal considers that the need for a national economy with controls that will assure his conception of social justice is so great that individual and local liberties as well as democratic processes may have to yield before it .,0.8585821069413379
need.n.01,"We are desperately in the need of such invention , for man is still very much at the mercy of man .",0.786950668123581
need.n.01,"In conclusion , these findings suggest the need for a comparative physiology , pathology , and histology of mammalian lungs .",0.7739227299985846
need.n.01,In these rapidly changing societies there is also too little appreciation of the need for effort to achieve goals .,0.8653990322243454
need.n.01,"Nevertheless , impulses still exist among the ruling elite to rationalize and thus to perpetuate the need for centralized and authoritarian practices .",0.8624516393868321
need.n.01,A number of religions also satisfy for many the need of being linked with the ultimate and eternal .,0.8666973071175521
