sense,sentence,centroid_cs
arise.v.03,Then they disappeared and Scotty got up and went into his own room and got into bed .,0.8357020112546161
arise.v.03,"Bobby Joe and two or three of the other boys declared they had never been possum hunting , and Uncle Bill Farnworth ( from Mama Albright 's side of the family ) said he would just get up from there and take them , right then .",0.7912850692652132
arise.v.03,"The two men sat for some time , savoring the pleasure of escape from peril and the relief such escape brings , before they got up and left the hotel , the doctor to go to the conference house and Alex to go to the main post office .",0.7681943580388477
arise.v.03,She finally regained her balance and got up in the saddle .,0.8181975345465093
arise.v.03,"Then , they had to get up and be General Burnside .",0.774583253978132
arise.v.03,"For example , one hebephrenic man used to annoy me , month after month , by saying , whenever I got up to leave and made my fairly steoreotyped comment that I would be seeing him on the following day , or whenever , `` You 're welcome '' , in a notably condescending fashion - as though it were his due for me to thank him for the privilege of spending the hour with him , and he were thus pointing up my failure to utter a humbly grateful , `` thank you '' to him at the end of each session .",0.713279760969643
arise.v.03,"`` Get up , Crouch .",0.7134611934891651
arise.v.03,"The cleansing tissues she had been using had been falling on the floor , and he got up and picked up one , then another , hoping she would notice what he was doing .",0.839853156748628
arise.v.03,In the last of the sixth inning Mike Deegan got up to bat and hit a fast ball over the left fielder 's head .,0.7877292319562051
arise.v.03,"Phil Rossoff , seated next to Deegan , got up and moved to the other end of the bench .",0.8396387526756394
arise.v.03,"Deegan dropped , got up , turned and , holding the bat with both hands up against his chest , began to walk slowly out to the mound .",0.8298426724851728
arise.v.03,"It took him a few seconds to put his thoughts in order , and then he got up from the bunk where he had been resting , sleeplessly .",0.8120662326816069
arise.v.03,"Now all the bodies are missing , like they got up and walked away '' .",0.7700380053474492
arise.v.03,`` Get up .,0.6838033613881788
