sense,sentence,centroid_cs
declare.v.01,"The escheat law cannot be enforced now because it is almost impossible to locate such property , Daniel declared .",0.8291537899751009
declare.v.01,"Place kicking is largely a matter of timing , Moritz declared .",0.800813433514589
declare.v.01,Christianity declares that in the life and death of Jesus Christ the unique and the universal concur .,0.754895186304464
declare.v.01,"When the house was about half consumed , his comrade ran to the door and threw up his hands , declaring repeatedly that he did not know the whereabouts of Manuel .",0.7325149978274734
declare.v.01,"The bank which held the mortgage on the old church declared that the interest was considerably in arrears , and the real estate people said flatly that the land across the river was being held for an eventual development for white working people who were coming in , and that none would be sold to colored folk .",0.8001065562826565
declare.v.01,Eileen declared she could n't lift her head from the pillow .,0.7854152703532843
declare.v.01,"`` The sexual relationship does not exist in a vacuum '' , declares Dr. Mary Steichen Calderone , medical director of the Planned Parenthood Federation of America and author of the recent book , Release From Sexual Tensions .",0.7576861120384282
declare.v.01,"`` A marriage can survive almost any kind of stress except an open and direct challenge to the husband 's maleness '' , declares Dr. Calderone .",0.7510241066898496
declare.v.01,"In fact , the noted psychologist and sex researcher , Dr. Albert Ellis , has declared flatly that women are `` sexually superior '' to men .",0.83323034753056
declare.v.01,"`` As long as the couple is in agreement in their approach to sex , it makes little difference if one or the other dominates '' , Dr. Calderone declares .",0.8168549378422132
declare.v.01,"This traffic , he declared prophetically , `` tho ' it might be of small account at first , would increase with the progress of our Settlements '' .",0.8246927360660867
declare.v.01,"`` Why , I meant what I said '' , Lord declared .",0.7215648892972614
declare.v.01,"`` Gyp 'll be holdin ' forth in some bar if he 's here at all '' , Cobb declared , glancing along the street as they stretched their legs .",0.7705677129547489
declare.v.01,It declares that Sunday sales licenses provide `` great revenue '' to the local government .,0.8059354251460553
declare.v.01,"`` After inspiring this , I think we should certainly follow through on it '' , he declared .",0.8035721701362531
declare.v.01,"Attorney Dwight L. Schwab , in behalf of defendant Philip Weinstein , argued there is no evidence linking Weinstein to the conspiracy , but Judge Powell declared this is a matter for the jury to decide .",0.7219078576354281
declare.v.01,"Schwab also declared there is no proof of Weinstein 's entering a conspiracy to use the U. S. mails to defraud , to which federal prosecutor A. Lawrence Burbank replied :",0.7839876656663712
declare.v.01,He declared the government is thinking of asking for foreign troops if the situation worsens .,0.797761807123571
declare.v.01,"In 1825 , the Boston house carpenters ' strike for a ten-hour day was denounced by the organized employers , who declared : `` It is considered that all combinations by any classes of citizens intended to effect the value of labor tend to convert all its branches into monopolies '' .",0.7956207468425109
declare.v.01,"In People vs. Fisher , Justice Savage of the New York Supreme Court declared :",0.7389724387016932
declare.v.01,"In the preamble to the open-meeting statutes , collectively known as the Brown Act , the Legislature declares that `` the public commissions , boards and councils and other public agencies in this state exist to aid in the conduct of the people 's business .",0.7767997439533552
declare.v.01,"Yet although the Kennedy Administration , and the Eisenhower Administration before it , have both declared themselves solidly for repeal of the Connally amendment , as contrary to our best interests , no action has yet been taken .",0.7518423088252839
declare.v.01,"Speakers declared that Protestants often make use of it , if , perhaps , by some other name .",0.8086483695784655
declare.v.01,"For new galaxies to be created , Professor Bondi declares , it would only be necessary for a single hydrogen atom to be created in an area the size of your living room once every few million years .",0.7623963750851017
declare.v.01,The total process of evangelism reaches the crescendo when the group of new members stands before the congregation to declare publicly their faith and to be received into the fellowship of the Church .,0.6760501306898916
