sense,sentence,centroid_cs
compare.v.01,"In looking for the best sites available that meet the requirements , you need information to compare the site with others .",0.8122544998971651
compare.v.01,Without comparing the relative merits of the two courses - architecture versus interior design - let us examine the educational needs of the interior designer .,0.8270013637999906
compare.v.01,"For example , the BBB has reported it was receiving four times as many inquiries about quack devices and 10 times as many complaints compared with two years ago .",0.7839465877086296
compare.v.01,And it is certainly no slight to either of them to compare both their achievements and their impact .,0.7944285490875387
compare.v.01,The received radiation is compared with the radiation from a hypothetical black-body which subtends the same solid angle as the visible disk of the planet .,0.8636532912751234
compare.v.01,"The radio radiation of the sun which is reflected from the moon and planets should be negligible compared with their thermal emission at centimeter wave lengths , except possibly at times of exceptional outbursts of solar radio noise .",0.8195023982414932
compare.v.01,The higher heat transfer rates at the anode compared with those at the cathode can be explained by the physical phenomena occurring in free burning arcs .,0.752515276011079
compare.v.01,it is apparent from the above and from experimental evidence that the cooling requirements for the anode of free burning arcs are large compared with those for the cathode .,0.8040291823708696
compare.v.01,"It is sufficiently small compared with the surface temperature of the anode holder , to make the energy flux radiated from the environment toward the anode holder negligible within the accuracy of the present measurements .",0.7570298301110526
compare.v.01,Chromium analysis gave 58.8 % Cr as compared with 61.2 % theory .,0.7403315737886945
compare.v.01,The crude picture of the detergency process thus far developed can be represented as : * * f The influence of mechanical action on the particles of free soil may be compared to that of kinetic energy on a molecular scale .,0.8385897262398663
compare.v.01,By comparing reaction cells sealed from the same manifold temperature dependency corresponding to activation energies ranging from 11 to 18 * * f was observed while dependence on the first power of the light intensity seemed to be indicated in most cases .,0.7962649157346318
compare.v.01,"Although there was some variation in results which must be attributed either to trace impurities or to variation in wall effects , the photochemical exchange in the gas phase was sufficiently reproducible so that it seemed meaningful to compare the reaction rates in different series of reaction tubes for the purpose of obtaining information on the effect of chlorine concentration and of carbon tetrachloride concentration on the reaction rate .",0.8262022458810598
compare.v.01,"Onsets , Completions , and Skeletal Ages ( Hand ) of boy 34 and girl 2 may be directly compared and classified , using only those Skeletal Ages which appear immediately below the Onset Profile and the Completion Profile .",0.7928623521827176
compare.v.01,Charming and peaceful - but what were charm and peace compared to high adventure ?,0.737421520314119
compare.v.01,She was resentful of his easy success as compared with Shelley 's failure .,0.7545921785386152
compare.v.01,"I look like an old man , compared '' , and he had picked up his photograph with the red Christmas bow still on it .",0.6423444132679198
compare.v.01,"Jubal 's conversations coming and going - Jubal 's words troubled him most ; he studied them , compared them with what he had been taught as a nestling , struggling to bridge between languages , the one he thought with and the one he was learning to think in .",0.726442028892236
compare.v.01,"Compare the vast difference in scope and beauty between his neat and witty little Classical Symphony and his big , muscular , passionate , and eloquent Fifth Symphony ; or the Love for Three Oranges ( gay as it is ) with the wonderful , imaginative , colorful , and subtle tenderness of the magnificent ballet , The Stone Flower .",0.6253072946364742
compare.v.01,"Chapter 8 , is entitled `` On Magnetism '' and in it are included such remarks as , `` One has always been tempted to compare the magnetic forces with the electrical forces .",0.8118504533186313
compare.v.01,When did you last compare your present premium costs with the costs of insurance from other sources ?,0.8097797433837791
compare.v.01,"In deciding on the enterprises to be managed by family labor , compare the amount of labor that can be supplied by the family with the labor needs of various enterprises listed in table 1 .",0.7342669733928336
compare.v.01,study methods for the recovery and marketing of commercially valuable byproducts resulting from the conversion of saline water ; and undertake economic studies and surveys to determine present and prospective costs of producing water for beneficial consumptive purposes in various parts of the United States by the leading saline water processes as compared with other standard methods .,0.8068167052655301
compare.v.01,This is used as a reference for comparing the ohmic heating and the electrical energy obtained from the measured current through the element and the measured voltage across the element .,0.8326894503159571
compare.v.01,"When values of temperature derived with this instrument were compared with the accepted values associated with liquid helium 4 vapor pressures , differences of about 10 and 7 millidegrees respectively were found .",0.8385778880334036
compare.v.01,"As a first step toward this goal , arrangements were worked out for comparing the scales now in use through circulation of a group of standard platinum resistance thermometers for calibration by each national laboratory .",0.8002162178293711
compare.v.01,"In 1961 , these expenditures are estimated at $ 18.9 billion , compared to $ 19.3 billion in 1960 .",0.7236412491056229
compare.v.01,"While we had expected that compulsive children in the unstructured school setting would have difficulty when compared to those in the structured , we were surprised to find that the achievement of the high compulsives within the schools where the whole-word method is used in beginning reading compares favorably with that of the low compulsives .",0.7381817967393952
compare.v.01,"While we had expected that compulsive children in the unstructured school setting would have difficulty when compared to those in the structured , we were surprised to find that the achievement of the high compulsives within the schools where the whole-word method is used in beginning reading compares favorably with that of the low compulsives .",0.7381817967393952
compare.v.01,"If * * f was assigned as the information cell for * * f , the routine can detect that * * f is identical to * * f by comparing * * f with the form stored at location * * f .",0.8046575075905011
compare.v.01,The dictionary form is compared with each of these text forms .,0.8370557716927476
compare.v.01,"The paper has a certain value as a comparatively easy introduction to this approach , particularly since it treats a fairly simple and straightforward phenomenon where it is possible to compare it with a more traditional ( though not structural ) statement .",0.8229990840307507
compare.v.01,"In 1960 , David D. Thomas published Basic Vocabulary in some Mon Khmer Languages AL 2 , no. 3 , pp. 7 - 11 ) , which compares 8 Mon-Khmer languages with the I-E language data on which Swadesh based the revised retention rate ( * * f ) in place of original ( * * f ) , and his revised 100 word basic glottochronological list in Towards Greater Accuracy ( IJAL 21 : 121 - 137 ) .",0.7164292873682491
compare.v.01,"By leaving our doors open the United States gives other peoples the opportunity to see us and to compare , he said .",0.71524902791574
compare.v.01,"Maryland contracts for future construction during October totaled $ 77389000 , up to 10 per cent compared to October , 1960 , F. W. Dodge , Dodge Corporation , reported .",0.7711770066447851
compare.v.01,"The cumulative total of construction contracts for the first ten months of 1961 amounted to $ 634517000 , a 4 per cent increase compared to the corresponding period of last year .",0.745515661384264
compare.v.01,"However , compared with March 1960 new car sales of 4441 , this March was off 23 per cent .",0.8007211286974745
compare.v.01,"Compare this statement of a nineteenth-century judge with how Congressman Martin , according to the Daily Labor Report of Sept. 19 , 1961 , defends the necessity of enacting anti-trust legislation in the field of labor `` if we wish to prevent monopolistic fixing of wages , production or prices and if we wish to preserve the freedom of the employer and his employees to contract on wages , hours and conditions of employment '' .",0.5622013712701113
compare.v.01,"Traffic on that road slumped sharply in January and February , as compared with those same months in 1960 .",0.8018576078362313
compare.v.01,"Considering what is being done compared to what needs to be done , it behooves the hospital management to do some mighty careful planning toward making the best possible use of the increase granted .",0.7780810698413204
compare.v.01,"However , by comparing the TV snatches , two different radio station re-runs , and the censored Los Angeles Times version , I found that the radio stations had edited out questions ( ABC removed the one regarding Laos ) or even a paragraph out of the middle of the President 's answer .",0.7822803349660578
