sense,sentence,centroid_cs
sense.n.02,"by analogy , the church also has been regarded as entirely independent of the `` world '' in the sense of requiring nothing from it in order to be the church .",0.8488320858778854
sense.n.02,"Adam and Eve were perfect , not in the sense that they possessed perfection , but in the sense that they were capable of development toward perfection .",0.8099977791214144
sense.n.02,"Adam and Eve were perfect , not in the sense that they possessed perfection , but in the sense that they were capable of development toward perfection .",0.8099977791214144
sense.n.02,"Piepsam is not , certainly , religious in any conventional sense .",0.8717478893952273
sense.n.02,"The pain of the rabbit was not itself bad ; nothing evil was happening when that pain was being endured ; badness , in the only sense in which it is involved at all , waited for its appearance till I came and looked and felt .",0.8687952935289351
sense.n.02,Are we prepared to say that in that case nothing bad occurred in the sense in which we said it did ?,0.8163214737911042
sense.n.02,"In the only sense in which badness is involved at all , whatever was bad in the first case is still present in its entirety , since all that is expressed in either case is a state of feeling , and that feeling is still there .",0.845479229405318
sense.n.02,"The pain in itself was neutral ; but unfortunately the rabbit , on no grounds at all , took up toward this neutral object an attitude of disapproval and that made it for the first time , and in the only intelligible sense , bad .",0.8403381137788345
sense.n.02,"( 2 ) Spatiality becomes part of the tactual sensation only by way of visual representations ; that is , there is , in the true sense , only a visual space '' .",0.8619132575753283
sense.n.02,"And so the authors conclude : `` The conduct of the patient in his every-day life and in his work , even more than the foregoing facts [ mentioned above under 1 ] , leave positively no room for doubt that the sense of touch , in the ordinary sense of the word , was unaffected ; or , to put the same thing in physiological terms , that the performance capacity of the tactual apparatus , from the periphery up to the tactual centers in the brain , - that is , from one end to the other - was unimpaired '' .",0.5909778158730282
sense.n.02,"Defining sobriety in the limited sense of being free from the clinical symptoms of the effects of alcohol ingested and not yet eliminated from the system , you are sober .",0.8441297923675429
sense.n.02,"Proximate in the sense that there are more distant , more `` positive '' ends we seek , to which victory over Communism is but a means .",0.8401592829316928
sense.n.02,"But dominant in the sense that every other objective , no matter how worthy intrinsically , must defer to it .",0.8000000819000351
sense.n.02,"Freedom , in the sense of self-determination , is a worthy objective ; but if granting self-determination to the Algerian rebels entails sweeping that area into the Sino-Soviet orbit , then Algerian freedom must be postponed .",0.82574513028698
sense.n.02,Mimesis here is not to be confused with literalism or realism in the conventional sense .,0.8449787724614961
sense.n.02,"The slaves never shared in their profits , while they did share , in a very real sense , in the profits of the slave owners : they were fed , clothed , doctored , and so forth ; they were the beneficiaries of responsible , paternalistic care .",0.855096263162941
sense.n.02,He has employed from his section rich immediate materials which in a loose sense can be termed Southern .,0.8192309316010399
sense.n.02,"In the calm which follows the reading of a poem , for example , is the effect produced by the enforced quiet , by the musical quality of words and rhythm , by the sentiments or sense of the poem , by the associations with earlier readings , if it is familiar , by the boost to the self-esteem for the semi-literate , by the diversion of attention , by the sense of security in a legitimized withdrawal , by a kind license for some variety of fantasy life regarded as forbidden , or by half conscious ideas about the magical power of words ?",0.5894466268784243
sense.n.02,"In a broad sense , it would reaffirm the Monroe Doctrine by opposing Communist interference in the Western Hemisphere .",0.8240718096720252
sense.n.02,"The dictionary is a form dictionary , at least in the sense that complete forms are used as the basis for matching text occurrences with dictionary entries .",0.8184515348256464
sense.n.02,"International law had to fit the conditions of Europe , and nothing that could not fit this system , or the interests of the great European nations collectively , could possibly emerge as law in any meaningful sense .",0.8586215010866834
sense.n.02,"According to the new theories , the nineteenth century corporate sovereign was `` sovereign '' in a quite new and different sense from his historical predecessors .",0.8641399755199884
sense.n.01,"There is an extraordinary sense of presence in all of these recordings , apparently obtained at least in part by emphasizing the middle and high frequencies .",0.8388639310598162
sense.n.01,"For this does not account for the integral , elemental power of that which grows with abounding vigor as the play unfolds , nor does it explain the strange numinous sense of presentness which comes over those who watch the play like a spell .",0.9101912153129579
sense.n.01,"Fortunately , although only a few years ago they held the student at arms length , today the business houses welcome the opportunity to aid the student , not only from an increased sense of community responsibility but also from the realization that the student of today is the interior designer of tomorrow - that the student already is `` in the trade '' .",0.8746617947453048
sense.n.01,"In agriculture , for example , despite the advances in biology , elaborate rituals tend to persist along with a continued sense of the imminence of some natural disaster .",0.8674429621433968
sense.n.01,"At the same time that religion binds the individual helpfully to the supernatural and gives him cosmic peace and a sense of supreme fulfillment , it also has great therapeutic value for him .",0.8903736259785507
sense.n.01,"The ninth century was in its artistic work `` the spiritually freest and most self-sufficient between past and future '' , and the loving skill spent by its artists upon their products is a testimonial to their sense that what they were doing was important and was appreciated .",0.8058700055468058
sense.n.01,"The vases which resulted had different shapes , far more complex decoration , and a larger sense of style .",0.8363620438644029
sense.n.01,In earlier centuries men had had enough to do in rebuilding a fundamental sense of order after chaos .,0.8410352199385924
sense.n.01,Perhaps one way to sharpen our sense of the modernity of Utopian communism is to contrast it with the principal earlier types of communistic theory .,0.7747252583343286
sense.n.01,We will achieve a more vivid sense of what it is by realizing what it is not .,0.8138384004100225
sense.n.01,Soon came back to his senses .,0.4602256909433025
sense.n.01,"`` I soon came back to my senses '' , he said , aloud , to the young blizzard , proudly , drawing himself up , as if making a report to some important superior .",0.4492543844436426
sense.n.01,"The previous night 's horror - the absolute failure , overcast with the intrusions of the press , had left them all with a wan sense of uselessness , of play-acting .",0.852145362014416
sense.n.01,He was conscious of a growing sense of absurdity .,0.8410740648081004
sense.n.01,"He could no longer build anything , whether a private residence in his Pennsylvania county or a church in Brazil , without it being obvious that he had done it , and while here and there he was taken to task for again developing the same airy technique , they were such fanciful and sometimes even playful buildings that the public felt assured by its sense of recognition after a time , a quality of authentic uniqueness about them , which , once established by an artist as his private vision , is no longer disputable as to its other values .",0.8639607568765555
sense.n.01,"The market was not far and , once there , the doctor 's sense of immediacy left him and he fell into a state of harmony with the birds around him .",0.8352266390912845
sense.n.01,There was a great sense of camaraderie .,0.8228676722855215
sense.n.01,"Not through fear of disobeying orders , as Eichmann kept trying to explain , but through a peculiar giddiness that began in a half acceptance of the vicious absurdities contained in the Nazi interpretation of history and grew with each of Hitler 's victories into a permanent light mindedness and sense of magical rightness that was able to respond to any proposal , and the more outrageous the better , `` Well , let 's try it '' .",0.8721944710550555
sense.n.01,"In upper teen Jewish life , the non college group tends to have a sense of marginality .",0.8641432337086856
sense.n.01,"On the one hand , there is a sense of not having moved beyond the ambiance of their high school .",0.8294280372392171
sense.n.01,"They have a sense of marginality at being denied that special badge of status , the out-of-town school .",0.8603953544261753
sense.n.01,"Third , the significance of the vocational courses is that those enrolled are keenly interested in the work ; they realize the relevance of what they are learning to their future careers , and this sense of purpose is carried over to the academic courses which they are studying at the same time .",0.8709255754693752
sense.n.01,"Without the decay of a sense of objective reference ( except as the imitation of mystery ) , the stress on subjective invention would never have been stimulated into being .",0.8532679107020017
sense.n.01,A truly vivid imagination moves beyond the conventional recollection to a sense of immediacy .,0.9022171838081258
sense.n.01,"These desires presuppose a sense of causally efficacious powers in which one is involved , some working for one 's good , others threatening ill .",0.893662674029081
sense.n.01,"The innocent malfeasant , filled with that supreme sense of honor found in bars , insisted upon replacing the destroyed monocle - and did , over the protests of the former owner - with a square monocle .",0.839889555243533
sense.n.01,"Men seem almost universally to want a sense of function , that is , a feeling that their existence makes a difference to someone , living or unborn , close and immediate or generalized .",0.8793467253140602
sense.n.01,"The terms `` renewal '' and `` refreshed '' , which often come up in aesthetic discussion , seem partly to derive their import from the `` renewal '' of purpose and a `` refreshed '' sense of significance a person may receive from poetry , drama , and fiction .",0.8934011264477996
sense.n.01,"A third idea is that artistic literature serves to reduce emotional conflicts , giving a sense of serenity and calm to individuals .",0.8752286482715769
sense.n.01,"In any inquiry into the way in which great literature affects the emotions , particularly with respect to the sense of harmony , or relief of tension , or sense of `` a transformed inner nature '' which may occur , a most careful exploration of the particular feature of the experience which produces the effect would be required .",0.8447251418513537
sense.n.01,"In any inquiry into the way in which great literature affects the emotions , particularly with respect to the sense of harmony , or relief of tension , or sense of `` a transformed inner nature '' which may occur , a most careful exploration of the particular feature of the experience which produces the effect would be required .",0.8447251418513537
sense.n.01,"In the calm which follows the reading of a poem , for example , is the effect produced by the enforced quiet , by the musical quality of words and rhythm , by the sentiments or sense of the poem , by the associations with earlier readings , if it is familiar , by the boost to the self-esteem for the semi-literate , by the diversion of attention , by the sense of security in a legitimized withdrawal , by a kind license for some variety of fantasy life regarded as forbidden , or by half conscious ideas about the magical power of words ?",0.7339271785611271
sense.n.01,"He was told he displayed , for example , a sense of superiority - and he answered : `` Well , I am supposed to know all the answers , are n't I '' ?",0.8684005000570837
sense.n.01,She dressed and the accustomed routine restored to her a sense of normal everyday life .,0.8468627017328212
sense.n.01,"He felt no anger towards Kitti , no sense that she had betrayed him .",0.7136769426570571
sense.n.01,"A terrible , numbing sense of futility swept over him .",0.7881926394451633
