sense,sentence,centroid_cs
make.v.01,"The largest hurdle the Republicans would have to face is a state law which says that before making a first race , one of two alternative courses must be taken :",0.6624295476584302
make.v.01,"Before adjournment Monday afternoon , the Senate is expected to approve a study of the number of legislators allotted to rural and urban areas to determine what adjustments should be made .",0.7647057741721236
make.v.01,Gov. Vandiver is expected to make the traditional visit to both chambers as they work toward adjournment .,0.7838685937813684
make.v.01,Opponents generally argued that the ballot could n't give enough information about tax proposals for the voters to make an intelligent choice .,0.7644241410188461
make.v.01,Other recommendations made by the committee are :,0.7011918145492774
make.v.01,"Saxton has made only one second-half appearance this season and that was in the Washington State game , for four plays : he returned the kickoff 30 yards , gained five yards through the line and then uncorked a 56 - yard touchdown run before retiring to the bench .",0.655357140657901
make.v.01,`` He knocked down the interference and made key stops lots of times .,0.7810470981463276
make.v.01,Chico Ruiz made a spectacular play on Alusik 's grounder in the hole in the fourth and Wert came up with some good stops and showed a strong arm at third base .,0.6599213532260788
make.v.01,"THE DENVER-AREA TV audience was privileged to see Mays ' four home runs , thanks to a new arrangement made by Bob Howsam that the games are not to be blacked out when his Bears are playing at home .",0.6811690055557045
make.v.01,"If this capacity had not failed them , they would see that their enemy has made a disastrous miscalculation .",0.7511052122010832
make.v.01,So I started making some calls of my own .,0.6780141114945444
make.v.01,"No reference is made to the possibility of recording other than popular music in this manner , and it would not seem to lend itself well to serious music .",0.6080130805284797
make.v.01,It is greatly to Berman 's credit that he made no attempt to outdo Ray Bolger .,0.6751121773470228
make.v.01,"Such fascinating novelties in the score as the fugual treatment of `` On the Side of the Angels '' and `` Politics and Poker '' were handled splendidly , and I thought Rudy Bond and his band of tuneful ward-heelers made `` Little Tin Box '' even better than it was done by the New York cast ; all the words of its clever lyrics came through with perfect clarity .",0.612469441021826
make.v.01,"As a result , although we still make use of this distinction , there is much confusion as to the meaning of the basic terms employed .",0.6771779137730668
make.v.01,"In the absence of a truly adequate conceptuality in which the gospel can be expressed , the unavoidable need to demythologize it makes use of whatever resources are at hand - and this usually means one or another of the various forms of `` folk religion '' current in the situation .",0.6882621238154646
make.v.01,"I have not seen this charge made during my stay here , but apparently it is still in the air .",0.7784277000916409
make.v.01,"There was so much interest shown in this present-day venture that it was continued on B.B.C. , where comments were equally made by an Anglican parson , a Free Church minister and a Catholic priest .",0.7566577179428606
make.v.01,"You should have a couple of training partners to stand by when you make your first experiments , just for safety .",0.7430809946965334
make.v.01,Although I suggested that you hold the bar at the back of the neck there 's no reason why you should n't make some experiments with the bar held in front of the neck .,0.7671409885402105
make.v.01,Squat style lifters and leg split lifters would both benefit enormously by practicing those variations providing that they remember to make alternate sets with the left and right leg to the front .,0.747090030721385
make.v.01,Treat them right and they 'll make a showing every month in the year except the frigid ones .,0.7029079648303918
make.v.01,With such a program you can make constructive selections of the best sites available .,0.8139268904785241
make.v.01,"However , there is also much to be gained by making use of the abilities of the local people who are available and interested in recreation .",0.6831463813063405
make.v.01,"Makes necessary purchases , places contracts , supervises construction , installation , finishing and placement of furniture , fixtures and other correlated furnishings , and follows through to completion of project `` .",0.678857342855173
make.v.01,Both are primarily concerned with the uses that can be made of the material that the collector has found .,0.7198353625524165
