sense,sentence,centroid_cs
policy.n.02,"Thus , although the agenda of external assistance in the economic sphere are cumulative , and many of the policies suggested for nations in the earlier stages remain relevant , the basic purpose of American economic policy during the later stages of development should be to assure that movement into a stage of self-sustaining growth is not prevented by lack of foreign exchange .",0.7802977791527397
policy.n.02,"There is a marked tendency for religions , once firmly established , to resist change , not only in their own doctrines and policies and practices , but also in secular affairs having religious relevance .",0.7318021248675068
policy.n.02,The ultimate objective of American policy is to help establish a world in which there is the largest possible measure of freedom and justice and peace and material prosperity ; and in particular - since this is our special responsibility - that these conditions be enjoyed by the people of the United States .,0.8449292494076738
policy.n.02,"It follows that victory over Communism is the dominant , proximate goal of American policy .",0.8647856574117291
policy.n.02,"It may be , of course , that such objectives can be pursued consisently with a policy designed to overthrow Communism ; my point is that where conflicts arise they must always be resolved in favor of achieving the indispensable condition for a tolerant world - the absence of Soviet Communist power .",0.8223080196621867
policy.n.02,"The second stage is to retain the nominal classification of `` neutralist '' , while in fact turning the country into an active advocate and adherent of Soviet policy .",0.8338428813068965
policy.n.02,"Today Sukarno 's government is heavily besieged by avowed Communists , and for all of its `` neutralist '' pretensions , it is a firm ally of Soviet policy .",0.800020834557052
policy.n.02,Every policy officer cannot help but be a planning officer .,0.8770711511730169
policy.n.02,"The responsibility for taking the initiative in generating ideas is that of every officer in the Department who has a policy function , regardless of rank .",0.8708876504973879
policy.n.02,"While observing the operations of our Government in various parts of the world , I have felt that in many situations where our policies were good we have tended to ignore minor problems which spoiled our main effort .",0.8122595960780066
policy.n.02,"The wrong man in the wrong position , perhaps even in a junior position abroad , can be a source of great harm to our policy ; the attitudes of a U.N. delegate who experiences difficulty in finding adequate housing in New York City , or of a foreign diplomat in similar circumstances in our Capital , can be easily be directed against the United States and all that it stands for .",0.8486053707224749
policy.n.02,I tried to do so by calling to their attention some of the problems that a senior departmental policy officer faces .,0.877976576156387
policy.n.02,"The senior policy officer may be moved to think hard about a problem by any of an infinite variety of stimuli : an idea in his own head , the suggestions of a colleague , a question from the Secretary or the President , a proposal by another department , a communication from a foreign government or an American ambassador abroad , the filing of an item for the agenda of the United Nations or of any other of dozens of international bodies , a news item read at the breakfast table , a question to the President or the Secretary at a news conference , a speech by a Senator or Congressman , an article in a periodical , a resolution from a national organization , a request for assistance from some private American interests abroad , et cetera , ad infinitum .",0.8585682397607752
policy.n.02,The policy officer lives with his antennae alerted for the questions which fall within his range of responsibility .,0.8846679781568307
policy.n.02,"He is appreciative of the expert help available to him and draws these resources into play , taking care to examine at least some of the raw material which underlies their frequently policy oriented conclusions .",0.8352188050734157
policy.n.02,"But he takes his bearings from the great guidelines of policy , well established precedents , the commitments of the United States under international charters and treaties , basic statutes , and well understood notions of the American people about how we are to conduct ourselves , in policy literature such as country papers and National Security Council papers accumulated in the Department .",0.8865503403720819
policy.n.02,"But he takes his bearings from the great guidelines of policy , well established precedents , the commitments of the United States under international charters and treaties , basic statutes , and well understood notions of the American people about how we are to conduct ourselves , in policy literature such as country papers and National Security Council papers accumulated in the Department .",0.8865503403720819
policy.n.02,He will know that general policy papers written months before may not fit his problem because of crucial changes in circumstance .,0.8912168060046485
policy.n.02,For the policy officer will know that action can almost never be secret and that in general the effectiveness of policy will be conditioned by the readiness of the country to sustain it .,0.8778370272897833
policy.n.02,For the policy officer will know that action can almost never be secret and that in general the effectiveness of policy will be conditioned by the readiness of the country to sustain it .,0.8778370272897833
policy.n.02,We do not want policy officers below the level of Presidential appointees to concern themselves too much with problems of domestic politics in recommending foreign policy action .,0.87928314382222
