sense,sentence,centroid_cs
custom.n.02,"He may respect too much the Italian tradition of letting singers hold on to their notes , but to restrain them in a singers ' opera may be quite difficult .",0.7956904368938515
custom.n.02,It did n't take Captain Chandler long to realize that he had to carry a heavy load of tradition on his shoulders as commander of Troop H .,0.8053288655394203
custom.n.02,By the death of his father in 1888 he had come into possession of the family estate and had re-assumed its traditions .,0.8107059220348234
custom.n.02,"All four types of message listed in Table 1 are permitted , although decorum and cocktail tradition require holding the commands to a minimum , while exclamations having complimentary intonations are more than customarily encouraged .",0.7726455644375083
custom.n.02,"He is not one to remain more comfortably and unquestioningly within a body of social , cultural , or literary traditions than he was within the traditions - or possibly the regulations - governing his tenure in the post office at Oxford , Mississippi , thirty-five years ago .",0.8607976961409516
custom.n.02,"He is not one to remain more comfortably and unquestioningly within a body of social , cultural , or literary traditions than he was within the traditions - or possibly the regulations - governing his tenure in the post office at Oxford , Mississippi , thirty-five years ago .",0.8607976961409516
custom.n.02,"That is not to deny that he has been aware of traditions , of course , that he is steeped in them , in fact , or that he has dealt with them , in his books .",0.8387562516335281
custom.n.02,"It is to say rather , I believe , that he has brought to bear on the history , the traditions , and the lore of his region a critical , skeptical mind - the same mind which has made of him an inveterate experimenter in literary form and technique .",0.8017884751663835
custom.n.02,The planter aristocracy has appeared in literature at least since John Pendleton Kennedy published Swallow-Barn in 1832 and in his genial portrait of Frank Meriwether presiding over his plantation dominion initiated the most persistent tradition of Southern literature .,0.7617347785347856
custom.n.02,"The tradition reached its apex , perhaps , in the works of Thomas Nelson Page toward the end of the century , and reappeared undiminished as late as 1934 in the best-selling novel So Red the Rose , by Stark Young .",0.7602119339234311
custom.n.02,"Although Faulkner was the heir in his own family to this tradition , he did not have Stark Young 's inclination to romanticize and sentimentalize the planter society .",0.8221628111670424
custom.n.02,"My heartiest congratulations go to their successors , Orvil E. Dryfoos and John B. Oakes , who can be counted upon to sustain the illustrious tradition of the New York Times .",0.7899840823676838
tradition.n.01,"Directed by Grigory Kozintsev in a tempo that is studiously slow , he develops a sense of a high tradition shining brightly and passing gravely through an impious world .",0.8049182596754175
tradition.n.01,"There is an ancient and venerable tradition in the church ( which derives , however , from the heritage of the Greeks rather than from the Bible ) that God is completely independent of his creation and so has no need of men for accomplishing his work in the world .",0.7740902683456445
tradition.n.01,"We have aligned ourselves with that `` liberal '' tradition in Protestant Christianity that counts among the great names in its history those of Schleiermacher , Ritschl , Herrmann , Harnack , and Troeltsch , and more recently , Schweitzer and the early Barth and , in part at least , Bultmann .",0.8266744050715328
tradition.n.01,It is to this same tradition that most of the creative figures in the last century and a half of American theology also belong .,0.804576540777842
tradition.n.01,What makes this long and diverse tradition essentially one is that those who have belonged to it have been profoundly in earnest about being modern men in a distinctively modern world .,0.8606018577962516
tradition.n.01,"Although they have also been concerned to stand squarely within the tradition of the apostolic church , they have exhibited no willingness whatever to sacrifice their modernity to their Christianity .",0.8237612364601773
tradition.n.01,"When we say , then , that today , in our situation , the demand for demythologization must be accepted without condition , we are simply saying that at least this much of the liberal tradition is an enduring achievement .",0.8803473305109
tradition.n.01,"Steinberg seems to have gone directly back to the score , discounting tradition , and has built his performance on the intention to reproduce as faithfully as possible exactly what Brahms set down on paper .",0.7766835812609273
tradition.n.01,"Enthusiastically , Americans have swept subliterary and bogus materials like Paul Bunyan tales , Abe Lincoln anecdotes and labor union songs up as true products of our American oral tradition .",0.8243819706061338
tradition.n.01,"Nor have we remembered that in the melting pot of America the hundreds of isolated and semi isolated ethnic , regional and occupational groups did not fuse into a homogeneous national unit until long after education and industrialization had caused them to cast oral tradition aside as a means of carrying culturally significant material .",0.7861259220290246
tradition.n.01,"On the one side we have the university professors and their students , trained in Teutonic methods of research , who have sought out , collected and studied the true products of the oral traditions of the ethnic , regional and occupational groups that make up this nation .",0.7762588085400328
tradition.n.01,"This is puzzling to an outsider conscious of the classic tradition of liberalism , because it is clear that these Democrats who are left-of-center are at opposite poles from the liberal Jefferson , who held that the best government was the least government .",0.8312326081063012
tradition.n.01,"As Yinger has pointed out , the `` reliance on symbols , on tradition , on sacred writings , on the cultivation of emotional feelings of identity and harmony with sacred values , turns one to the past far more than to the future '' .",0.7967310021845668
