sense,sentence,centroid_cs
result.v.01,A quick touchdown resulted .,0.6113812113525083
result.v.01,"You definitely hear some of the instruments close up and others farther back , with the difference in placement apparently more distinct than would result from the nearer instruments merely being louder than the ones farther back .",0.7573270559810432
result.v.01,"There may be a number of secondary effects resulting from diffusion through buildings such as widespread contamination of kitchens , restaurants , food stores , hospitals , etc. .",0.8167530141836513
result.v.01,"In some instances a different clinical disease picture may result from this route of exposure , making diagnosis difficult .",0.8544752037061744
result.v.01,Let us assume that it would be possible for an enemy to create an aerosol of the causative agent of epidemic typhus ( Rickettsia prowazwki ) over City A and that a large number of cases of typhus fever resulted therefrom .,0.7860690483917275
result.v.01,The insoluble material resulting from dialysis against starting buffer always showed strong activity .,0.7602213444709676
result.v.01,This appears to result from both a reduced amount of the iodine substrate and a more rapid secretion of newly iodinated thyroglobulin .,0.7783331524830477
result.v.01,"Repeated attempts to withdraw steroids entirely were unsuccessful because increased muscle weakness resulted , as well as fever , malaise , anorexia , anxiety , and an exacerbation of the anemia .",0.7134811301627444
result.v.01,"In other studies , loss of differentiation in previously established conditioned reflexes resulted from repeated convulsive ( metrazol ) treatments , suggesting a fundamental disturbance in the balance between excitatory and inhibitory cerebral processes .",0.7867420178169727
result.v.01,"The vases which resulted had different shapes , far more complex decoration , and a larger sense of style .",0.668117835689845
result.v.01,The high cost of land and a few operational problems resulting from excessive loadings have created the need for a wastewater treatment system with the operational characteristics of the oxidation pond but with the ability to treat more organic matter per unit volume .,0.7760596274900938
result.v.01,The periods of high effluent BOD occurred during cold periods when operational problems with the aerator resulted .,0.7877366389207888
result.v.01,Shortly after this study ended septic conditions resulted which required the addition of sodium nitrate .,0.7812628614170686
result.v.01,"If the artist would study his work more thoroughly and move certain units in his design , often only slightly , finer pictures would result .",0.7578811368072432
result.v.01,"Only confusion , failure and anarchy result when the effort is made to impose upon the civil authority the impossible task of policing private homes to preclude the possibility of sin .",0.7869167539724652
result.v.01,Earthquakes result when movements in the earth twist rocks until they break .,0.7250682060546555
result.v.01,"Just as now anyone may hurl insults at a citizen of Mars , or even of Tikopia , and no senatorial investigation will result .",0.740927141558937
result.v.01,"But is that not like going to a chemistry laboratory and blindly pouring out liquids and powders from an array of bottles and then , after stirring , expecting a new wonder drug inevitably to result ?",0.7544216314163318
result.v.01,There results a study of literature freed from the tyranny of the contemporary .,0.6174134500554153
result.v.01,study methods for the recovery and marketing of commercially valuable byproducts resulting from the conversion of saline water ; and undertake economic studies and surveys to determine present and prospective costs of producing water for beneficial consumptive purposes in various parts of the United States by the leading saline water processes as compared with other standard methods .,0.7977770460390846
result.v.01,"All research within the United States contracted for , sponsored , cosponsored , or authorized under authority of this Act , shall be provided for in such manner that all information , uses , products , processes , patents , and other developments resulting from such research developed by Government expenditure will ( with such exceptions and limitations , if any , as the Secretary may find to be necessary in the interest of national defense ) be available to the general public .",0.7550257417420112
result.v.01,The Secretary may dispose of water and byproducts resulting from his operations under this Act .,0.7626077185192676
result.v.01,"Though far from completion , these studies indicated beyond a doubt that savings would result which would be of unprecedented benefit to the railroads concerned , their investors , their customers , their users , and to the public at large .",0.7573266581222752
result.v.01,"Cuban S. S. R. : Whatever may have been the setbacks resulting from the unsuccessful attempt of the Cuban rebels to establish a beachhead on the Castro held mainland last week , there was at least one positive benefit , and that was the clear-cut revelation to the whole world of the complete conversion of Cuba into a Russian dominated military base .",0.7820043751346591
result.v.01,"The provisions are also designed to avoid disruption in State programs already in operation , which might otherwise result from the allotment of funds on the basis of wealth and population alone .",0.8372482947109453
result.v.01,"The purpose of this provision was thus explained in the Court 's opinion : `` Section 7 is designed to arrest in its incipiency not only the substantial lessening of competition from the acquisition by one corporation of the whole or any part of the stock of a competing corporation , but also to arrest in their incipiency restraints or monopolies in a relevant market which , as a reasonable probability , appear at the time of suit likely to result from the acquisition by one corporation of all or any part of the stock of any other corporation .",0.8015821190935232
result.v.01,"In total , these increases in operating costs outweigh the savings that result from declining programs and from economy measures , such as reduced numbers of units and installations , smaller inventories of major equipment , and improvements in the supply and distribution systems of the Armed Forces .",0.7626449310060576
result.v.01,"In this manner , the factors measured by the intelligence test were controlled , allowing discovered differences in achievement to be interpreted as resulting from other variables .",0.7867922842301401
result.v.01,"If , as I suspect , the problem is largely of the second sort , then development of a theory better able to handle tone will result automatically in better theory for all phonologic subsystems .",0.7716767075966168
result.v.01,"These differences in turn result from the fact that my Yokuts vocabularies were built up of terms selected mainly to insure unambiguity of English meaning between illiterate informants and myself , within a compact and uniform territorial area , but that Hoijer 's vocabulary is based on Swadesh 's second glottochronological list which aims at eliminating all items which might be culturally or geographically determined .",0.6655667363786131
result.v.01,"First was the period of codification of existing law : the Code Napoleon in France and the peculiar codification that , in fact , resulted from Austin 's restatement and ordering of the Common Law in England .",0.7700989948213702
result.v.01,"The unsatisfactory 1958 - 60 expansion , he said , was not due to inadequate growth forces inherent in our economy but rather to the adverse effect of inappropriate economic policies combined with retrenching decisions resulting from the steel strike .",0.8149924822842121
result.v.01,This resulted in a great number of errors .,0.6904602341285302
result.v.01,Nearly all of the farm equipment manufacturers and dealers say the upturn in sales has resulted chiefly from the recent improvement in crop prospects .,0.7362342986591839
result.v.01,What is in doubt as the free Germans and their allies consider the voting trends is the nature of the coalition that will result .,0.7275362001065103
result.v.01,"But the citizens would , of course , never be sure that the decisions that resulted were as correct as they were expeditious .",0.7404362448852861
result.v.01,But the jurisdictional disputes that result from the craft-industrial rivalry do not win friends for labor .,0.7912999136627071
result.v.01,"On the one hand , the Public Health Service declared as recently as October 26 that present radiation levels resulting from the Soviet shots `` do not warrant undue public concern '' or any action to limit the intake of radioactive substances by individuals or large population groups anywhere in the US .",0.7895363157825237
result.v.01,"But the `` marvelous person '' that is supposed to result from Zen exhibits more Chinese practicality than Indian speculation - he possesses magical powers , and can use them to order nature and to redeem souls .",0.7589265393758878
result.v.01,"No matter how determined or wealthy boating lovers of the Southwest had been , for example , they could never have created anything approaching the fifty square-mile Lake Texoma , located between Texas and Oklahoma , which resulted when the Corp of Army Engineers dammed the Red River .",0.7109748475174449
result.v.01,It is good to be able to compute displacement so that changes in it resulting from boring and stroking can be computed .,0.800791434995258
result.v.01,Exposure problems may occur in these forest areas where uneven lighting results from shafts of sunlight filtering through the overhead branches .,0.7941920002794177
result.v.01,Malocclusion can also result if baby teeth are lost too soon or retained too long .,0.7187087854806398
result.v.01,"Estimated annual savings resulting from publication of the Journal and Bulletin on a triservice basis , as compared with the cost of producing separate periodicals for each service , were between $ 65000 and $ 70000 .",0.7494618084024165
result.v.01,`` Culturally induced social cohesion resulting from common norms and values internalized by members of the group '' is operative in the boundary maintenance of the group as well as in the process of socialization .,0.7562134227084067
leave.v.07,Working in a vacuum of minimal information can result only in show pieces that look good in exhibitions and catalogs and may please the public relations department but have little to do with the essence of interior design .,0.8363336435084838
leave.v.07,No one can deny that these `` back door '' admissions to membership provisions have been seriously abused nor that they have not resulted in the admission of downright incompetents to membership in supposedly learned societies .,0.8002738521895622
leave.v.07,"Political theoretical understanding , although almost at a standstill during this century , did develop during the eighteenth and nineteenth centuries , and resulted in a flood of inventions which increased the possibility for man to coexist with man .",0.7537038456611724
leave.v.07,This calculation results in an enthalpy rise which is somewhat high because it assumes a mass flow equally distributed over the plug cross section whereas in reality the mass velocity is expected to be smaller in the regions of higher temperatures .,0.7899924506271282
leave.v.07,"It is the exploitation of the inherent potential of infectious disease agents by scientific research and development , resulting in the production of BW weapons systems .",0.76662730993125
leave.v.07,One might expect some spread of the disease in this case resulting in increased effectiveness of the attack .,0.7915406230230723
leave.v.07,"If , in a certain part of the range , it starts life 1 foot longer than do any of the other ( relatively large ) giants , and reaches maturity at , let us guess , 18 inches longer than the others , a quadrupling of the maturity length would result in a maximum of ( nearly ) 40 feet .",0.8152863131145144
leave.v.07,"Thus , a low intensity of hypothalamic cortical discharges prevails in sleep and a high one during wakefulness , resulting in synchronous EEG potentials in the former and asynchrony in the latter condition .",0.8097447095683552
leave.v.07,"More generally , suppose that an experiment consists of a number of independent trials , that each trial results in either a `` success '' or a `` non success '' ( `` failure '' ) , and that the probability of success remains constant from trial to trial .",0.779226139325224
leave.v.07,"For an experiment to qualify as a binomial experiment , it must have four properties : ( 1 ) there must be a fixed number of trials , ( 2 ) each trial must result in a `` success '' or a `` failure '' ( a binomial trial ) , ( 3 ) all trials must have identical probabilities of success , ( 4 ) the trials must be independent of each other .",0.7727329142677006
leave.v.07,"Each performance of an n-trial binomial experiment results in some whole number from 0 through n as the value of the random variable X , where * * f .",0.8012293970584272
leave.v.07,A continuous change in t through an amount e results in a translation along an analytic arc of the curve **f .,0.7732361689815751
