sense,sentence,centroid_cs
marriage.n.01,"He is confronted with the recurrent crises , such as great natural catastrophes and the great transitions of life - marriage , incurable disease , widowhood , old age , the certainty of death .",0.8476003311256489
marriage.n.01,"Finally , it gives sanctity , more than human legitimacy , and even , through super empirical reference , transcendent and supernatural importance to some values ; for example , marriage as a sacrament , much law-breaking as sinful , occasionally the state as a divine instrument .",0.8550480928821521
marriage.n.01,"These trumps were more touching than they were anything else , and seemed to imply that the nights were long , her children ungrateful , and her marriage bewilderingly threadbare .",0.7795006445343793
marriage.n.01,"It was not as though she noted clearly that her nephews had not been to see her for ten years , not since their last journey eastward to witness their Uncle Izaak being lowered into the rocky soil ; that aside from due notification of certain major events in their lives ( two marriages , two births , one divorce ) , Christmas and Easter cards of the traditional sort had been the only thin link she had with them through the widowed years .",0.7359326625941899
marriage.n.01,"Mary was free to marry again , not knowing that the Sturch had secretly given her a divorce , thinking that death had dissolved her marriage .",0.7953139522393147
marriage.n.01,No matter who the candidate for marriage selected by the gapt .,0.8888613478961606
marriage.n.01,But marriage experts say that such mutual contribution and mutual joy are seldom achieved .,0.9186486417262675
marriage.n.01,"In a growing number of American homes , marriage counselors report , the wife is taking a commanding role in sexual relationships .",0.8314262767445448
marriage.n.01,Yet many psychologists and marriage counselors agree that domination of the sex relationship by one partner or the other can be unhealthy and even dangerous .,0.8438309455737524
marriage.n.01,More typical is the case of a suburban Long Island housewife described by a marriage counselor .,0.8818901779981233
marriage.n.01,"The wife is likely to be young , sophisticated , smart as a whip - often a girl who has sacrificed a promising career for marriage .",0.8538703621168068
marriage.n.01,Sometimes this leads to his becoming demandingly dominant in marriage .,0.861486190806876
marriage.n.01,"Family survival on our own Western frontier , for example , could quite literally depend on a man 's strength and ability to bring home the bacon ; and the dependent wife seldom questioned his judgment about anything , including the marriage bed .",0.8847057911972831
marriage.n.01,Marriage manuals and women 's magazine articles began to stress the importance of the female climax .,0.8660355509186178
marriage.n.01,"Other experts say , however , that if sexual domination by one or the other partner exists for longer than a brief period , it is likely to shake the marriage .",0.8615046634329916
marriage.n.01,"`` To get a marriage back where it belongs '' , comments Dr. Schillinger of the Lincoln Institute , `` the husband must take some very basic steps .",0.9023010567237851
marriage.n.01,"Denouncing the view that the sexual union is an end in itself , the Conference declared : `` We steadfastly uphold what must always be regarded as the governing considerations of Christian marriage .",0.8962182786327928
marriage.n.01,"One is the primary purpose for which marriage exists , namely , the continuance of the race through the gift and heritage of children ; the other is the paramount importance in married life of deliberate and thoughtful self-control '' .",0.9089437888319079
marriage.n.01,"In 1930 , the Lambeth Conference again affirmed the primary purpose of marriage to be the procreation of children , but conceded that , in certain limited circumstances , contraception might be morally legitimate .",0.9017022839385079
marriage.n.01,"Under pressure from parents , the majority of Brooklyn College girls major in education since that co-ordinates best with marriage plans - limited graduate study requirement and convenient working hours .",0.8721671838335509
marriage.n.01,"It is not a medieval mental quirk or an attitude `` unnourished by sense '' to believe that husbands and wives should not be subjected to such a risk , or that such a possibility should not be permitted to endanger the confidentiality of the marriage relationship .",0.9214126588291562
marriage.n.01,"While it is easy enough to ridicule Hawkins ' pronouncement in Pleas of the Crown from a metaphysical point of view , the concept of the `` oneness '' of a married couple may reflect an abiding belief that the communion between husband and wife is such that their actions are not always to be regarded by the criminal law as if there were no marriage .",0.850829483965749
marriage.n.01,"By making inroads in the name of law enforcement into the protection which Congress has afforded to the marriage relationship , the Court today continues in the path charted by the recent decision in Wyatt v. United States , 362 U. S. 525 , where the Court held that , under the circumstances of that case , a wife could be compelled to testify against her husband over her objection .",0.9033571431202367
marriage.n.01,One of these is the solidarity and the confidential relationship of marriage .,0.9345367921777274
marriage.n.01,"Government itself was based upon contract ; business organization - the corporation - was analyzed in contractual terms ; trade was based on freedom of contract , and money was lent and borrowed on contractual terms ; even marriage and the family was seen as a contractual arrangement .",0.8667736179744778
marriage.n.01,"It might be , indeed it had already proved to be a marriage without love , but it was marriage .",0.8286101287649833
