sense,sentence,centroid_cs
open.v.01,Following reaction the cells were scratched with a file and opened under a 20 % aqueous sodium iodide solution .,0.772641732253417
open.v.01,"Russell had reached the house as Cook surmised , dismounted , but just as the old trapper opened the door to receive him , he fell into the trapper 's arms - dead .",0.7752352609715727
open.v.01,But it is an answer which opens the door wide to an onrush of objections and denials .,0.5883283758449984
open.v.01,"The monk who opened the door immediately calmed his worries about his reception : `` I speak English '' , the old man said , `` but I do not hear it very well '' .",0.8235921062615488
open.v.01,A nigger boy opened the door .,0.801707627321391
open.v.01,"At the rear of the auditorium , upstairs , some men tried to push open the door to the box corridor .",0.7769104343256495
open.v.01,"Someone opened the corridor door from the inside , and called for a doctor .",0.8341281911264389
open.v.01,"To Voltaire 's surprise , however , their host gives them fresh clothes to put on , opens his purse to lend them money and sits them down before a good dinner .",0.6660539474634282
open.v.01,Calmly he opened the Bible and read of the woman at the well .,0.8236170574731805
open.v.01,"Once covertly looking at Simms Purdew , the only man in the world whom he hated , he had seen the heavy , slack , bestubbled jaw open and close to emit the cruel , obscene banter , and had seen the pale blue eyes go watery with whisky and merriment , and suddenly he was not seeing the face of that vile creature .",0.6195198018142246
open.v.01,His heart suddenly opened to joy .,0.6330644387345018
open.v.01,"In their search for what turned out to be the right breakfast china but the wrong table silver , they opened every cupboard door in the kitchen and pantry .",0.8077314681158407
open.v.01,"While she was settling the teacart , he went back across the hall to their bedroom , opened one of the suitcases , and took out powdered coffee and sugar .",0.8016168150881475
open.v.01,She appeared with the teacart and he opened the windows .,0.8512443014215364
open.v.01,"When he opened the door , there stood Eugene , on his way out of the apartment .",0.8109144482832049
open.v.01,She was told by the manservant who opened the door that his lordship was engaged on work from which he had left strict orders he was not to be disturbed .,0.7614121052873218
open.v.01,She opened his reply with trembling fingers .,0.6545564972384119
open.v.01,"She lay still on the bed , her head hardly denting the pillow ; sometimes she opened her eyes and looked around , and sometimes she took a little milk or soup .",0.6438375315492396
open.v.01,"The doctor opened the smallest of his cases , an unimposing straw bag , and exposed the contents for Alex 's inspection .",0.8475953258270706
open.v.01,"He opened it a crack and in doing so made as much shuffling , coughing , and scraping noise as possible in order to drown emanations from the hen who had begun to protest .",0.8145179133425171
open.v.01,Without comment he opened the closet and from its shelves constructed a highboard around the egg case which he had placed on the floor inside .,0.8496903620508449
open.v.01,"Then he looked at his finger , at the wrinkled , heavy knuckle and the thick nail he used like a knife to pry up , slit , and open .",0.7076351151628062
open.v.01,"When Felix first opened the door on it , all these shades were tightly drawn and the whole studio was as dark as night .",0.7809012095149239
open.v.01,Memory flooded him the instant he opened his eyes and the sick feeling knotted his stomach .,0.6177000132529611
open.v.01,I opened the window and threw the radish out '' .,0.8076821004187454
open.v.01,"For many of these measurements the chest must be opened , but the blood vessels and the heart itself remain undisturbed .",0.7826055051110729
open.v.01,The only chance of renovation is to open our eyes and see the mess .,0.67005662952363
open.v.01,She opened it an inch and poked out the keys for me to give you .,0.8204501669832981
open.v.01,"She started back for the house , saw a light in the office , opened the door and surprised a domestic little scene which was far outside the dark realm of murder or attempted murder .",0.8108177330092827
open.v.01,Old man Arthur had put down the suitcase to open the front door .,0.8070241438794318
open.v.01,Young Mrs. Arthur had opened the oven and there was a drifting odor of hot biscuits .,0.7947957084618354
open.v.01,The old man opened the door and stepped out into the sunlight .,0.8709387031409125
open.v.01,He went to the front door and opened it and looked in .,0.8537247041945474
open.v.01,He climbed the steps of the first and opened the door to the vestibule .,0.855396621672477
open.v.01,"He opened the inner door ; the cooking odors were stronger - all over the city , at this hour , housewives would be fussing over stoves .",0.8243448699284748
open.v.01,He considered opening a can of beer but vetoed that idea too .,0.7299440005912362
open.v.01,"Casey heard the click of the distant receiver before he could open his mouth , and it took him no more than three seconds to make his decision .",0.6437137987348716
open.v.01,He opened the door and got out .,0.847984949775629
open.v.01,"Macklin balked again , not wanting to unlock and open the door .",0.8182978728078922
open.v.01,"He opened the door and went in , pulling it shut behind him .",0.8048690606311605
open.v.01,"Curt opened the door , grabbed Black by the shoulder , and pulled him into the barn .",0.7966108882194222
open.v.01,He drew a long breath and opened the trunk and hung out her clothes and spoilables upon the wagon ribs .,0.8493364893786617
open.v.01,"Phil turned away and opened his locker , and then he heard Mike Deegan say : `` You 're yellow , Rossoff '' !",0.7862118363122251
open.v.01,"Doors that won n't open , and doors that won n't close and shelves and broken '' .",0.7629234178213256
