sense,sentence,centroid_cs
less.r.02,"The next level attempts to weigh varied evidence and come to a balanced , sensible conclusion ; field measurements by experienced explorers are not rejected , and even reports of a less scientific nature are duly evaluated .",0.7341489113060851
less.r.02,"Subways improved land values without taking away land ; freeways boost valuation less ( because the garages they require are not prime buildings by a long shot ) , and reduce the acreage that can be taxed .",0.7857757326518822
less.r.02,"He was named Pompeii as a tribute to his heritage , and he could n't have cared less about that either .",0.6431570150431694
less.r.02,"Generally , the same level of living costs less in the country than in the city .",0.7461750857330282
less.r.02,"The state universities of Maine , New Hampshire , And Vermont are older and more `` respectable '' ; they had less immigration to contend with .",0.7489765536739934
less.r.02,"So we see that a specialist is a man who knows more and more about less and less as he develops , as contrasted to the generalist , who knows less and less about more and more .",0.8713797470523942
less.r.02,"So we see that a specialist is a man who knows more and more about less and less as he develops , as contrasted to the generalist , who knows less and less about more and more .",0.8713797470523942
less.r.02,"So we see that a specialist is a man who knows more and more about less and less as he develops , as contrasted to the generalist , who knows less and less about more and more .",0.8713797470523942
less.r.02,"So we see that a specialist is a man who knows more and more about less and less as he develops , as contrasted to the generalist , who knows less and less about more and more .",0.8713797470523942
less.r.02,"The funds recouped by reductions in item 12 above are used : first , to increase the unadjusted allotments to the specified minimum in those States where the unadjusted allotment is less than the minimum allotment ( item 13 above ) ; and second , to increase uniformly the allotments to those States whose allotments are below their maximums , with adjustments to prevent the allotment of any State from thereby exceeding its maximum .",0.7531770665783952
less.r.02,"There were no less than six or seven saloons in Ganado , not counting the lower class dives , all vying for the trade of celebrating miners and teamsters .",0.5274497473300066
less.r.01,"They are less vocal now , when it is the West Berliners who are migrating .",0.8257493306407164
less.r.01,Often these exercises work well for some bodybuilders but less spectacularly for others .,0.8364144925664428
less.r.01,About the Pro Arte 's contribution I am less happy .,0.7702889258966285
less.r.01,"But having lived with the disc for some time now , I find the performance less exciting than either Schnabel 's or Fleisher 's ( whose superb performance with the Budapest Quartet has still to be recorded ) and a good deal less filled with humor than Curzon 's .",0.8254598081661186
less.r.01,"But having lived with the disc for some time now , I find the performance less exciting than either Schnabel 's or Fleisher 's ( whose superb performance with the Budapest Quartet has still to be recorded ) and a good deal less filled with humor than Curzon 's .",0.8254598081661186
