sense,sentence,centroid_cs
radiation.n.02,"This result suggests a very high temperature at the solid surface of the planet , although there is the possibility that the observed radiation may be a combination of both thermal and non thermal components and that the observed spectrum is that of a black body merely by coincidence .",0.9502452331175225
radiation.n.02,"For the case of Jupiter , the radio emission spectrum is definitely not like the spectrum of a black-body radiator , and it seems very likely that the radiation reaching the earth is a combination of thermal radiation from the atmosphere and non thermal components .",0.920713700161322
radiation.n.02,"For the case of Jupiter , the radio emission spectrum is definitely not like the spectrum of a black-body radiator , and it seems very likely that the radiation reaching the earth is a combination of thermal radiation from the atmosphere and non thermal components .",0.920713700161322
radiation.n.02,"Mars has been observed twice at about 3 - cm wave length , and the intensity of the observed radiation is in reasonable agreement with the thermal radiation which might be predicted on the basis of the known temperature of Mars .",0.9539034369781114
radiation.n.02,"Mars has been observed twice at about 3 - cm wave length , and the intensity of the observed radiation is in reasonable agreement with the thermal radiation which might be predicted on the basis of the known temperature of Mars .",0.9539034369781114
radiation.n.02,"The low intensity of the radiation from Saturn has limited observations , but again the measured radiation seems to be consistent with a thermal origin .",0.9536038549642673
radiation.n.02,"The low intensity of the radiation from Saturn has limited observations , but again the measured radiation seems to be consistent with a thermal origin .",0.9536038549642673
radiation.n.02,"No attempts to measure the radio emission of the remaining planets have been reported , and , because of their distances , small diameters , or low temperatures , the thermal radiation at radio wave lengths reaching the earth from these sources is expected to be of very low intensity .",0.9278713413098989
radiation.n.02,The study of the radio emission of the moon and planets began with the detection of the thermal radiation of the moon at 1.25 - cm wave length by Dicke and Beringer ( 1946 ) .,0.9046001023282182
radiation.n.02,This sporadic type of planetary radiation is discussed by Burke ( chap. 13 ) and Gallet ( chap. 14 ) .,0.8884898774823468
radiation.n.02,"Steady radiation which was presumably of thermal origin was observed from Venus at 3.15 and 9.4 cm , and from Mars and Jupiter at 3.15 cm in 1956 ( Mayer , McCullough , and Sloanaker , 1958 a , b , c ) , and from Saturn at 3.75 cm in 1957 ( Drake and Ewen , 1958 ) .",0.9055595214618362
radiation.n.02,The apparent black-body disk temperature is the temperature which must be assumed for the black body in order that the intensity of its radiation should equal that of the observed radiation .,0.9181020039384598
radiation.n.02,The apparent black-body disk temperature is the temperature which must be assumed for the black body in order that the intensity of its radiation should equal that of the observed radiation .,0.9181020039384598
radiation.n.02,"The use of this concept does not specify the origin of the radiation , and only if the planet really radiates as a black body , will the apparent black-body temperature correspond to the physical temperature of the emitting material .",0.9259489510069203
radiation.n.02,"Therefore , neglecting the extreme outbursts , reflected solar radiation is not expected to cause sizable errors in the measurements of planetary radiation in the centimeter - and decimeter wave-length range .",0.866496857616739
radiation.n.01,Measurements of polarization are presently limited by apparatus sensitivity and will remain difficult because of the low intensity of the planetary radiation at the earth .,0.9033015715917446
radiation.n.01,There have been few measurements specifically for the determination of the polarization of planetary radiation .,0.9078748743201713
