sense,sentence,centroid_cs
little.s.03,"He wants to be called sweet , good , considerate and mother 's little helper .",0.7477410571650759
little.s.03,I started the seed in a flat in June and set out the little pansies in a cold frame .,0.777017549574059
little.s.03,"As the robbers leave the looted train , the film suddenly cuts back to the station , where the telegrapher 's little daughter arrives with her father 's dinner pail only to find him bound on the floor .",0.8799654359495794
little.s.03,"In the audience a man named Ferguson lost his head and tried to rescue a little girl from the mob , on the same principle which had led Miss Harris to demand water .",0.8714456346463593
little.s.03,"On the Christophers ' lawn , little girls in white pinafores were playing grownups at a tea party .",0.816802458877426
little.s.03,Now it would be up to me to keep the little girl out of mischief .,0.8822230554273582
little.s.03,The little Ito girl had to go home .,0.8637452639107575
little.s.03,"Going downstairs with the tray , Winston wished he could have given in to Miss Ada , but he knew better than to do what she said when she had that little girl look .",0.8529819366878718
little.s.03,"Presumably the same sun was shining upon little Drew also , and those who had kidnapped him .",0.7214562681301288
little.s.03,"Conchita kept an eye on the twins and little Elena , trying to keep them from falling into the creek by which they persisted in playing .",0.8034249026140936
little.s.03,He would tell her not to pry into grownups ' affairs - as though she were a little kid like Elena !,0.818556838283207
