sense,sentence,centroid_cs
function.n.02,"Even death , therefore , has a providential as well as a punitive function .",0.837144172843404
function.n.02,"Within certain wide limits anatomy dictates function and , if one is permitted to speculate , potential pathology should be included in this statement as well .",0.763255206896692
function.n.02,Thyroid function tests yielded normal results .,0.6172546411814279
function.n.02,"In spite of normal thyroid function tests , a trial of propylthiouracil , 400 mg. daily for one week , was given but served only to intensify muscle weakness .",0.6457175760820383
function.n.02,"MacLean stressed correctly the importance of the visceral brain for preservation of the individual and the species , as evidenced by the influence of the limbic brain ( including the hypothalamus ) on emotions related to fight and flight and also on sexual functions .",0.8187399505223851
function.n.02,"For the interpretation of these significant investigations , it should be remembered that reciprocal relations exist in the hypothalamus with respect to autonomic and somatic functions which are closely associated with the emotions .",0.8646390813064853
function.n.02,"With the diversity of religious viewpoints , there are differences of opinion as to the essential features of religion ; and there are different opinions as to the essential functions of religion .",0.8344196972237633
function.n.02,"Nevertheless , for most of the population of heterogeneous advanced societies , though less for the less religious portion , religion does perform certain modal individual and social functions .",0.8796616370106515
function.n.02,"Although the inner functions of religion are not of direct significance in social organization , they have important indirect consequences .",0.8751190049762858
function.n.02,"If the inner functions of religion are performed , the individual is a composed , ordered , motivated , and emotionally secure associate ; he is not greatly frustrated , and he is not anomic ; he is better fitted to perform his social life among his fellows .",0.8491749611405891
function.n.02,There are several closely related inner functions .,0.7861644257734167
function.n.02,"In providing for these inner individual functions , religion undertakes in behalf of individual peace of mind and well-being services for which there is no other institution .",0.8554423630792158
function.n.02,"In addition to the functions of religion within man , there have always been the outer social functions for the community and society .",0.87318540324248
function.n.02,"In addition to the functions of religion within man , there have always been the outer social functions for the community and society .",0.87318540324248
function.n.02,"Closely related to this function is the fact that the religious system provides a body of ultimate ends for the society , which are compatible with the supreme eternal ends .",0.7900024775151996
function.n.02,"it might be pointed out that the integrating function of religion , for good or ill , has often supported or been identified with other groupings - political , nationality , language , class , racial , sociability , even economic .",0.808913311645184
function.n.02,Religion usually exercises a stabilizing conserving function .,0.8621669608517788
function.n.02,The actual function of patristic civilian canonist scholastic communism was adequately set forth by St. Gregory almost a millennium before More wrote Utopia .,0.8044474864172038
function.n.02,"Sheer plumpness , he knew , is not a vital part of the body and has no procreative functions .",0.8709059297157319
function.n.02,"He seems , by some unconscious division of labor , to have given them that one function and no other , leaving communication to the rest of the face .",0.8168515300706591
