sense,sentence,centroid_cs
scientific.a.01,The progress of science over these last few centuries and the gradual replacement of Biblical by scientific categories of reality have to a large extent emptied the spirit world of the entities which previously populated it .,0.8697357416532148
scientific.a.01,The scientific debunking of the spirit world has been in a way too successful and too thorough .,0.8874157881924276
scientific.a.01,"With these gadgets - impressive to the gullible because of their flashing light bulbs , ticks , and buzzes - he then carries out a vicious medical con game , capitalizing on people 's respect for the electrical and atomic wonders of our scientific age .",0.8822766073487267
scientific.a.01,"He milks the latest scientific advances , translating them into his own special Buck Rogers vocabulary to huckster his fake machines as a cure-all for everything from hay fever to sexual impotence and cancer .",0.8929043983081717
scientific.a.01,"Not only do these quacks assume impressive titles , but represent themselves as being associated with various scientific or impressive foundations - foundations which often have little more than a letterhead existence .",0.8795678892393968
scientific.a.01,"But it has been during the last two centuries , during the scientific revolution , that our independence from the physical environment has made the most rapid strides .",0.8774277965130401
scientific.a.01,"I want , therefore , to discuss a second and quite different fruit of science , the connection between scientific understanding and fear .",0.890564448910137
scientific.a.01,"I am certainly not adequately trained to describe or enlarge on human fears , but there are certain features of the fears dispelled by scientific explanations that stand out quite clearly .",0.8866754563708482
scientific.a.01,The major effect of these advances appears to lie in the part they have played in the industrial revolution and in the tools which scientific understanding has given us to build and manipulate a more protective environment .,0.9004378683144745
scientific.a.01,"In fact , insofar as science generates any fear , it stems not so much from scientific prowess and gadgets but from the fact that new unanswered questions arise , which , until they are understood , create uncertainty .",0.9321604491098314
scientific.a.01,"It is the exploitation of the inherent potential of infectious disease agents by scientific research and development , resulting in the production of BW weapons systems .",0.866539057010568
scientific.a.01,"The task of providing a reasonable level of military strength , without endangering other vital aspects of our security , is greatly complicated by the swift pace of scientific progress .",0.8939264007461387
scientific.a.02,"There have been , indeed , many important and valuable gains from the development of our present scientific view of the world for which we may be rightly grateful .",0.8931920282708047
scientific.a.02,"As he applied the applicator extending from the machine - which consisted of seven differently colored neon tubes superimposed on a rectangular base - to the supposedly diseased portions of Mrs. Shaefer 's body , Lee kept up a steady stream of pseudo scientific mumbo-jumbo .",0.7938932725606785
scientific.a.02,"The work done by the analysts , the men who really know what folklore is all about , has no more appeal than any other work of a truly scientific sort and reaches a limited , learned audience .",0.9088350529884491
scientific.a.02,What additional roles has the scientific understanding of the 19th and 20th centuries played ?,0.9001363517928885
scientific.a.02,"The first is the strictly scientific , which demands concrete proof and therefore may err on the conservative side by waiting for evidence in the flesh .",0.8267956909584405
scientific.a.02,"The next level attempts to weigh varied evidence and come to a balanced , sensible conclusion ; field measurements by experienced explorers are not rejected , and even reports of a less scientific nature are duly evaluated .",0.861711358943285
scientific.a.02,"The argument against this last approach is comparable to that which rejects stories about hoop snakes , about snakes that break themselves into many pieces and join up again , or even of ghosts that chase people out of graveyards ; the mere piling up of testimony does not prove , to the scientific mind , the existence of hoop snakes , joint snakes , or ghosts .",0.8087163736974403
scientific.a.02,"conduct , encourage , and promote fundamental scientific research and basic studies to develop the best and most economical processes and methods for converting saline water into water suitable for beneficial consumptive purposes ;",0.8649593669242546
scientific.a.02,"enter into contracts with educational institutions , scientific organizations , and industrial and engineering firms ;",0.8258207329556854
scientific.a.02,utilize the facilities of Federal scientific laboratories ;,0.8472809730149073
scientific.a.02,"assemble and maintain pertinent and current scientific literature , both domestic and foreign , and issue bibliographical data with respect thereto ;",0.9049487104816389
scientific.a.02,"This involves step-by-step progress , and such will have to be the day-by-day work of lexicostatistics as a growing body of scientific inquiry .",0.9196542282100054
