sense,sentence,centroid_cs
thing.n.03,"Instead , the audience can sit back at ease and , from the perspective of an enlightened time which no longer believes in such things , enjoy the dead seriousness with which the characters in the play take the witches and devils which are under discussion .",0.8020702009824867
thing.n.03,The tragic irony of the play is that the very belief in and concern with a devil who could be met in the woods and combatted with formulae set out in books was the very thing that prevented them from detecting the real devil when he came among them .,0.7548893606045896
thing.n.03,"From a technical standpoint , the string playing is good , but the Pro Arte people fail to enter into the spirit of things here .",0.6849902739705753
thing.n.03,"Taking first things first , let 's understand the sport called gymnastics .",0.5565164218147276
thing.n.03,"If one wishes to discuss a literary figure who uses folklore in his work , the first thing he must realize is that the literary figure is probably part of this ignorant American public .",0.7503410246400382
thing.n.03,Durkheim noted long ago that religion as `` a unified system of beliefs and practices relative to sacred things - unite [ s ] into one single moral community - all those who adhere to them '' .,0.7642168443102281
thing.n.03,"And so the authors conclude : `` The conduct of the patient in his every-day life and in his work , even more than the foregoing facts [ mentioned above under 1 ] , leave positively no room for doubt that the sense of touch , in the ordinary sense of the word , was unaffected ; or , to put the same thing in physiological terms , that the performance capacity of the tactual apparatus , from the periphery up to the tactual centers in the brain , - that is , from one end to the other - was unimpaired '' .",0.724331265081208
thing.n.03,"The Secretary did not tell him at what cost , at what loneliness , he learned these things .",0.782993567679511
thing.n.03,That would have made things so much easier .,0.5414261185848516
thing.n.03,"If we cluster together , the redcoats can make an advantage out of it , but there 's not a blessed thing they can do with two or three of us except chase us , and we can outrun them '' .",0.6750202327577578
thing.n.03,"`` Good heavens , Adam '' , he said , `` I thought one thing you 'd have no trouble learning is when to get out of a place '' .",0.7641003789770529
thing.n.03,"She stood there , a large old woman , smiling at the things she would say to him in the morning , this big foolish baby of a son .",0.7325992509063957
thing.n.03,"And knowing its humble place in the scale of things , why did he , at this time of life , seem almost ready to sell his soul for plumpness ?",0.7502040640132114
thing.n.03,"`` The political and intellectual Left began fighting humor and comedy years ago , because they fear things they do not understand and cannot manage , such as satire and irony , such as humor and comedy .",0.8164271136615888
thing.n.03,"Technical knowledge is a wonderful thing , but it 's useless unless it eventually feeds the cash register .",0.6568326019546394
