sense,sentence,centroid_cs
lay.v.02,"Standing in the shelter of the tent - a rejected hospital tent on which the rain now dripped , no longer drumming - Adam watched his own hands touch the objects on the improvised counter of boards laid across two beef barrels .",0.7658699832903864
lay.v.02,"Perhaps after the soldiers had laid him on the ground , while Joseph of Arimathea was at Pontius Pilate 's asking for Christ 's body , Nicodemus was gathering his mixture of myrrh and aloes , and the others had gone home to mourn .",0.7861946223165315
lay.v.02,Already his cool body lay in the ground .,0.7540021513298366
lay.v.02,Winston laid it in the basket .,0.7609867284726949
lay.v.02,"In it was a stone Tibetan Buddha I had picked up in Bombay , and occasionally , to make merit , my wife and I garlanded it with flowers or laid a few pennies in its lap .",0.7675950823517286
lay.v.02,"The guns are fired , the hymns are sung , and the body of Charles is carried down to the vault and laid beside the tombs of his ancestors .",0.8186237961659157
lay.v.02,"If laying ties on a railroad track , which he once did for $ 1 an hour , paid more than playing right field for the Yankees , Maris would lay ties on a railroad track .",0.8095703783599565
lay.v.02,"If laying ties on a railroad track , which he once did for $ 1 an hour , paid more than playing right field for the Yankees , Maris would lay ties on a railroad track .",0.8095703783599565
lay.v.02,Now lay 12 pieces of * * f cut 5 - 3 4 '' long side by side but separated by 12 pieces of the same material 1 2 '' sq. .,0.7826761100509422
lay.v.02,Either lay the components aside in proper order or code them with numbers and letters so they may be replaced in their proper positions .,0.7696531085906644
lay.v.02,"From upstream it looks like a long arcaded box laid across the river ; from downstream , where the water level is much lower , it is a high , elaborately facaded pavilion .",0.7503268277742726
put.v.01,Hans had laid steaming towels over the kid 's chest and stomach .,0.8253278584360834
put.v.01,"Oersted 's own earlier experiments were unimpressive , possibly because he had , like other experimenters , laid the conducting wire across the compass needle instead of parallel with it .",0.8178016677685804
put.v.01,The curb was a line of stone laid edgewise in the dirt and tilted this way and that by frost in the ground or the roots of trees .,0.7432919907977803
put.v.01,"He sucked in his breath and kept quiet while Killpath laid down the sheet again , wound the gold wire stems of his glasses around his ears and then , eying the report as it lay before him on the desk , intoned , `` Acting Lieutenant Gunnar Matson one failed to see that the station keeper was properly relieved two absented himself throughout the entire watch without checking on the station 's activities or the whereabouts of his section sergeants three permitted members of the Homicide Detail of the Inspector's Bureau to arrogate for their own convenience a patrolman who was thereby prevented from carrying on his proper assignment four failed to notify the station commander Acting Captain O. T. Killpath of a homicide occurring in the district five frequented extralegal establishments known as after-hours spots for purposes of an unofficial and purportedly social nature and six '' - he leaned back and peeled off his glasses `` - failed to co-operate with the Acting Captain by returning promptly when so ordered .",0.7097969951008523
put.v.01,"Now , Mis-ter McBride '' , said Lord , and he laid a firmly restraining hand on the field boss 's arm .",0.7733291592230842
put.v.01,"No man laid a hand on him , but the threat of violence was there .",0.6325370116722245
put.v.01,Ben Prime extended his high-stepped stride until he could lay his goad across the noses of the oxen .,0.773066363559754
put.v.01,"Changing his clothes , he put on his dark-blue flannel suit , and laid away the gray jacket with the feeling that he might be putting it aside for good .",0.7173244286454139
put.v.01,"And after several correspondents went into Pathet Lao territory and exposed the huge build-up , administration spokesmen acclaimed them for performing a `` great service '' and laid the matter before the Southeast Asia Treaty Organization .",0.759479157281433
put.v.01,"The responsibility for scores of deaths , including the abduction and murder of Jesus Maria Galindez , a professor at Columbia University in New York , has been laid at his door .",0.6519519033274046
put.v.01,They practiced movement behind a smoke screen laid by smoke grenades ; and they attempted a skirmish line of advance against a camouflaged enemy encampment .,0.6964660992628362
put.v.01,Without this power we lay open any American industry which the Europeans may find it economically profitable to destroy to the will of others .,0.6868757863871519
put.v.01,"Set the apples in the pastry-lined tin , spread over them three tablespoonfuls of softened butter , with as much brown sugar , a sprinkling of nutmeg , and a fresh bay leaf , then lay on a cover of pastry , and gild it with beaten yolk of egg .",0.71769054806523
put.v.01,The cloth is laid on one half of the bottom at a time .,0.8147235773385353
put.v.01,Then lay a three-inch-wide strip of cloth along the keel line from the transom to the point of the stem .,0.8187242091251609
put.v.01,"I laid three layers of glass cloth on the inside of the stem , also installing a bow eye at this time .",0.8592866118586849
put.v.01,"Thus , when you have prepared your foundation and laid the floor , these can be trucked to the site and erected with a small crew of friends in a weekend .",0.7440983120947187
put.v.01,I laid a tenspot on the bar and motioned to the bartender to serve a round .,0.8417014359089573
put.v.01,The bartender brought Rourke 's drink and Shayne laid a twenty-dollar bill on the bar .,0.8190449510935099
put.v.01,He approached the horse and laid a hand on the stallion 's quivering neck .,0.8123980083435852
put.v.01,"Deliberately , with none of Rankin 's viciousness , he laid the barrel of his gun alongside the guard 's head .",0.8757452367580938
