sense,sentence,centroid_cs
secretary.n.01,"In all the bitter in-fighting , the squabbles over election procedures , the complicated numbers game that East and West played on the assistant secretaries ' theme , the gentleman from Burma showed himself both as a man of principle and a skilled diplomat .",0.7656312918104371
secretary.n.01,"Operating in 1887 was the `` Valley Telegraph Line '' , officers of which were E. C. Orvis , president ; H. K. Fowler , vice-president and secretary ; J. N. Hard , treasurer ; F. H. Walker , superintendent ; H. S. Walker , assistant superintendent .",0.6705711050954992
secretary.n.01,The latter two were appointed secretaries .,0.7593635459696504
secretary.n.01,The Vice President had called and asked if he could see the Secretary at his home .,0.8627370036881679
secretary.n.01,The Secretary was uneasy about the visit .,0.8648354798671274
secretary.n.01,"He said to the Secretary , `` I understand you came from a little Pennsylvania town near Wilkes-Barre .",0.8425982180969679
secretary.n.01,"The Secretary did not tell him at what cost , at what loneliness , he learned these things .",0.7963376500119088
secretary.n.01,"He may be the only song writer ever to have collaborated with a secretary of the U. S. Treasury ; he collaborated on a song with William Hartman Woodin , who was Secretary of the Treasury , 1932 - 33 .",0.8209815166970313
secretary.n.01,"He may be the only song writer ever to have collaborated with a secretary of the U. S. Treasury ; he collaborated on a song with William Hartman Woodin , who was Secretary of the Treasury , 1932 - 33 .",0.8209815166970313
secretary.n.01,"The senior policy officer may be moved to think hard about a problem by any of an infinite variety of stimuli : an idea in his own head , the suggestions of a colleague , a question from the Secretary or the President , a proposal by another department , a communication from a foreign government or an American ambassador abroad , the filing of an item for the agenda of the United Nations or of any other of dozens of international bodies , a news item read at the breakfast table , a question to the President or the Secretary at a news conference , a speech by a Senator or Congressman , an article in a periodical , a resolution from a national organization , a request for assistance from some private American interests abroad , et cetera , ad infinitum .",0.8788244227539523
secretary.n.01,"The senior policy officer may be moved to think hard about a problem by any of an infinite variety of stimuli : an idea in his own head , the suggestions of a colleague , a question from the Secretary or the President , a proposal by another department , a communication from a foreign government or an American ambassador abroad , the filing of an item for the agenda of the United Nations or of any other of dozens of international bodies , a news item read at the breakfast table , a question to the President or the Secretary at a news conference , a speech by a Senator or Congressman , an article in a periodical , a resolution from a national organization , a request for assistance from some private American interests abroad , et cetera , ad infinitum .",0.8788244227539523
secretary.n.01,"Can the President or the Secretary act under existing authority , or will new legislation and new money be required ?",0.8865243433096339
secretary.n.01,I have requested the Secretary of Defense to reexamine the roles and missions of the reserve components in relation to those of the active forces and in the light of the changing requirements of modern warfare .,0.6887621451779518
secretary.n.01,"Accordingly , if it is not repealed by the Congress at its present session , I shall have no alternative thereafter but to direct the Secretary of Defense to disregard the section unless a court of competent jurisdiction determines otherwise .",0.8067375287276591
secretary.n.02,"This is when his troubles begin , not to mention a fledgling artist who he hires , and who turns out to have ideas of his own , with particular respect to the hero 's sweetheart secretary .",0.8329678850394159
secretary.n.02,"The officers were John Marsden , president ; John C. Blackmer , vice-president ; George Smith , treasurer ; and William F. Orvis , secretary .",0.6665828071429688
secretary.n.02,"When the detective left , Andrus phoned his secretary to cancel his work and to advise the network to get a substitute director for his current project .",0.8363280974588007
secretary.n.02,He was surprised to find Kayabashi 's secretary on the other end of the line .,0.8820087075309865
secretary.n.02,"The oyabun was entertaining a group of dignitaries , the secretary said , businessmen from Tokyo for the most part , and Kayabashi wished to show them the mission .",0.846102364979859
secretary.n.02,"`` This afternoon '' , the secretary said .",0.8991376012047309
secretary.n.02,"He was about to hang up the phone , but a note of hesitancy in the secretary 's voice left the conversation open .",0.8620653140177698
secretary.n.02,The secretary sighed with relief and then the telephone clicked in Rector 's hand .,0.8753846082110206
secretary.n.02,"She was such a well-rounded teenager , having been a twirler , Future Farmers sweetheart , and secretary of Future Homemakers .",0.784700860699838
secretary.n.02,"The girls seemed to spend half their time tiptoeing in `` to see if Mike was all right '' and they were too preoccupied to cook , much less be secretaries .",0.7781373629153073
secretary.n.02,A conscientious girl became the secretary of a doctor .,0.8018994547641675
secretary.n.02,This baffling lack of distinct details recalls the secretary whose employer was leaving the office and told her what to answer if anyone called in his absence .,0.9073893367725155
secretary.n.02,`` Gilborn 's secretary ?,0.8614723888913465
secretary.n.02,The secretary 's tone indicated that an appointment at such short notice was a concession for which Madden should be duly grateful .,0.8346024456014618
