sense,sentence,centroid_cs
face.n.03,"I hear the boot of Lucifer , I see his filthy face '' !",0.8267452358744928
face.n.03,"He looked at his son , his face worried .",0.8319313975822404
face.n.03,"Lawrence listened with the practiced , deceptive calm of the lawyer , but his face was in the shadow .",0.8469946741503791
face.n.03,The clock which had struck presented an innocent face .,0.8397897852752725
face.n.03,Watson stared into a cadaverous face .,0.8412135076481688
face.n.03,"He saw the surprise in her face , and laughed as though it were the funniest expression he had ever seen .",0.7484110734188005
face.n.03,"He had his own face , dark and beautiful .",0.8508301114888879
face.n.03,"At fifteen he did n't care that he had no mother , that he could n't remember her face or her touch ; neither did he care that Aunt Rose provided for him .",0.7463032573367377
face.n.03,"The first rattle of the machine guns , at 7 : 10 in the evening , roused around me the varied voices and faces of fear .",0.7495807135731657
face.n.03,"Two hours of watching his serenely happy face , listening to his soft humming as he bent over his penciled figures , and Blanche had to leave .",0.8476722938420616
face.n.03,He 'd been in an angry mood : Conchita had thought his face almost ugly with the anger in him .,0.8572302451250143
face.n.03,His face was clouded with unhappiness .,0.8725893741180407
face.n.03,His face was stiff with anger when they let go of his arms .,0.8556776879075513
face.n.03,"His face took on a sudden pallor , became beaded with sweat , and he seemed to have trouble with his breathing .",0.8420375081855113
face.n.03,"Once again , he shook his head , kept his face expressionless and his voice very calm , and had a strongly supported alibi ready .",0.8293108775490059
face.n.03,"It was a disturbingly familiar face , too , but I could n't remember where we had met .",0.7657290042922908
face.n.03,"`` No , I never did see his face .",0.8237750445305304
face.n.03,"A few yards beyond the group of men , a man 's nude body lay face down on a patch of thick green dichondra .",0.5921997314319516
face.n.03,"Then , with disappointment evident upon their faces , they moved to the work .",0.7832702096835459
face.n.03,"He threw his arms wide , his face shining .",0.7882464069430261
face.n.03,But Carla ; eyes were on Agnese whose glowing face and softening eyes gave her a look of warmth and happiness .,0.8275394228361215
expression.n.01,You think somebody is going to stand up in the audience and make guilty faces ?,0.82221377360463
expression.n.01,She made a face at him and then she laughed .,0.8963847104246132
expression.n.01,"`` And I do n't know why you want to go on wearing that outfit '' , she said , making a face .",0.9335340558846681
face.n.04,A tape of cellulose acetate is pulled between the blocks and the tape pulls the fluid or paste with it between the parallel faces of the blocks .,0.8790370485298085
face.n.04,The face of one block contained a hole 1 16 '' in diameter which led to a manometer for the measurement of the normal pressure .,0.8756638140845977
face.n.04,The concept of the strain energy as a Gibbs function difference * * f and exerting a force normal to the shearing face is compatible with the information obtained from optical birefringence studies of fluids undergoing shear .,0.9345162600938909
face.n.04,From this and the force of deformation it should be possible to calculate the elastic energy of deformation which should be equal to the * * f calculated from the pressure normal to the shearing face .,0.9284973313167244
face.n.01,"Cameras stared at soloists ' faces in extreme closeups , then considerately pulled back for full views of ensemble work .",0.7914365758345193
face.n.01,"Most of the female faces are new , or at least not too familiar .",0.6889793542590218
face.n.01,"Piepsam calls the cyclist `` cur '' and `` puppy '' among other things , and at the crisis of his fit a little fox-terrier stands before him and howls into his face .",0.6940920688703857
face.n.01,"Bullets were so thick , throwing sand in his face , that he found it difficult to return the fire .",0.5864155193525279
face.n.01,"As he pushed open the door he fell on his face , one of his comrades pulling him inside .",0.5266946937273428
face.n.01,His face was fuller ; his lips and the usually sharp lines of his jaw had become swollen looking .,0.8123608471171285
face.n.01,"Mr. McKinley , for all his sprawling and his easy familiarity , was completely alert to his son , eyes always on the still face , jumping to anticipate Scotty 's desires .",0.7745068584139195
face.n.01,"After a pause , during which he studied Scotty 's face as if Scotty were not there and could not study him too , Mr. McKinley would ask the same questions he had asked downstairs .",0.8462297189073966
face.n.01,"He looked at the lined face with vague interest ; he felt he was noting it , as if it were something he might think about when he grew stronger .",0.841747450086769
face.n.01,"His being and His will - Stevie could not divide God from his Papa - illumined every parish face , turned the choir into a band of angels , and the pulpit into the tollgate to Heaven .",0.7564216265050911
face.n.01,"The stern face would relax , the black clad arms would embrace him , `` My son '' !",0.8297567697810211
face.n.01,`` A learned man '' ? the bandit laughs in his face .,0.58180066884602
face.n.01,"On the contrary , he was pleased that his face showed a neglect of several days .",0.8151016122619714
face.n.01,`` Is it because of my slovenliness that hair grows on my face ?,0.8183992719046363
face.n.01,"Now times have changed , and I must pretend that hair does n't grow on my face .",0.7731857282951385
face.n.01,"They marched with bayonets fixed , and as fixed on their faces was anger , fear , and torment .",0.8012870965212774
face.n.01,"Rank after rank of them came down the road , and the faces were all the same , and they walked in a sea of dust .",0.7910809864731536
face.n.01,"Under the trees , there was a dead redcoat , a young boy with a pasty white skin and a face full of pimples , who had taken a rifle ball directly between the eyes .",0.8202459354902158
face.n.01,"John stood above him , his face ashen .",0.8211596374934047
face.n.01,"With great difficulty John clambered to his feet and started to run , sweat pouring down his face .",0.728761876514665
face.n.01,"On such occasions he had not had the courage to look at the face above the hand , whatever face it might be .",0.7838893968011765
face.n.01,"On such occasions he had not had the courage to look at the face above the hand , whatever face it might be .",0.7838893968011765
face.n.01,Now the face was his own .,0.8183268597880385
face.n.01,"He wondered what expression , as he made that gesture , was on his face .",0.8002408922715973
face.n.01,"But there was no need , he remembered , for his hand to reach out , for his face to show concern or stoicism .",0.8379351247312793
face.n.01,"He knew the faces of all , hairy or shaven , old or young , fat or thin , suffering or hardened , sad or gay , good or bad .",0.7546403729774912
face.n.01,"When they stood about his tent , chaffing each other , exchanging their obscenities , cursing command or weather , he had studied their faces .",0.7829159583051496
face.n.01,"Once covertly looking at Simms Purdew , the only man in the world whom he hated , he had seen the heavy , slack , bestubbled jaw open and close to emit the cruel , obscene banter , and had seen the pale blue eyes go watery with whisky and merriment , and suddenly he was not seeing the face of that vile creature .",0.7738414640303728
face.n.01,"He was seeing , somehow , the face of a young boy , the boy Simms Purdew must once have been , a boy with sorrel hair , and blue eyes dancing with gaiety , and the boy mouth grinning trustfully among the freckles .",0.7972484759587977
face.n.01,The gray face stared straight ahead in the drizzle .,0.7859930503574626
face.n.01,"The infant , in white terry-cloth bathrobe , her face intense and purposeful , had essayed a few wobbly steps toward her father .",0.8116977654749428
face.n.01,"Not seeing her dark intelligent face , one would have gauged the voice as that of a Westwood Village matron , ten years out of Iowa .",0.8106296405178053
face.n.01,"His face was bloated with drugging , redder than normal .",0.8710744943164093
face.n.01,"The master of the house , his nourished face unrevealing , consented to postpone his departure a few minutes to talk to the detective .",0.8045546116709186
face.n.01,"At that moment the bathroom door flew open and Eugene came out , with his face lathered for shaving , and strode down the hall , tying the sash of his dressing gown as he went .",0.7705081665247168
face.n.01,"Even though he would later be resurrected , he was at this moment dead indeed , the expression on his face reflecting what he had gone through on the cross .",0.8303744796356167
face.n.01,"He went into the Jewish quarter , wanting to draw Hebraic faces so that he could reach a visual understanding of how Christ might have looked .",0.7084514176099861
face.n.01,"Though this sculpture must take place thirty-three years after her moment of decision , he could not conceive of her as a woman in her mid-fifties , old , wrinkled , broken in body and face by labor or worry .",0.7421517831713501
face.n.01,"She had taken him out of the schoolhouse and closed the school for the summer , after she saw Miss Snow crack Joel across the face with a ruler for letting a snake loose in the schoolroom .",0.6276015366008605
face.n.01,"Whenever she found time , she went blackberry picking with him , and they would come home together , mouths purple , arms and faces scratched , tired enough to forget grief for another day .",0.7125514384639617
face.n.01,"At the landing she saw Juanita , her face flushed pink with excitement , run down the hall from the kitchen to the front door .",0.7028749755767849
face.n.01,"As Kate came swiftly down the stairs to the hall she saw Colonel Marsh framed in the doorway , his face set in the same vulnerable look Juanita wore .",0.8294539650184583
face.n.01,"It 's your decision '' , said Juanita , holding her face very still , trying to contain the bitterness of her voice as she enunciated her words too distinctly .",0.8034185401124575
face.n.01,"He found tepid water in a pitcher and a last bit of soap , and he lathered his face and stood stropping the razor on his broad leather belt , its buckle held firm by a knob of the bedpost .",0.7267556827887085
face.n.01,"David finished shaving , washed his face clean of lather , and combed and retied his hair .",0.7508109941918623
face.n.01,"He saw the smug eyes of the Home Army chief , Roman , and all the Romans and the faces of the peasants who held only hatred for him .",0.7608761106313855
face.n.01,"Andrei glanced up over the top of the paper and looked into the mustached , homely face of Sergeant Styka .",0.8154318487381392
face.n.01,He was a square brick of a man with a moon round face and sunken Polish features .,0.8138686558587356
face.n.01,Oval face without an expression in the world .,0.7854942390733202
face.n.01,Occasionally if I pushed him too far he 'd give me a look out of narrowed eyes and the hard cruel bony skull would show through that smooth face of his .,0.8139741728705399
face.n.01,"He drew her close and , hand on cheek , turned her face to his .",0.6234242693844569
face.n.01,On all sides doors were being slammed in his face .,0.5657070447723518
face.n.01,"The guards lowered their rifles and their rifles and peered at Watson with sullen , puzzled faces .",0.7069070781129769
face.n.01,"She smiled , and the teeth gleamed in her beautifully modeled olive face .",0.7982224521343277
face.n.01,For a moment she held her face to the empty doorway ; then she snorted and groped for her fork .,0.6640611185679679
face.n.01,"The covers slid down his skinny neck so I saw his head , fuzzed like a dandelion gone to seed , but his face was turned to the wall - there was the pale shadow of his nose on the plaster - and I thought , Well you do n't look much like a pig-drunk bully now .",0.8285998939933946
face.n.01,All he cares about is his whisky and that dry crack in his face .,0.7275533318515609
face.n.01,"The first thing every morning when she washed her face she could see the scar on her chin where he 'd cut her with a boot cleat , and maybe she saw him heaving it again , the dirty sock popping out as it flew .",0.7029486336697599
face.n.01,"She was forty-nine at this time , a lanky woman of breeding with an austere , narrow face which had the distinction of a steeple or some architecture that had been designed long ago for a stubborn sort of prayer .",0.8216207939258395
face.n.01,"Although a look of alarm passed over his face , he did not arrest his movements but disappeared into the shower room just as the chambermaid emerged from number nine .",0.7621967179913616
face.n.01,"Alex suppressed those expressions of relief which offered to prevail in his face and escape from his throat ; unwarranted they were in any case for , as he stood facing the fille de chambre , his ears were assailed by new sounds from the interior of the shower room .",0.7331913258425856
face.n.01,"She had talked to him right there , with the hot sun in his face , which made him sweat and feel ashamed .",0.750296462295291
face.n.01,"It hung in all her day clothes , sweet and strong ; sometimes when he was pressing , Winston raised her dresses to his face .",0.6626082542109519
face.n.01,I looked over their faces and felt a twinge : they all looked so much more knowing than I .,0.7335372186273742
face.n.01,"His face was ruddy and heavy and unlined , and when he laughed he showed his teeth , which were big and white and strong and unquestionably home-grown .",0.8637337141681707
face.n.01,"He would no longer have to see that fat face , hear that whining voice .",0.8214579645338479
face.n.01,She showed her surprise by tightening the reins and moving the gelding around so that she could get a better look at his face .,0.8192565801917581
face.n.01,"Her hat had come off and fallen behind her shoulders , held by the string , and he could see her face more clearly than he had at any time before .",0.8428403214578946
face.n.01,Her face showed no sign of having heard Pompeii .,0.8388856049512374
face.n.01,It was a face that had lost its childlike softness and was beginning to fold within its fragile features a harshness that belied the lyric lines of its contours .,0.7723653236297185
face.n.01,"The policeman got a confused , funny look on his face , and he had answered kind of politely , `` Now , look here , lady : I know you got to entertain these kids and all .",0.7465444613969251
face.n.01,"Miss Pulova has a voice that Maria Callas once described as `` like chipping teeth with a screw driver '' , and her round , opalescent face becomes fascinatingly reflective of the emotions demanded by the role of Rosalie .",0.8478841346202775
