sense,sentence,centroid_cs
form.n.03,People who take us for suckers are like the Westerner who had on exhibit his superior marksmanship in the form of a number of bull's-eye achievements .,0.6059240748666919
form.n.03,"Although the particular form of conceptualization which popular imagination had made in response to the experience of spirit was undoubtedly defective , the raw experience itself which led to such excesses remains with us as vividly as ever .",0.7766771217053545
form.n.03,"If the content of faith is to be presented today in a form that can be `` understanded of the people '' - and this , it must not be forgotten , is one of the goals of the perennial theological task - there is no other choice but to abandon completely a mythological manner of representation .",0.8666930136159597
form.n.03,Nor is it necessary to look for such evidence in the great urban centers of our culture that are admittedly almost entirely secularized and so profoundly estranged from the conventional forms in which the gospel has been communicated .,0.818049047259869
form.n.03,"Although the theological forms of the past continue to exist in a way they do not in a more secularized situation , the striking thing is the rapidity with which they are being reduced to a marginal existence .",0.7946823507337362
form.n.03,"And yet this is exactly the risk we run when we assume , as we too often do , that we can continue to preach the gospel in a form that makes it seem incredible and irrelevant to cultured men .",0.8062261968925072
form.n.03,"But for students of musical forms and would-be classifiers , the work presents its problems .",0.7727221030377804
form.n.03,"In response , the industry allowed the discovery of the motion picture as a form of fiction and thus gave the movies the essential form they have had to this day .",0.7098625261649623
form.n.03,"Moreover , the most artistically successful of the nonfiction films have invariably borrowed the narrative form from the fiction feature .",0.82464638877765
form.n.03,"His rage assumes a religious form ; that is , on the basis of his own sinfulness and abject wretchedness , Piepsam becomes a prophet who in his ecstasy and in the name of God imprecates doom on Life - not only the cyclist now , but the audience , the world , as well : `` all you light-headed breed '' .",0.8033375563953782
form.n.03,"The importance of knowing in what chemical forms the hormone may exist is accentuated by the recent observation that there exists an abnormally long-acting TSH in blood drawn from many thyrotoxic patients ( Adams , 1958 ) .",0.6007608565305914
form.n.03,- has now been raised in the reader 's mind and in the following form .,0.8216883465394639
form.n.03,This conception was taken up by the early Church Fathers and by canon lawyers and theologians in the Middle Ages ; and More was far too well read not to have come across it in one or several of the forms thus given it .,0.8113833682238153
form.n.03,It was often re-enacted in less wild form at the Wednesday night prayer meeting .,0.7261844107063024
form.n.03,"Everywhere else his ideas lay or hung in visible form : his models , drawings , ten foot canvases in monochromes from his painting days , and underfoot a windfall of broken-backed books that looked as though their insides had been ransacked by a maniac .",0.7614692064125653
form.n.03,"And like this English master , Mason realizes his subjects in large , simplified masses which , though they seem effortless , are in reality the result of skilled design born of hard work and a thorough distillation of the natural form that inspired them .",0.824707363425499
form.n.03,"Long observation has taught Mason that most landscape can be reduced to three essential planes : a foreground in sharp focus - either a light area with dark accents or a dark one with lights ; a middle distance often containing the major motif ; and a background , usually a silhouetted form foiled against the sky .",0.7035809106409884
form.n.03,"More than creatures of metropolitan forces , the churches have taken the lead in counteracting the interdependence of metropolitan life , crystallizing and perpetuating the stratification of peoples , giving form to the struggle for social homogeneity in a world of heterogeneous peoples .",0.6528193443700844
form.n.03,Then he began to speak about the tension in art between the mess and form .,0.7735132387302689
form.n.03,It realized that to admit them was to jeopardize form .,0.7643501091218824
form.n.03,"`` How could the mess be admitted , because it appears to be the very opposite of form and therefore destructive of the very thing that art holds itself to be '' ?",0.8161557566912544
form.n.03,"I granted this might be so , but found the result to be even more attention to form than was the case previously .",0.7703744337868152
form.n.03,If we look at recent art we find it preoccupied with form .,0.8086922769730792
form.n.03,`` What I am saying does not mean that there will henceforth be no form in art .,0.849967176932379
form.n.03,"It only means that there will be new form , and that this form will be of such a type that it admits the chaos and does not try to say that the chaos is really something else .",0.8128499361874714
form.n.03,"It only means that there will be new form , and that this form will be of such a type that it admits the chaos and does not try to say that the chaos is really something else .",0.8128499361874714
form.n.03,The form and the chaos remain separate .,0.8070270723730316
form.n.03,"That is why the form itself becomes a preoccupation , because it exists as a problem separate from the material it accommodates .",0.8232749868254454
form.n.03,"To find a form that accommodates the mess , that is the task of the artist now '' .",0.8590896305615285
form.n.03,The mimetic character of the imaginative consciousness tends to express itself in the presentation of artistic forms and materials .,0.7899462634067994
form.n.03,"Whitehead contends that the human way of understanding existence as a unity of interlocking and interdependent processes which constitute each other and which cause each other to be and not to be is possible only because the basic form of such an understanding , for all its vagueness and tendency to mistake the detail , is initially given in the way man feels the world .",0.8659543666010043
form.n.03,"This is brought out in the next to last chapter of the book , `` A Hero 's Funeral '' , written in the form of an impassioned prose poem .",0.7066137189280132
form.n.03,"It is to say rather , I believe , that he has brought to bear on the history , the traditions , and the lore of his region a critical , skeptical mind - the same mind which has made of him an inveterate experimenter in literary form and technique .",0.8211385760400809
form.n.03,"This , no doubt , is part of what Gilbert Seldes implies when he says of the arts , `` They give form and meaning to life which might otherwise seem shapeless and without sense '' .",0.821875003594733
form.n.03,"How literature does this , or for whom , is certainly not clear , but the content , form , and language of the `` message '' , as well as the source , would all play differentiated parts in giving and molding a sense of purpose .",0.8115097361595711
form.n.03,Such study may take many forms .,0.6787200360688365
form.n.03,"This understanding , of course , may in its turn take many forms and some of these - especially those most interesting to the student of comparative literature - are essentially historical .",0.7564538451366533
form.n.03,"The results of the study , based on collision integrals computed from the latest critically evaluated data on intermolecular forces in air , will be reported in the form of a table of viscosity , thermal conductivity , thermal diffusion , and diffusion coefficients at temperatures of 1000 to 10000 * * f and of logarithm of pressure in atmospheres from * * f to * * f times normal density .",0.5391754042770326
form.n.03,"The form of the industry demand function is one which makes quantity demanded vary inversely with the product price , and vary directly with the level of GNP .",0.7671114091754895
kind.n.01,He merely became victimized by a form of athletics that respects no one and aggravates all .,0.7970934593635156
kind.n.01,"In the absence of a truly adequate conceptuality in which the gospel can be expressed , the unavoidable need to demythologize it makes use of whatever resources are at hand - and this usually means one or another of the various forms of `` folk religion '' current in the situation .",0.8236868951858305
kind.n.01,"Expressed differently : if the price for becoming a faithful follower of Jesus Christ is some form of self-destruction , whether of the body or of the mind - sacrificium corporis , sacrificium intellectus - then there is no alternative but that the price remain unpaid .",0.7532208439977242
kind.n.01,"If this aspect of death as punishment is not distinguished from the idea of death as natural termination , the conclusion seems inevitable that temporal existence itself is a form of punishment rather than the state into which man is put by the will of the Creator .",0.851819073575156
kind.n.01,Bare feet are better for such work than any form of slipper .,0.7305105504155476
kind.n.01,"The backbend is of extreme importance to any form of free gymnastics , and , as with all acrobatics , the sooner begun the better the results .",0.7265498768626754
kind.n.01,"It has come to mean myths , legends , tales , songs , proverbs , riddles , superstitions , rhymes and such literary forms of expression .",0.8079501731197042
kind.n.01,"Related to written literature , and often remaining temporarily frozen in written form , it loses its vitality when transcribed or removed from its oral existence .",0.7157818226509063
kind.n.01,"In response , the industry allowed the discovery of the motion picture as a form of fiction and thus gave the movies the essential form they have had to this day .",0.7915919459187615
kind.n.01,"Despite the sheer beauty and spectacle of numerous documentaries , art films , and travelogues , despite the impressive financial success of such a recent development as Cinerama , the movies are at heart a form of fiction , like the play , the novel , or the short story .",0.7567327391688601
kind.n.01,"The discovery that movies are a form of fiction was made in the early years of this century and it was made chiefly by two men , a French magician , Georges Melies , and an American employee of Edison , Edwin S. Porter .",0.7550254739459468
kind.n.01,"The simple , naked idea of one man chasing another is of its nature better fitted for the film than it is for any other form of fiction .",0.7768001957598804
kind.n.01,There still remained the need for one great film artist to explore the full potential of the new form and to make it an art .,0.7365566910725979
kind.n.01,"a suffering form , an existence wholly comprised in the awareness of death .",0.7367293722471032
kind.n.01,"And if I have gone into so much detail about so small a work , that is because it is also so typical a work , representing the germinal form of a conflict which remains essential in Mann 's writing :",0.7907186729830007
kind.n.01,Production assistance often takes the form of locating tools or materials which are urgently needed .,0.6260634394751301
kind.n.01,There is no conclusive evidence yet that either of the proteases has been prepared in highly purified form nor is their specificity known .,0.6546350191483785
kind.n.01,"The mechanism of action of these drugs has not been completely worked out , but certain of them appear to act by reducing the oxidised form of iodine before it can iodinate thyroglobulin ( Astwood , 1954 ) .",0.6999064326978813
kind.n.01,"First , is the circulating form of the hormone the same as that found in the gland where it is synthesised and stored ?",0.7291810499173795
