sense,sentence,centroid_cs
cell.n.01,The required amount of carbon tetrachloride was distilled into a series of reaction cells on a manifold on a vacuum line .,0.8087373494781069
cell.n.01,The desired amounts of inactive chlorine and radioactive chlorine were likewise condensed in these cells on the vacuum line following which they were frozen down and the manifold as a whole was sealed off .,0.8190024971555536
cell.n.01,The reactants for the gas phase experiments were first frozen out in a side arm attached to the manifold and then allowed to distill slowly into the manifold of pre-cooled reaction cells before sealing off .,0.7842094026651257
cell.n.01,This method in general solved the problem of obtaining fairly equal concentrations of reactants in each of the six cells from a set .,0.8337685804755781
cell.n.01,"The photochemical reaction cells consisted of 10 mm. i.d. Pyrex tubing , 5.5 cm. long , diffraction effects being minimized by the fact that the light passed through only liquid glass interfaces and not gas glass interfaces .",0.8167705777058172
cell.n.01,These cells were used rather than square Pyrex tubing because of the tendency of the latter to shatter when thawing frozen carbon tetrachloride .,0.8262012708579315
cell.n.01,The round cells were reproducibly positioned in the light beam which entered the thermostated mineral oil bath through a window .,0.8216457477959794
cell.n.01,The light was filtered by the soft glass window of the thermostat thus ensuring that only light absorbed by the chlorine and not by the carbon tetrachloride could enter the reaction cell .,0.7938762278285703
cell.n.01,Changes of intensity on the cell were achieved by use of a wire screen and by varying the distance of the light source from the cell .,0.78805420493207
cell.n.01,Changes of intensity on the cell were achieved by use of a wire screen and by varying the distance of the light source from the cell .,0.78805420493207
cell.n.01,Following reaction the cells were scratched with a file and opened under a 20 % aqueous sodium iodide solution .,0.8340901905836202
cell.n.01,Carrier * * f was added and the aqueous and organic phases were separated ( cells containing gaseous reactants were immersed in liquid air before opening under sodium iodide ) .,0.8276566775137827
cell.n.01,The improvement was most noticeable in the greater consistency among reaction cells prepared as a group on the same manifold .,0.8648720984026994
cell.n.01,Rather large differences were still found between reaction cells from different manifold fillings .,0.8513197792461541
cell.n.01,By comparing reaction cells sealed from the same manifold temperature dependency corresponding to activation energies ranging from 11 to 18 * * f was observed while dependence on the first power of the light intensity seemed to be indicated in most cases .,0.8322923757341458
cell.n.01,"It was possible to make estimates of the quantum yield by observing the extent of reduction of a uranyl oxalate actinometer solution illuminated for a known time in a typical reaction cell and making appropriate conversions based on the differences in the absorption spectra of uranyl oxalate and of chlorine , and considering the spectral distribution of the light source .",0.7947029354634206
cell.n.01,"When typical reaction cells to which 0.3 of an atmosphere of oxygen had been added were illuminated , chlorine and phosgene were produced .",0.8090294600823976
cell.n.01,"Exchange was also observed in these cells , which had chlorine present at * * f .",0.7737278644952433
cell.n.01,"In series /1 , the relative light intensity was varied by varying the distance of the lamp from the reaction cell over the range from 14.7 to 29.2 cm. .",0.8311785124681593
cell.n.01,The last column shows the rate of exchange that would have been observed at a relative intensity of 4 ( 14.7 cm. distance ) calculated on the assumptions that the incident light intensity is inversely proportional to the square of the distance of the lamp from the cell and that the rate is directly proportional to the incident light intensity .,0.8118621854364668
cell.n.01,"On this , she builds an `` egg compartment '' or `` egg cell '' which is filled with that famous pollen and nectar mixture called beebread .",0.7370393078018675
cell.n.01,"The bottom part of a burrow has a number of side tunnels or `` cells '' , each of which is provided with an egg plus a store of beebread .",0.7255195203880709
cell.n.01,"But they are still enclosed in their larval cells and remain there throughout the summer , fall , and winter .",0.707034449623577
cell.n.01,"The first is compiling a list of text forms , assigning an information cell to each , and replacing text occurrences with the information cell assigned to the form of each occurrence .",0.860716292365037
cell.n.01,"The first is compiling a list of text forms , assigning an information cell to each , and replacing text occurrences with the information cell assigned to the form of each occurrence .",0.860716292365037
cell.n.01,For this step the computer memory is separated into three regions : cells in the W region are used for storage of the forms in the text form list ; cells in the X-region and Y region are reserved as information cells for text forms .,0.8246667944368681
cell.n.01,For this step the computer memory is separated into three regions : cells in the W region are used for storage of the forms in the text form list ; cells in the X-region and Y region are reserved as information cells for text forms .,0.8246667944368681
cell.n.01,For this step the computer memory is separated into three regions : cells in the W region are used for storage of the forms in the text form list ; cells in the X-region and Y region are reserved as information cells for text forms .,0.8246667944368681
cell.n.01,"When an occurrence * * f is isolated during text reading , a random memory address * * f , the address of a cell in the X-region , is computed from the form of * * f .",0.8696721934438062
cell.n.01,"If cell * * f has not previously been assigned as the information cell of a form in the text form list , it is now assigned as the information cell of * * f .",0.8112552117034038
cell.n.01,"If cell * * f has not previously been assigned as the information cell of a form in the text form list , it is now assigned as the information cell of * * f .",0.8112552117034038
cell.n.01,"If cell * * f has not previously been assigned as the information cell of a form in the text form list , it is now assigned as the information cell of * * f .",0.8112552117034038
cell.n.01,"The form itself is stored in the next available cells of the W-region , beginning in cell * * f .",0.8122585069730518
cell.n.01,"The form itself is stored in the next available cells of the W-region , beginning in cell * * f .",0.8122585069730518
cell.n.01,The address * * f and the number of cells required to store the form are written in * * f ; the information cell * * f is saved to represent the text occurrence .,0.840795410715569
cell.n.01,The address * * f and the number of cells required to store the form are written in * * f ; the information cell * * f is saved to represent the text occurrence .,0.840795410715569
cell.n.01,"If * * f was assigned as the information cell for * * f , the routine can detect that * * f is identical to * * f by comparing * * f with the form stored at location * * f .",0.8508257748436048
cell.n.01,The address * * f is stored in the cell * * f .,0.7937385668816506
cell.n.01,"Thus , when more than one distinct form leads to a particular cell in the X-region , a chain of information cells must be created to accommodate the forms , one cell in the chain for each form .",0.8714339763851491
cell.n.01,"Thus , when more than one distinct form leads to a particular cell in the X-region , a chain of information cells must be created to accommodate the forms , one cell in the chain for each form .",0.8714339763851491
cell.n.01,"Thus , when more than one distinct form leads to a particular cell in the X-region , a chain of information cells must be created to accommodate the forms , one cell in the chain for each form .",0.8714339763851491
cell.n.01,"If * * f leads to an address * * f that is equal to the address computed from * * f , even though * * f does not match * * f , the chain of information cells is extended from * * f by storing the address of the next available cell in the Y-region , * * f , in * * f .",0.877989476185288
cell.n.01,"If * * f leads to an address * * f that is equal to the address computed from * * f , even though * * f does not match * * f , the chain of information cells is extended from * * f by storing the address of the next available cell in the Y-region , * * f , in * * f .",0.877989476185288
cell.n.01,The cell * * f becomes the second information cell in the chain and is assigned as the information cell of * * f .,0.8384383166980569
