sense,sentence,centroid_cs
feeling.n.01,"Furthermore , he 's something of a scoundrel , an artist whose mind and feelings are all finger-tips .",0.788861518644691
feeling.n.01,"And little Zeme North , a Dora with real spirit and verve , was fascinating whether she was singing of her love for Floyd , the cop who becomes sewer commissioner and then is promoted into garbage , or just dancing to display her exuberant feelings .",0.7756643843454958
feeling.n.01,"The feeling of individual inferiority , defeat , or humilation growing out of various social situations or individual deficiencies or failures is compensated for by communion in worship or prayer with a friendly , but all-victorious Father-God , as well as by sympathetic fellowship with others who share this faith , and by opportunities in religious acts for giving vent to emotions and energies .",0.7502009265120364
feeling.n.01,"If so , then it is clear that in saying the suffering was bad we are not expressing our feelings only .",0.8294954782348641
feeling.n.01,"In the only sense in which badness is involved at all , whatever was bad in the first case is still present in its entirety , since all that is expressed in either case is a state of feeling , and that feeling is still there .",0.8807595312357631
feeling.n.01,"In the only sense in which badness is involved at all , whatever was bad in the first case is still present in its entirety , since all that is expressed in either case is a state of feeling , and that feeling is still there .",0.8807595312357631
feeling.n.01,He holds that goodness and badness lie in feelings of approval or disapproval .,0.8268429603767217
feeling.n.01,And there is a way in which he might hold that badness did in this case precede our own feeling of disapproval without belonging to the pain itself .,0.8424038972169426
feeling.n.01,"When we come upon the rabbit and make our remark about its suffering being a bad thing , we presumably make it with some feeling ; the positivists are plainly right in saying that such remarks do usually express feeling .",0.8070728136631726
feeling.n.01,"When we come upon the rabbit and make our remark about its suffering being a bad thing , we presumably make it with some feeling ; the positivists are plainly right in saying that such remarks do usually express feeling .",0.8070728136631726
feeling.n.01,And suppose that the circumstances have now so changed that the feeling with which we made the remark in the first place has faded .,0.8231130317762211
feeling.n.01,"The pathetic evidence is no longer before us ; and we are now so fatigued in body and mind that feeling is , as we say , quite dead .",0.769938282245087
feeling.n.01,"When we repeat the remark that such suffering was a bad thing , the feeling with which we made it last week may be at or near the vanishing point , but if we were asked whether we meant to say what we did before , we should certainly answer Yes .",0.8230553783160786
feeling.n.01,"We should say that we made our point with feeling the first time and little or no feeling the second time , but that it was the same point we were making .",0.815737452500245
feeling.n.01,"We should say that we made our point with feeling the first time and little or no feeling the second time , but that it was the same point we were making .",0.815737452500245
feeling.n.01,"And if we can see that what we meant to say remains the same , while the feeling varies from intensity to near zero , it is not the feeling that we primarily meant to express .",0.8770110659171175
feeling.n.01,"And if we can see that what we meant to say remains the same , while the feeling varies from intensity to near zero , it is not the feeling that we primarily meant to express .",0.8770110659171175
feeling.n.01,"If there is nothing evil in these things , if they get their moral complexion only from our feeling about them , why should n't they be greeted with a cheer ?",0.7965131380559991
feeling.n.01,"He was trembling , a strange feeling upon him , fully expecting some catastrophe to strike him dead on the spot .",0.7001489680905849
feeling.n.01,"Afraid at one and the same time that his work might be turned down - which would be a blow to his pride even though no one knew he was the author - and that the work would be accepted , and then that his violent feelings in the matter would certainly betray how deeply concerned he was in spite of himself .",0.7759176084015971
feeling.n.01,"She stood still over the leg of lamb , rubbing herbs into it , quite suddenly conscious of a nausea in her stomach and a feeling of wrath , a sensation of violence that started her shivering .",0.6949164359550063
feeling.n.01,"Owing to the restrained usages characteristic of 19 th century America , these letters usually were stereotyped and revealed little depth of feeling .",0.824216158218084
feeling.n.01,"The attitudes which the Rebs and Yanks took toward each other were very much the same and ranged over the same gamut of feeling , from friendliness to extreme hatred .",0.819481423982775
feeling.n.01,I have no religious feeling .,0.7780945333248541
