sense,sentence,centroid_cs
book.n.02,"`` That permitted us to start controlling the ball right away '' , said Stram , quipping , `` I think I 'll put that play in the book '' .",0.7374615211493307
book.n.02,They crowded the small room and peered over one another 's shoulders to watch the handless man write his name in the book .,0.8421655290472796
book.n.02,"He must mentally pull the blinds and close the window , so that all that existed was in the books before him .",0.8808841201225418
book.n.02,"`` Although it is not the best of which he is capable '' , said Shelley as he closed the book , `` it is still poetry of a high order '' .",0.8120166378121104
book.n.02,"Everywhere else his ideas lay or hung in visible form : his models , drawings , ten foot canvases in monochromes from his painting days , and underfoot a windfall of broken-backed books that looked as though their insides had been ransacked by a maniac .",0.884417118573028
book.n.02,"`` Let 's talk about books '' , Moreland said .",0.8499355037034578
book.n.02,"`` I am told that in America you have non books by non writers , brought out by non publishers for non readers .",0.8295927869100296
book.n.02,"These narratives of coarse action and crude language appeared first in local newspapers , as a rule , and later found their way between book covers , though rarely into the planters ' libraries beside the morocco bound volumes of Horace , Mr. Addison , Mr. Pope , and Sir Walter Scott .",0.8263331497103509
book.n.02,"If there is time after the warning , the basement shielding could be improved substantially by blocking windows with bricks , dirt , books , magazines , or other heavy material .",0.8388741617586827
book.n.02,Narrow four story buildings ran the length of the block like books tightly packed on a shelf .,0.8363401200740959
book.n.01,"If there had been , he would have found a loophole , because Arnold is one golfer who knows the code as thoroughly as the man who wrote the book .",0.8274569630814018
book.n.01,But the one that upset the financially wise was the professional dancer who related in a book how he parlayed his earnings into a $ 2000000 profit on the stock market .,0.8321628703267218
book.n.01,Investors breathed more freely when it was learned that this acrobatic dancer had turned magician and was only doing a best seller book to make some dough .,0.8259079405319258
book.n.01,If Daddy 's books are out of bounds his own picture books are not .,0.766274590751441
book.n.01,"A British writer , Richard Haestier , in a book , Dead Men Tell Tales , recalls that in the turmoil preceding French Revolution the body of Henry /4 , , who had died nearly 180 years earlier , was torn to pieces by a mob .",0.7808820645084206
book.n.01,"The dialogue is sharp , witty and candid - typical `` do n't eat the daisies '' material - which has stamped the author throughout her books and plays , and it was obvious that the Theatre-by-the-Sea audience liked it .",0.7549718044753966
book.n.01,"It is a tremendous book , lively , constantly moving , and the Matunuck cast does well by it .",0.8430460021461054
book.n.01,"The book is by Jerome Weidman and George Abbott , music by Jerry Bock , lyrics by Sheldon Harnick , choreography by Peter Gennaro , scenery , costumes and lighting by William and Jean Eckart , musical direction by Jack Elliott , and the production was directed by Mr. Abbott .",0.7279491436835858
book.n.01,The tragic irony of the play is that the very belief in and concern with a devil who could be met in the woods and combatted with formulae set out in books was the very thing that prevented them from detecting the real devil when he came among them .,0.7420790991682669
book.n.01,"The opening paragraph of the chapter titled The Theory Of Representative Perception , in the book Philosophies Of Science by Albert G. Ramsperger says , `` passed on to the brain , and there , by some unexplained process , it causes the mind to have a perception '' .",0.7627840025002123
book.n.01,"Publishers want books that will sell , recording studios want discs that will not seem strange to ears used to hillbilly and jazz music , grade and high schools want quaint , but moral , material .",0.8078962914302285
book.n.01,"Time 's editor , Thomas Griffith , in his book , The Waist High Culture , wrote : `` most of what was different about it ( the Deep South ) I found myself unsympathetic to '' .",0.7796638031686579
book.n.01,"If you really insist on knowing their names , an excellent book on the North American species is Bumblebees and Their Ways by O. E. Plath .",0.8638246880008018
book.n.01,"And the evidence that he does , indeed , stand there derives quite simply from the vigorous interest with which rather casual readers have responded to that book for the past century or so .",0.8724994958515943
book.n.01,But here we have a distinctly modern preoccupation ; we want to know why that book has kept on selling the way it has ; we want to know what is perennially new about Utopia .,0.8819479078090193
book.n.01,"We find it in Plato 's republic , and in Utopia More acknowledges his debt to that book .",0.8372503714105457
book.n.01,And in the economy of the book it is not peripheral but central .,0.7991394693708842
book.n.01,"In their book American Skyline , Christopher Tunnard and Henry Hope Reed argue that Franklin Roosevelt 's New Deal was what made the modern suburb a possibility - a fine ironical argument , when you consider how suburbanites tend to vote .",0.766713388061933
book.n.01,"Rousseau is so persuasive that Voltaire is almost convinced that he should burn his books , too .",0.7683657005725294
book.n.01,"But Michael Sept had unmasked him , revealing he had never been a bishop , but was an Anabaptist , afraid to state his faith , because he knew John Calvin had written a book against their belief that the soul slept after death .",0.8140328319980029
book.n.01,"Mrs. Pastern had been given sixteen names , a bundle of literature , and a printed book of receipts .",0.7344063945688909
book.n.01,"Then epistolatory me was a foreign correspondent dispatching exciting cables and communiques , full of dash and wit and glamor , quoting from the books I read , imitating the grand styles of the authors recommended by a teacher in whose special , after school class I was enrolled .",0.802454983358611
book.n.01,"I made inquiries , I read a book of etiquette .",0.7863495191604346
book.n.01,"Ever since Bambi , and , more recently , Born Free , there have been a lot of books about animals , but few compare with Max Fink 's wry , understated , charming , and immensely readable My Friend , the Quizzical Salamander .",0.8431832655531568
book.n.01,"It is not an entirely happy book , as Mrs. Fink soon becomes jealous of Alicia and , in retaliation , refuses to continue to scrape the algae off her glass .",0.8292922542876553
book.n.01,"This brief resume hardly does the book justice , but I heartily recommend it to all those who are engages with the major problems of our time .",0.8772427501503701
book.n.01,Whatever Hans or Anders learned separately they passed on to each other ; they read every book that they could borrow in the village .,0.8420463265226266
book.n.01,"`` The sexual relationship does not exist in a vacuum '' , declares Dr. Mary Steichen Calderone , medical director of the Planned Parenthood Federation of America and author of the recent book , Release From Sexual Tensions .",0.8347115141613348
book.n.01,The following discussion of this subject has been adapted from the book Causes of Catastrophe by L. Don Leet .,0.8162179628061506
book.n.01,"After years of digging , nights and weekends , he put together the big , profusely illustrated book , Of Garryowen and Glory , which is probably the most complete history of any military unit .",0.8675704069691684
book.n.01,"I have often searched for a graphic way of impressing our superiority on those Americans who have doubts , and I think Mr. Jameson Campaigne has done it well in his new book American Might and Soviet Myth .",0.8521393209969679
book.n.01,"Hence the title of the book , referring to the soldiers and subjects of the king ; on the fatal battlefield of Poltava , to quote from the novel , `` the wreath he twined for himself slipped down upon his people '' .",0.8301386624828637
book.n.01,"This is brought out in the next to last chapter of the book , `` A Hero 's Funeral '' , written in the form of an impassioned prose poem .",0.8337540980597623
book.n.01,"A perceptive journalist , Sam Lubell , has phrased it in the title of one of his books as The Revolt Of The Moderates .",0.8568658985542583
book.n.01,Lubell offers his book as an explanation of why there was no clue .,0.8726745817044047
book.n.01,"And let me add Murray 's new book as another symptom of it , particularly so in view of the attention Time magazine gave it when it came out recently .",0.8476453600641379
book.n.01,"In a book review of `` The Soviet Cultural Offensive '' , he says , `` Long before the State Department organized its bureaucracy into an East-West Contacts Staff in order to wage a cultural counter-offensive within Soviet borders , the sharp cutting-edge of American culture had carved its mark across the Russian steppes , as when the enterprising promoters of ' Porgy and Bess ' overrode the State Department to carry the contemporary ' cultural warfare ' behind the enemy lines .",0.7544468715058018
book.n.01,"He could learn at second hand from books , but could not thus capture the real Jewish spirit .",0.7549536578282449
book.n.01,"That is not to deny that he has been aware of traditions , of course , that he is steeped in them , in fact , or that he has dealt with them , in his books .",0.8235332588239176
book.n.01,"Besides showing no inclination , apparently , to absent himself from his native region even for short periods , and in addition writing a shelf of books set in the region , he has handled in those books an astonishingly complete list of matters which have been important in the South during the past hundred years .",0.823132578878781
book.n.01,"Besides showing no inclination , apparently , to absent himself from his native region even for short periods , and in addition writing a shelf of books set in the region , he has handled in those books an astonishingly complete list of matters which have been important in the South during the past hundred years .",0.823132578878781
book.n.01,"Their books found no less willing readers outside than inside the South , even while memories of the war were still sharp .",0.8578573373267762
book.n.01,"It may be that in this comment he has broken from the conventional pattern more violently than in any other regard , for the treatment in his books is far removed from even the genial irony of Ellen Glasgow , who was the only important novelist before him to challenge the conventional picture of planter society .",0.7859570880573687
book.n.01,It 's just like that book your Northern friend wrote - except there are n't any ice floes to cross and no bloodhounds '' .,0.8226939999475513
book.n.01,"The book could be The Brothers Karamazov , but it would still have the same jacket illustration .",0.8643885629329617
book.n.01,"I remember once I did a jacket for Magpie Press ; the book was a fine historical novel about Edward 3 , , and I did a week of research to get the details just right : the fifteenth century armor , furnishings , clothes .",0.8529886712131148
record.n.05,"The opinion continues here that with a 162 - game schedule , pitching spread thin through a 10 - team league and a most inviting target in Los Angeles ' Wrigley Field Jr. , Mantle just might break the most glamorous record on the books , Babe Ruth 's 60 homers of 1927 .",0.8819339178618791
record.n.05,Such ranchers as Coble and Clay and the Bosler brothers carried him on their books as a cowhand even while he was receiving a much larger salary from parties unknown .,0.88049563205019
