sense,sentence,centroid_cs
attempt.n.01,"Rep. James Cotten of Weatherford insisted that a water development bill passed by the Texas House of Representatives was an effort by big cities like Dallas and Fort Worth to cover up places like Paradise , a Wise County hamlet of 250 people .",0.7789570351394507
attempt.n.01,Cotten construed this as a veiled effort by Parkhouse to help Dallas and other large cities get money which Cotten felt could better be spent providing water for rural Texas .,0.8152956299687867
attempt.n.01,Catcher Frank House 's throw in an effort to nab Throneberry was wide and in the dirt .,0.6731629094371289
attempt.n.01,Moritz came to Texas in 1954 but his freshman football efforts were hampered by a knee injury .,0.662166233056006
attempt.n.01,"Ramsey has a thing or two to mutter about himself , for the Dallas defensive unit turned in another splendid effort against Denver , and the Texans were able to whip the dangerous Broncs without the fullbacking of a top star , Jack Spikes , though he did the team 's place-kicking while nursing a knee injury .",0.7092435737921766
attempt.n.01,Shea 's efforts figure prominently in the new stadium .,0.7310107959414884
attempt.n.01,Bevo was congratulated for his efforts to stay in shape so that he could help the team if his knee healed in time .,0.7572265474507668
attempt.n.01,"Representing as it did the efforts of only unauthorized individuals of the Roman and Anglican Churches , and urging a communion of prayer unacceptable to Rome , this association produced little fruit , and , in fact , was condemned by the Holy Office in 1864 .",0.7917222055905632
attempt.n.01,The repeated efforts in Christian history to describe death as altogether the consequence of human sin show that these two aspects of death cannot be separated .,0.7537228617133084
attempt.n.01,"Such efforts almost always find themselves compelled to ask whether Adam was created capable of growing old and then older and then still older , in short , whether Adam 's life was intended to be part of the process of time .",0.7781306060645757
attempt.n.01,"It is , moreover , a perfectly integrated ensemble effort .",0.725821336965885
attempt.n.01,Command 's new Brahms Second is a major effort to make a record that sounds like a real orchestra rather than a copy of one .,0.817953607785999
attempt.n.01,"At the peak of the arch , tip the head back and bend the knees in an effort to touch toes to head .",0.6860812164524196
attempt.n.01,But in general the European efforts to make an art of the entertainment had ignored the slowly emerging language of the film itself .,0.7809288383096876
attempt.n.01,The effort produced a valuable record of stage techniques in the early years of the century and some interesting records of great theater figures who would otherwise be only names .,0.743335456496581
attempt.n.01,"It appears to be one of intense dislike , which he makes little effort to conceal even in the presence of Southern friends .",0.7176821404541414
attempt.n.01,"Contrary to these expectations we have found it impossible to obtain the degree of reproducibility one would wish , even with extensive efforts to prepare especially pure reagents .",0.8191216751064067
attempt.n.01,Only a limited effort has been devoted to this problem .,0.741270009142881
attempt.n.01,The female parasite spends much time in her efforts to find a nest of her host .,0.7674932292038493
attempt.n.01,In these rapidly changing societies there is also too little appreciation of the need for effort to achieve goals .,0.7811497889049829
attempt.n.01,We should spread the view that planning and national development are serious matters which call for effort as well as enthusiasm .,0.7739293369565844
attempt.n.01,Efforts such as the Community Development Program in the Philippines have demonstrated that transitional societies can work toward balanced national development .,0.7488708515014362
attempt.n.01,"As an isolated policy , land reform is likely to be politically disruptive ; as part of a larger development effort , however , it may gain wide acceptance .",0.7438249869792343
attempt.n.01,"Convinced of the wisdom of their own actions , and reassured by the promises of their economic development programs , governments may fail to push outward to win more and more people to the national effort , becoming instead rigid and inflexible in their policies .",0.7010246977637384
attempt.n.01,"The great ultimate ends of religion have served as magnificent beacon lights that lured people toward them with an almost irresistible force , mobilizing energies and inducing sacrifices ; for example , the Crusades , mission efforts , just wars .",0.7506752974592568
attempt.n.01,Much effort has been expended in the sincere effort to apply the teaching and admonitions of religion .,0.76676617487709
attempt.n.01,Much effort has been expended in the sincere effort to apply the teaching and admonitions of religion .,0.76676617487709
attempt.n.01,"They were increasingly looked upon as a means of establishing the new rural communes as the focus of a new , constructive national effort .",0.8053330580794373
attempt.n.01,"That a writer who is gay cannot be serious is a common professional illusion , sedulously fostered by all too many academics who mistakenly believe that their frivolous efforts should be taken seriously because they are expressed with that dreary solemnity which is the only mode of expression their authors are capable of .",0.7691485283394196
attempt.n.01,"Whereas , John Brown has cheerfully risked his life in endeavoring to deliver those who are denied all rights and is this day doomed to suffer death for his efforts in behalf of those who have no helper :",0.7446937551918162
attempt.n.01,"Resolved that his wrongs and bereavements in Kansas , occasioned by the violence and brutality of those who were intent on the propagation of slavery in that territory , call for a charitable judgment upon his recent efforts in Virginia to undermine the despotism from which he had suffered , and commend his family to the special sympathy and aid of all who pity suffering and reverence justice .",0.8074512712326407
attempt.n.01,"Resolved , that we find in this fearful tragedy at Harper 's Ferry a reason for more earnest effort to remove the evil of slavery from the whole land as speedily as possible .",0.8308100384279651
attempt.n.01,"Therefore , he decided he was unfair to the young man and should make an effort to understand and sympathize with his point of view .",0.7345071014592705
