sense,sentence,centroid_cs
pitcher.n.01,"The Orioles once again performed at the plate in powderpuff fashion , gathering only seven blows off the offerings of three Kansas City pitchers .",0.8982828163092452
pitcher.n.01,"Ryne Duren and Roland Sheldon , a rookie righthander who posted a 15 - 1 record last year for the Yanks ' Auburn ( N.Y. ) farm club of the Class - D New York-Pennsylvania League , are the probable rival pitchers .",0.8432827053717038
pitcher.n.01,"Pitcher Steve Barber joined the club one week ago after completing his hitch under the Army 's accelerated wintertime military course , also at Fort Knox , Ky. .",0.8280434055589609
pitcher.n.01,"Spahn not only is a superior pitcher but a gentlemanly fine fellow , a ball player 's ball player , as they say in the trade .",0.9088836089736735
pitcher.n.01,"With Mickey Mantle and Yogi Berra both out of action due to injuries , the American League champs still mounted a 15 - hit attack against a parade of eight Cincinnati pitchers , the most ever used by one team in a series game .",0.8544667786080898
pitcher.n.01,The new Riverside pitcher turned out to have an overhand fast ball that took a hop .,0.9357974760226205
pitcher.n.01,He was eyeing the Anniston catcher warming up his pitcher before the inning began .,0.8918436345448987
pitcher.n.01,"He called in the pitcher who had been pitching , and a big , heavy , powerfully built right hander moved out to the mound for Anniston .",0.9267948651639578
pitcher.n.01,The first ball the hefty pitcher threw came in for Mike 's head .,0.9373240335223357
pitcher.n.01,"Charlie Haydon , a pitcher , said .",0.9168115218916045
pitcher.n.01,`` Listen '' ! he shouted to the pitcher .,0.8967067122978231
pitcher.n.01,`` I 'll be waiting '' ! the pitcher yelled back .,0.837242921288715
pitcher.n.01,The pitcher wound up and the ball came in straight for Mike 's head .,0.919953378481773
pitcher.n.01,The pitcher tossed his glove away and came towards Mike Deegan .,0.9375967434489078
pitcher.n.01,Mike and the Anniston pitcher were pulled away before they even came together .,0.8974702719936177
pitcher.n.03,"She filled a big pitcher and set it , with glasses , on a tray .",1.0000000000000002
pitcher.n.02,"Since ordinary breakfast-table conversation was impossible , it was at least something that they were able to offer Eugene the sugar bowl with their sugar in it , and the plate of bread and butter , and that Eugene could return the pitcher of hot milk to them handle first .",0.9174523871191526
pitcher.n.02,"He found tepid water in a pitcher and a last bit of soap , and he lathered his face and stood stropping the razor on his broad leather belt , its buckle held firm by a knob of the bedpost .",0.9132359104097879
