sense,sentence,centroid_cs
field.n.01,"After another two weeks , the first young emerge , four to eight small daughters that begin to play the role of worker bees , collecting pollen and nectar in the field and caring for the new young generation while the queen retires to a life of egg laying .",0.7685491926511766
field.n.01,"All sizes : big ones , some wired to set off a whole field , little ones , hand grenade size .",0.7020628811058646
field.n.01,"Fortunately , the embarrassing questions raised by objects do not need to be answered , or we would all have to go sleep in the open fields .",0.8333276272825049
field.n.01,"Since the Santo Spirito hospital had taken only men , he had had no experience in the study of female anatomy ; but he had sketched the women of Tuscany in their fields and homes .",0.8596977550910254
field.n.01,"It was thickly settled by fifteen thousand citizens and laid out into pig infested streets , mostly around the Battery , going bravely north to Wall Street , but giving up and becoming fields and farms in the region of Harlem Heights .",0.8115579292510557
field.n.01,"Abel sat and regarded the farm country which , spreading out from both sides of the road , rolled greenly up to where the silent white houses and long barns and silos nested into the tilled fields .",0.8527724851658285
field.n.01,"When they first married he had been working in the fields all day , and she would get in the car and drive to wherever he was working , to take him a fresh hot meal .",0.8385013062926246
field.n.01,"Now there was no work in the fields , nor would there be till it rained , and she did not know where he went .",0.8759048651841607
field.n.01,"Are you looking ahead to the exploding market of millions of American boys and girls , who will grow up to enjoy a traditional American way of life - ranging the fields with a fine American gun and uniformly excellent ammunition ?",0.7954592360575211
field.n.01,"They look after their fields and children and water buffaloes in ten or eleven thousand villages , with an average of 200 souls .",0.8287278181142768
field.n.01,"Then we drove on , until there was no more road and we traversed dry rice fields , bouncing across their squat earth walls .",0.8603409547806585
field.n.01,And the fields were green and growing .,0.8781305579844227
field.n.01,The small half-heartedly tended fields of men who 'd spent more time rustling cattle than farming were lying fallow .,0.8721183991133136
field.n.01,"We were in a field , in a tight , screeching turn .",0.7928841684973214
field.n.01,"She looked out at the corn field , the great green deep acres of it rolled out like the sea in the field beyond the whitewashed fence bordering the grounds .",0.8395481272251861
field.n.01,"She looked out at the corn field , the great green deep acres of it rolled out like the sea in the field beyond the whitewashed fence bordering the grounds .",0.8395481272251861
field.n.03,Inspect the site in the field during the time of the year when the area will be most heavily used for recreation .,0.7537951822694039
field.n.03,"It is usually helpful to make a sketch map in the field , showing the size and location of the features of interest and to take photographs at the site .",0.8083463308122936
field.n.03,"The amateur is closely related to the collector , who is actually no more than the amateur who has taken to the field .",0.738501953039111
field.n.03,"Oversized monsters are never brought home either alive or preserved , and field measurements are obviously open to doubt because of the universal tendency to exaggerate dimensions .",0.8359360817993035
field.n.03,This approach rejects virtually all field measurements .,0.8206099514679182
field.n.03,"The next level attempts to weigh varied evidence and come to a balanced , sensible conclusion ; field measurements by experienced explorers are not rejected , and even reports of a less scientific nature are duly evaluated .",0.8356074578134257
field.n.03,"However , as a field measurement , it is open to question .",0.8583630357368347
field.n.03,In all of his experience in the mission field Rector had never seen a convert quite like Hino .,0.7110986566759185
field.n.03,"They run their show their way - the Universe has variety , something for everybody - a fact you field workers often miss '' .",0.8178582829308888
field.n.03,"This has been the aim of the director of the shooting development program , the New York staff of the Sportsmen's Service Bureau , and the SAAMI shooting preserve field consultants since the start of the program in 1954 .",0.7987396897558899
field.n.03,SAAMI 's field men have served as consultants and / or have participated in 75 Teen Hunter Club activities which have reached over 40000 enthusiastic young Americans .,0.7608346882302014
field.n.03,"The merits of the Salk anti polio vaccine were not established on the forensic platform or in newspaper editorials , but in the laboratory and by tests in the field on thousands of children .",0.7038062570649697
field.n.03,Tone analysis will continue to be difficult and unsatisfactory until a more representative selection of systems is familar to every practicing field linguist .,0.7713332170923484
field.n.03,The second need is better field techniques .,0.8707157863460898
field.n.03,They will give suggestions that can be worked up into field procedures .,0.892372579080003
field.n.03,"Good field techniques will not only equip linguists for better work , but also help them overcome negative attitudes .",0.8533769242307383
field.n.03,"Actually , none of these papers says much directly about field techniques .",0.8212709833006584
field.n.03,But it is worth pondering that very little has been published on any phase of field techniques in linguistics .,0.8410012144069203
field.n.03,"That was the day that he had practically mopped up the main street of Big Sands with Aaron McBride , field boss for the Highlands Oil + Gas Company .",0.7358149966756693
field.n.03,"Now , Mis-ter McBride '' , said Lord , and he laid a firmly restraining hand on the field boss 's arm .",0.7612197742603509
discipline.n.01,"Still , the network 's willingness to experiment in this musical field is to be commended , and future essays happily anticipated .",0.836641278506182
discipline.n.01,"After all , the field is large , difficult to define and seldom taught properly to American undergraduates .",0.8126826629139174
discipline.n.01,"The author has recently studied the field of medical electronics and has been convinced that , in this area alone , the application of electronic equipment has enormous possibilities .",0.8739341430156999
discipline.n.01,"Also , beware of open end policies , especially in the medical field .",0.8012109194200081
discipline.n.01,Knowledge gained from studying earthquake waves has been applied in various fields .,0.799988849625891
discipline.n.01,The domestic tentacles even extend to the choice of a major field .,0.7043551001342939
discipline.n.01,"One vocational instructor in a city vocational school , speaking of his course in a certain field , said he had no difficulty placing all students in jobs outside of the city .",0.8294119140324419
discipline.n.01,"For example , there are persons who are in physical science , in the field of mineralogy , trained in crystallography , who use only X-rays , applying only the powder technique of X-ray diffraction , to clay minerals only , and who have spent the last fifteen years concentrating on the montmorillonites ; or persons in the social sciences in the field of anthropology , studying the lung capacity of seven Andean Indians .",0.8273299544479943
discipline.n.01,"For example , there are persons who are in physical science , in the field of mineralogy , trained in crystallography , who use only X-rays , applying only the powder technique of X-ray diffraction , to clay minerals only , and who have spent the last fifteen years concentrating on the montmorillonites ; or persons in the social sciences in the field of anthropology , studying the lung capacity of seven Andean Indians .",0.8273299544479943
discipline.n.01,"When some question arises in the medical field concerning cancer , for instance , we do not turn to free and open discussion as in a political campaign .",0.8748450927295569
discipline.n.01,"In the field of the natural sciences , scientifically verified data are quite readily available and any discussion can be shortened with good results .",0.8784102026980731
discipline.n.01,In the field of the social sciences a considerable fund of tested knowledge has been accumulated that can be used to good advantage .,0.8668980054097057
discipline.n.01,"Under her father 's influence it did not occur to Henrietta that she might write on subjects outside the Jewish field , but she did begin writing for other Anglo Jewish papers and thus increased her output and her audience .",0.7593899592668075
discipline.n.01,"Joseph Jastrow , the younger son of the distinguished rabbi , Marcus Jastrow , was a friendly , round-faced fellow with a little mustache , whose field was psychology , and who was also a punster and a jolly tease .",0.6918739085352758
discipline.n.01,Both the extent to which this is true and the limits of the field of perceptual skill involved should be acknowledged .,0.8587128313814303
discipline.n.01,"In a symposium and general exploration of the field of Person Perception and Interpersonal Behavior the discussion does not touch upon this aspect of the subject , with one possible exception ; Solomon Asch shows the transcultural stability of metaphors based on sensation ( hot , sweet , bitter , etc . ) dealing with personal qualities of human beings and events .",0.8566256504498975
discipline.n.01,"When these fields are surveyed together , important patterns of relationship emerge indicating a vast community of reciprocal influence , a continuity of thought and expression including many traditions , primarily literary , religious , and philosophical , but frequently including contact with the fine arts and even , to some extent , with science .",0.7735781160712056
discipline.n.01,"Two data centers have been established for the collection , indexing , critical evaluation , and dissemination of bibliographies and critical values in the fields of transition probabilities and collision cross sections .",0.8197469823084417
field.n.05,"However , they do demonstrate the presence of large normal pressures in the presence of flat shear fields which were forecast by the theory in the first part of the paper .",0.8870107614211205
field.n.05,"The actual change * * f caused by a shear field is calculated by multiplying the pressure differential times the volume , just as it is for any gravitational or osmotic pressure head .",0.9039514733102655
field.n.05,Consider a shear field with a height of H and a cross-sectional area of A opposed by a manometer with a height of h ( referred to the same base as H ) and a cross-sectional area of a .,0.8902628025979312
field.n.05,"If * * f is the change per unit volume in Gibbs function caused by the shear field at constant P and T , and |r is the density of the fluid , then the total potential energy of the system above the reference height is * * f .",0.8887575734837572
field.n.05,This method can be extended to include the concentration differences caused by shear fields .,0.9089321006823902
field.n.05,"There is one exception to the above statement as has been pointed out , and that is that fluids can relax by flowing into fields of lower rates of shear , so the statement should be modified by stating that the mechanics are similar .",0.8387962928357177
field.n.05,"There is another means which should show the direction and relative value of the stresses in viscoelastic fluids that is not mentioned as such in the literature , and that is the shape of the suspended drops of low viscosity fluids in shear fields .",0.8475310036046535
field.n.05,"( D ) Since the shape of the drop conforms to the force field , it does not appreciably affect the distribution of forces in the fluid .",0.8480137195613918
field.n.05,The lines are asymmetric and over the range of field **f gauss and temperature **f the asymmetry increases with increasing **f and decreasing T .,0.8219908310034029
field.n.05,An isotropic resonance shift of **f to lower applied fields indicates a weak isotropic hyperfine contact interaction .,0.8612164383852338
field.n.05,"Field shifts were derived from the mean value of the resonance line , defined as the field about which the first moment is zero .",0.7814414332186841
field.n.05,"Field shifts were derived from the mean value of the resonance line , defined as the field about which the first moment is zero .",0.7814414332186841
field.n.05,"Corrections were applied for modulation broadening , apparatus background , and field shift .",0.7774415998624662
field.n.05,This is the same system as was used in the field sequential color TV system which preceded the present simultaneous system .,0.6734245911400123
