sense,sentence,centroid_cs
note.n.01,Her first day at work she was puzzled by an entry in the doctor 's notes on an emergency case .,0.8441250892441949
note.n.01,Oersted remodeled Ritter 's notes into an essay in French which was submitted to the Institut de France for its annual prize of 3000 francs .,0.8374087090010554
note.n.01,I reconstruct his sentences from notes made immediately after our conversation .,0.8368439990200983
note.n.01,"Petitioner was not entitled to have the hearing officer 's notes and report , especially since he failed to show any particular need for them and he did have a copy of the Department of Justice 's recommendation to the appeal board .",0.9090647714847513
note.n.01,"At his trial , petitioner sought to secure through subpoena duces tecum the longhand notes of the Department 's hearing officer , Evensen , as well as his report thereon .",0.8527651555488952
note.n.01,It is also significant that neither this report nor the hearing officer 's notes were furnished to the appeal board .,0.9200868525272324
note.n.01,It appears to us that the same reasoning applies to the production of the hearing officer 's report and notes at the trial .,0.9129056595738471
note.n.01,"In addition , petitioner has failed to show any particular need for the report and notes .",0.889326808887066
note.n.01,"In the light of these circumstances , as well as the fact that the issue at trial in this respect centered entirely on the Department 's recommendation , which petitioner repudiated but which both the appeal board and the courts below found supported by the record , we find no relevancy in the hearing officer 's report and notes .",0.8738781067375607
note.n.01,"He played a number of typical situations before observers , other supervisors who kept notes and then explained to him in detail what he did they thought was wrong .",0.8274576305890088
note.n.01,"With his free hand he pulled a pad and pencil toward him and began to make notes as he listened , saying , `` Uh-huh '' and `` I see '' at intervals .",0.8032960996189615
note.n.01,Pauling looked at his notes .,0.8115181208902088
note.n.01,"Nevertheless , he made a mental note to look into Garth 's financial background .",0.4488097475652962
note.n.02,All she did was write me a pleasant little note about how it was beautiful while it lasted but that now life had parted our ways and it was goodbye forever .,0.8333347387338744
note.n.02,The phone had been disconnected but telegrams came for him and notes by special messenger .,0.8272548836365584
note.n.02,"Let him chafe with impatience to see Charles , rip open the note with trembling hands and read the formal report in Hillman 's beautiful , schoolmaster 's hand .",0.8485373684780876
note.n.02,He instructed Shirl Winter to compose a note of thanks to be posted on the call board .,0.825801790600391
note.n.02,"For hundreds of years , the evidence available consisted of ( 1 ) the captain 's fragmentary journal , ( 2 ) a highly prejudiced account by one of the survivors , ( 3 ) a note found in a dead man 's desk on board , and ( 4 ) several second-hand reports .",0.8610968250894209
note.n.02,"No need leave a note with it , either - or maybe just something like , Do n't worry about me , I 'm going away to make a better life .",0.81907392106271
note.n.02,"He left a note propped on the desk asking her to call him sometime today , and drove home .",0.8339698622624768
note.n.02,"Then he was striding across the room , his thoughts confused but the worry building swiftly inside him as he snatched up the note .",0.8256652888829962
note.n.02,The author of the anonymous notes seemed to be all-knowing .,0.8525752996105064
note.n.02,"An inquest was held , and after a good deal of testimony about the anonymous notes , the county coroner estimated that the shooting had been done from a distance of 300 yards .",0.8077731887935894
note.n.02,A good many beef hungry settlers were accepting the death of William Lewis as proof that the warning notes were not idle threats .,0.8472491394216417
note.n.02,"`` Everyone knew it , but he sort of acted like he did n't care who knew it - even after them notes came , even after he 'd heard about Lewis , even after he 'd been shot at a couple o ' times hisself '' !",0.8274771122963502
note.n.02,"After the first two murders , the warning notes were rarely ignored .",0.8603284514114885
