sense,sentence,centroid_cs
question.n.01,But questions with which committee members taunted bankers appearing as witnesses left little doubt that they will recommend passage of it .,0.8101502101465726
question.n.01,He seemed puzzled by my question .,0.7661317587037244
question.n.01,You need answers to four important questions .,0.8562065224012657
question.n.01,The real question that follows is - how are those four years used and what is their value as training ?,0.8227247829850399
question.n.01,"The question becomes , `` What is a dream '' ?",0.8489560080353223
question.n.01,"And while every writer must be dealt with as a special case , the interested student will want to ask himself a number of questions about each .",0.8569599860993075
question.n.01,When he gets the answers to his questions he will be discouraged .,0.8574941929096894
question.n.01,"However , as a field measurement , it is open to question .",0.6951497898557539
question.n.01,This phenomenon raises the question whether the guidance of the emotions for therapeutic ends may not have an even wider application in the area of the neuroses .,0.6922105517245354
question.n.01,"And our question is , is such an implication consistent with what we meant ?",0.798844571199032
question.n.01,"The force of the authors ' analysis ( if indeed it has any force ) can be felt by the reader , I believe , only after three questions have been successfully answered .",0.8852486435197376
question.n.01,"Obviously , a satisfactory answer to the third question is imperative , if the argument is to get under way at all , for if there is any possibility of doubt whether the patient 's tactual sensitivity had been impaired by the occipital lesion , any findings whatsoever in regard to the first question become completely ambiguous and fail altogether , of course , as evidence to establish the desired conclusion .",0.8138920067140403
question.n.01,"Obviously , a satisfactory answer to the third question is imperative , if the argument is to get under way at all , for if there is any possibility of doubt whether the patient 's tactual sensitivity had been impaired by the occipital lesion , any findings whatsoever in regard to the first question become completely ambiguous and fail altogether , of course , as evidence to establish the desired conclusion .",0.8138920067140403
question.n.01,"It seems clear , when one takes into consideration the exceedingly defective eyesight of the patient ( we shall describe it in detail in connection with our second question , the one concerning the psychical blindness of the patient ) , that he had to rely on his sense of touch much more than the usual portfolio maker and that consequently that faculty was most probably more sensitive to shape and size than that of a person with normal vision .",0.8327677807682371
question.n.01,"But before we can do this , we must first find answers to our original questions 1 and 2 ; then we shall perhaps be in a position to provide something like a complete answer to the question at hand .",0.8460824865934469
question.n.01,"But before we can do this , we must first find answers to our original questions 1 and 2 ; then we shall perhaps be in a position to provide something like a complete answer to the question at hand .",0.8460824865934469
question.n.01,"Perhaps the very important question - What is , then , exactly the role of kinesthetic sensations in the patient 's ability to recognize forms and shapes by means of the tracing movements when he is actually looking at things ?",0.769724249678184
question.n.01,"The authors set about answering this fundamental question through a detailed investigation of the patient 's ability , tactually , ( 1 ) to perceive figure and ( 2 ) to locate objects in space , with his eyes closed ( or turned away from the object concerned ) .",0.8265484978204838
question.n.01,"To that question the answer is simple ; it can be made in two words , Utopian communism .",0.833759743744553
question.n.01,was a question that had to be asked long before they saw Paree .,0.882701125364047
question.n.01,"When he was asked a question or addressed in such a way that some response was inescapable , he would answer ; if , as often happened , he had to repeat because he had spoken too softly , he would repeat his words in the same way , without emphasis or impatience , only a little louder .",0.8013665241703819
question.n.01,"After a pause , during which he studied Scotty 's face as if Scotty were not there and could not study him too , Mr. McKinley would ask the same questions he had asked downstairs .",0.8489806870507631
question.n.01,"He did not mind the useless , kindly questions .",0.8551077849841515
question.n.01,"And then the questions came , eager , interested questions , and many compliments on his having overcome his infirmity .",0.8317083114143078
question.n.01,"And then the questions came , eager , interested questions , and many compliments on his having overcome his infirmity .",0.8317083114143078
question.n.01,"The Americans , like yourself , take the fact for granted , try to be helpful , but do n't ask questions .",0.7900768857179579
question.n.01,"It was not a discourteous question , Lawrence decided .",0.7904819587211196
question.n.01,He was the guy what always goofed at Question Time .,0.6547845740423225
question.n.01,* * h Then he was asking himself the usual early morning questions : What the Hell am I doin here ?,0.804225263342137
question.n.01,"The chief , annoyed by these questions , knocks Voltaire down and shouts at him that he not only never went to any school , but never even learned how to read .",0.8303868333182177
question.n.01,"He did n't , but it was not really a question , and so he left the room , walked down the hall to the front of the apartment , hesitated , and then knocked lightly on the closed door of the study .",0.7740775633035792
question.n.01,"Fortunately , the embarrassing questions raised by objects do not need to be answered , or we would all have to go sleep in the open fields .",0.8897007888160284
question.n.01,The question frightened Andrei .,0.7663305765325358
question.n.01,`` Connections '' was all he would say with that smooth hurt smile when I put leading questions .,0.8326024088486604
question.n.01,Rector was often curious ; often tempted to ask questions but he never did .,0.8299487013415923
question.n.01,"The evaporative cooler had been moved to Granny 's room , and her door was kept shut ; so that the rest of the house stayed open , though there was a question as to whether it was hotter or cooler that way .",0.6827484273690343
question.n.01,Questions about the show tonight '' .,0.7371961198027823
question.n.01,He hesitated ; the question was too wide for the sparse English language .,0.8477405569189421
question.n.01,"Questions like this , framed in verbal fog , are perhaps the only kind that have ever stumped an experienced politician .",0.8628561343061648
question.n.01,"When a question contains two verbs , the response does not make clear which of them is being answered .",0.7712228072014142
question.n.01,"One of the many things that was so nice about her was that she always took your questions seriously , particularly your very , very serious questions .",0.8306139530925682
question.n.01,"One of the many things that was so nice about her was that she always took your questions seriously , particularly your very , very serious questions .",0.8306139530925682
question.n.01,"From Go ^ ttingen ( 1801 ) where he stayed for 10 days , he wrote , `` The first question asked everywhere is about galvanism .",0.8863951677152134
question.n.01,"If companies will take the time to give objective consideration to their major problems and to the questions they provoke , then a long constructive step will have been taken toward more effective marketing in next decade .",0.8488705435973101
question.n.01,These questions touch the root of confusion in the prosecution 's case .,0.8816078957312918
question.n.01,"The real question was how one passed from anti-Semitism of this sort to murder , and the answer to this question is not to be found in anti-Semitism itself .",0.8161964469287553
question.n.01,These questions have remained one of the great sea mysteries of all time .,0.8748072418107599
question.n.01,"In answering these questions , we need to ask not merely whether Communist troops have crossed over into territories they did not occupy before , and not merely whether disciplined agents of the Cominform are in control of governments from which they were formerly excluded :",0.8270856022879922
question.n.01,But everyone I met had sought cover first and asked questions later .,0.7897322347546715
question.n.01,"No questions , statements , or explanations are permitted - only commands .",0.7906986654020391
question.n.01,"For answers to such questions we must turn to the anthropologists , the biologists , the historians , the psychologists , and the sociologists .",0.8677199946287547
question.n.01,"When some question arises in the medical field concerning cancer , for instance , we do not turn to free and open discussion as in a political campaign .",0.8530972649555643
question.n.01,"As a possible course of action , it also is the center of debate and is raising many questions .",0.8264831470836993
question.n.01,Among these questions :,0.8483920913419609
question.n.01,"The senior policy officer may be moved to think hard about a problem by any of an infinite variety of stimuli : an idea in his own head , the suggestions of a colleague , a question from the Secretary or the President , a proposal by another department , a communication from a foreign government or an American ambassador abroad , the filing of an item for the agenda of the United Nations or of any other of dozens of international bodies , a news item read at the breakfast table , a question to the President or the Secretary at a news conference , a speech by a Senator or Congressman , an article in a periodical , a resolution from a national organization , a request for assistance from some private American interests abroad , et cetera , ad infinitum .",0.8058271459836105
