sense,sentence,centroid_cs
season.n.01,"The crowd at the twenty-first annual K. of C. Games , final indoor meet of the season , got a thrill a few minutes earlier when a slender , bespectacled woman broke the one week old world record in the half-mile run .",0.7695658923021917
season.n.01,Waters injured his left knee in the last game of the 1960 season .,0.8247998007327879
season.n.01,He ran his string of successful conversions this season to 13 straight before one went astray last Saturday night in the 41 - 8 slaughter of Washington State .,0.851429856096502
season.n.01,"Last year , when he worked out at halfback all season , he did n't get into a single game .",0.8031344011127047
season.n.01,"He missed the 1955 season because of an operation on the ailing knee , then played 77 minutes in 1956 .",0.705650899398492
season.n.01,But he was scholastically ineligible in 1959 and merely present last season .,0.8067832947032959
season.n.01,"Tailback James Saxton already has surpassed his rushing total for his brilliant sophomore season , when he netted 271 yards on 55 carries ; he now has 273 yards in 22 tries during three games .",0.7640255760100007
season.n.01,"Saxton has made only one second-half appearance this season and that was in the Washington State game , for four plays : he returned the kickoff 30 yards , gained five yards through the line and then uncorked a 56 - yard touchdown run before retiring to the bench .",0.7938854356168009
season.n.01,It was the first time we 've been ahead this season ( when John Richey kicked what proved to be the winning field goal ) '' .,0.8523515225286961
season.n.01,It was Nischwitz ' third straight victory of the new season and ran the Grizzlies ' winning streak to four straight .,0.8109586109730441
season.n.01,It was the season 's first night game and an obvious refocusing of the lights are in order .,0.8155382001239266
season.n.01,In four of his nine previous seasons Mays hit as many as 25 home runs and stole as many as 25 bases .,0.7184113057318895
season.n.01,"He succeeds Buck Shaw , who retired at the end of last season .",0.8193638324856003
season.n.01,An injury forced Skorich to quit after the 1948 season .,0.7662407792448671
season.n.01,He was there one season before rejoining the Steelers as an assistant coach .,0.7126098373043036
season.n.01,"However , this would require a lengthening of the season from thirteen to fourteen weeks .",0.7239837332844634
season.n.01,Nine of the league 's teams play in baseball parks and therefore face an early season conflict in dates .,0.7850805574733821
season.n.01,"If the Cardinals heed Manager Gene Mauch of the Phillies , they won't be misled by the Pirates ' slower start this season .",0.8171808818881753
season.n.01,"They have the same men , no age problem , no injuries and they also have Vinegar Bend Mizell for the full season , along with Bobby Shantz '' .",0.8585011562628737
