sense,sentence,centroid_cs
tone.n.02,Tone analysis will continue to be difficult and unsatisfactory until a more representative selection of systems is familar to every practicing field linguist .,0.8794997013509388
tone.n.02,"The great majority of present-day linguists fall into one or more of a number of overlapping types : those who are convinced that tone cannot be analysed , those who are personally scared of tone and tone languages generally , those who are convinced that tone is merely an unnecessary marginal feature in those languages where it occurs , those who have no idea how to proceed with tone analysis , those who take a simplistic view of the whole matter .",0.866485744040473
tone.n.02,"With tone , individual differences may be greater than the linguistic contrasts which are superimposed on them .",0.921745316750331
tone.n.02,"Pitch differences from one speaker to another , or from one emotional state to another , may far exceed the small differences between tones .",0.849316104640689
tone.n.02,"However , any such suggestion accounts for only some of the difficulties in hearing tone , or in developing a realistic attitude about tone , but not for the analytic difficulties that occur even when tone is meticulously recorded .",0.9312650732808634
tone.n.02,"However , any such suggestion accounts for only some of the difficulties in hearing tone , or in developing a realistic attitude about tone , but not for the analytic difficulties that occur even when tone is meticulously recorded .",0.9312650732808634
tone.n.02,"However , any such suggestion accounts for only some of the difficulties in hearing tone , or in developing a realistic attitude about tone , but not for the analytic difficulties that occur even when tone is meticulously recorded .",0.9312650732808634
tone.n.02,Tone and intonation often become seriously intermeshed .,0.8835304354880512
tone.n.02,But no other two phonologic systems are as difficult to disentangle as are tone and intonation in some languages .,0.9001740142840181
tone.n.02,"This explanation of tone difficulties , however , does not apply in all languages .",0.9219237948331704
tone.n.02,In some ( the Ewe type mentioned above ) interaction of tone and intonation is restricted to the ends of intonation spans .,0.9035005031469887
tone.n.02,"Still , even in such languages tone analysis has not been as simple as one might expect .",0.896496757856932
tone.n.02,A third explanation is suggested by Richardson 's analysis of Sukuma tone .,0.8325512854651941
tone.n.02,"The inventory of tones is much smaller , and commonly the contrasts range along one single dimension , pitch level .",0.8405856556195008
tone.n.02,"Tonal morphophonemics , in a common case , can do nothing but either raise or lower the tone .",0.8676320517484583
tone.n.01,The general tone of articles appearing in such important newspapers as the Manchester Guardian and the Sunday Observer implies a kindly recognition that the Catholic Church is now at least of equal stature in England with the Protestant churches .,0.7819204570348313
tone.n.01,Rachel 's tone was dry .,0.7451249067474703
tone.n.01,"It began invariably in low tones , almost conversational , and then gradually worked up to high , shrill appeals to God and man .",0.7730571404896294
tone.n.01,"`` You own this place '' ? she said , and her tone had softened until it was almost friendly .",0.887261914046677
tone.n.01,"The policeman 's eyes rather popped for a second ; but then Arlene got another tone in a hurry , and she said , `` If it was n't for these dear children '' - .",0.8050236136267744
tone.n.01,"`` I'm sorry , Mrs. Minks '' , Arlene said in a tone so low you could hardly hear it .",0.8502043759416388
tone.n.01,"One learns to become alert to changes in his vocal tone - to his voice 's suddenly shifting to a quality not like his usual one , a quality which sounds somehow artificial or , in some instances , parrotlike .",0.7967979794900676
tone.n.01,"I could evoke no further elaboration from her about this ; but a few seconds later she was standing directly across the room from me , looking me in the eyes and saying in a scathingly condemnatory tone , `` Your father despises you '' !",0.8413674885851276
tone.n.01,The secretary 's tone indicated that an appointment at such short notice was a concession for which Madden should be duly grateful .,0.853587832881357
tone.n.01,"`` Moriarty '' , my driver suddenly exclaimed with something so definite , so final in his tone I once more repeated the absurdity , mustering all my latent powers of hypocrisy to sound convinced .",0.8874114576110009
tone.n.01,"Spencer 's potential followers were openly sullen and morose , missing muster without excuse , expressing in ominous tones their displeasure at the prisoners being kept in irons , communicating with the three by glance and signal .",0.7338726155307721
tone.n.01,The calmness and detachment of his tone suggested unawareness of how implicit was his own guilt in the words he had used to defend Cromwell .,0.8581358560691599
tone.n.01,"It 's like a flame , I guess '' , she said in a dreamy tone .",0.8478972228216612
