sense,sentence,centroid_cs
talk.v.01,Sports Writer Ensign Ritchie of the Ogden Standard Examiner went to his compartment to talk with him .,0.8135854048188644
talk.v.01,The conductor said to Ritchie : `` I do n't think you want to talk to him .,0.8289251339651206
talk.v.01,He said he had never talked to Liston '' .,0.7739019266891926
talk.v.01,"The more I talked with him , the more convinced I became that that was the secret of their riotous blooming .",0.8287406252406337
talk.v.01,"These are beginnings , but correctly learned they prepare for satisfying and exciting stunts that can be performed by a strong , flexible body ( we are not talking of eccentric extremes ) .",0.5351133870198396
talk.v.01,We talk about national character in the same way that Copernicus talked of the compulsions of celestial bodies to move in circles .,0.6219509122489485
talk.v.01,"While talking with Julian M. Beall , Francisco Archuleta and Juan Marcus appeared , both heavily armed , and after watching the house for a while , rode away .",0.7796695640945814
talk.v.01,"His parents talked seriously and lengthily to their own doctor and to a specialist at the University Hospital - Mr. McKinley was entitled to a discount for members of his family - and it was decided it would be best for him to take the remainder of the term off , spend a lot of time in bed and , for the rest , do pretty much as he chose - provided , of course , he chose to do nothing too exciting or too debilitating .",0.7802182652919515
talk.v.01,"Virginia and Rachel talked to each other quietly now , as allies who are political rather than natural might in a war atmosphere .",0.7951921340737294
talk.v.01,"It really ought to be rebuilt , and he determined to go up and talk to the city banks about this .",0.7811298786865685
talk.v.01,"`` Talk to Mrs. Catt '' , she said .",0.7236292776066168
talk.v.01,"And after Wilson had talked to Mrs. Catt and to others , he was absolutely amazed .",0.8048830615729181
talk.v.01,"When I talked to Ching about it , he said , Everyone can learn , if he is not a Reactionary or lazy .",0.7107304182790634
talk.v.01,"How titillating it was to go among people who did not know him as the composer , but who talked in the most glowing terms of the promise of the piece after having heard the first rehearsals .",0.7820267459303156
talk.v.01,"I have heard people talk with contempt about the British regulars , but that only proves that a lot of people talk about things of which they are deplorably ignorant .",0.7720757915636334
talk.v.01,"He thought that if once , only once , he could talk with Simms Purdew , something about his own life , and all life , would be clear and simple .",0.8259245179992198
talk.v.01,"Before that , he wanted to talk to the neighbors .",0.8008121242047882
talk.v.01,"Mrs. Andrus was talking to the maid , arranging for her to come in every day , instead of the four days she now worked .",0.7948575988642935
talk.v.01,"The master of the house , his nourished face unrevealing , consented to postpone his departure a few minutes to talk to the detective .",0.8098615948632996
talk.v.01,"He sat beside Kate 's bed with the others throughout the morning , talking , talking of God 's will , while Kate lay staring angrily at him .",0.7805543053798722
talk.v.01,"He sat beside Kate 's bed with the others throughout the morning , talking , talking of God 's will , while Kate lay staring angrily at him .",0.7805543053798722
talk.v.01,"Kate had no idea what they were talking of , although she had seen the blue lights and strange fires burning and winking on the ridges at night , had heard horsemen on the River Road and hill trails through the nights till dawn .",0.640860591650927
talk.v.01,"Here , too , she talked low , quirking her head at one or another of the places , most often at Izaak 's armchair which faced her across the long table .",0.7751801093886265
talk.v.01,"She enjoyed great parties when she would sit up talking and dancing and drinking all night , but it always seemed to her that being alone , especially alone in her house , was the realest part of life .",0.7373584778741008
talk.v.01,"Driving along the caliche-topped road to town , Howard talked .",0.7804241737596268
talk.v.01,"She had talked to him right there , with the hot sun in his face , which made him sweat and feel ashamed .",0.7944514879505643
talk.v.01,"Andy told him , `` Bake , I wish you 'd talk to Skolman , see if some kind of p. a. system can be rigged up outside .",0.7476315939644301
talk.v.01,Two friends were talking .,0.7587977078511371
talk.v.01,"`` I have come to talk with you about the future of humor and comedy '' , I told him , at which he started slightly , and then made us each a stiff drink , with a trembling hand .",0.7654682591507729
talk.v.01,"`` This time '' , Arlene said , and she even kept on wiggling a little bit while she was just talking , `` you 're going to tell me what I am and what I'm doing .",0.7727985199813436
talk.v.01,"Dealers would do well to visit such a campground often , look at the equipment and talk with the campers .",0.8323920488838158
talk.v.01,The number depends on who is talking at the moment .,0.7696145213852205
talk.v.01,He thereupon went to London and spent the winter talking to men of wealth .,0.822975716551299
talk.v.01,They talked and wrote much about the elemental functions of the body .,0.7902517441007855
talk.v.01,"But in the meantime the beer runner , unhappy with this solution , telephoned Torrio and returned to O ' Banion with the message : `` Say , Dionie , I just been talking to Johnny , and he said to let them cops have the three hundred .",0.7776719309758471
talk.v.01,We talked after I hailed his Jeep marked with the U. N. flag .,0.7140328794059376
talk.v.01,"One has to talk confidentially with some of the directors of vocational high schools to realize that a boy cannot just say , `` I want to be a plumber '' , and then , by doing good work , find a job .",0.8355690798047707
talk.v.01,"In a far distant part of the United States , I was talking to an instructor about a boy who in the twelfth grade was doing special work .",0.7786868640478655
talk.v.01,"William Wimsatt and Cleanth Brooks , it seems to me , have a penetrating insight into the way in which this control is effected : `` For if we say poetry is to talk of beauty and love ( and yet not aim at exciting erotic emotion or even an emotion of Platonic esteem ) and if it is to talk of anger and murder ( and yet not aim at arousing anger and indignation ) - then it may be that the poetic way of dealing with these emotions will not be any kind of intensification , compounding , or magnification , or any direct assault upon the affections at all .",0.680691912094078
talk.v.01,"William Wimsatt and Cleanth Brooks , it seems to me , have a penetrating insight into the way in which this control is effected : `` For if we say poetry is to talk of beauty and love ( and yet not aim at exciting erotic emotion or even an emotion of Platonic esteem ) and if it is to talk of anger and murder ( and yet not aim at arousing anger and indignation ) - then it may be that the poetic way of dealing with these emotions will not be any kind of intensification , compounding , or magnification , or any direct assault upon the affections at all .",0.680691912094078
talk.v.01,But she was talking of Emile when she saw the black line of the open door ; Sarah remembered it clearly .,0.6928600950508803
talk.v.01,I want to talk to Sarah '' .,0.7704329304871953
talk.v.01,"Try talking to some of the fellows he works with , friends , anyone .",0.79894984437303
talk.v.01,She might have been talking to some of her friends about her husband if they 've been having any trouble '' .,0.8493979657172245
talk.v.01,"Rossi and Ferguson have been across the street , talking to the kid .",0.7900459153818711
talk.v.01,"The lawyer did n't know him very well although he saw him occasionally at some dinner party - Thayer , like himself , Madden reflected , was the extra man so prized by hostesses - and found him easy enough to talk to .",0.8011510387395032
talk.v.01,I 'd like to talk to him '' .,0.7785634377004516
talk.v.01,She wished that she could talk to her mother about it .,0.7619373475034552
talk.v.01,`` We 'll talk over at your office '' .,0.7599540653279326
talk.v.01,Now start talking .,0.7158019381705998
talk.v.01,"Then he took off his wet boots and dropped down into the water to talk with the beasts , needing their comfort more than they needed his .",0.8237814399452962
talk.v.01,"For when he began to talk and dream all at the same time , making his plans as he went , she had begun dreaming too .",0.8059713895518409
talk.v.01,"While he talked you would n't trade being a West Tennessee farmer for being anything else in the whole damned world , no matter if it had n't , in six weeks , rained enough to wet a rat 's ass .",0.7029818970903411
talk.v.01,"He also had , at times , an uncanny absent-minded air like a sleepwalker ; he would look right through you while you were talking to him , and if you said , `` For Christ's sake , Donald , you 've got Prussian blue all over your shirt '' , he would smile , and nod , and an hour later the paint would be all over his pants as well .",0.7836775642331525
talk.v.01,Askington was a kind of goal I set myself ; I had admired him long before I talked to him .,0.7299535470456977
talk.v.01,I had a long talk with him .,0.7258649367120257
talk.v.01,He could certainly talk .,0.7644866497972227
talk.v.01,`` Talk to Whitey Jackson '' .,0.7608902612260907
talk.v.01,"`` I 'll talk to him , all right '' .",0.7798646699063081
talk.v.01,"Mr. Blatz had been at least sober enough to remember to telephone and he turned out to be the greatest boon that had come into Mr. Crombie 's life since he moved to Highfield , in spite of the fact that he did n't work very fast or very long at a time , and he did n't like to work at all unless Mr. Crombie hung around and talked to him .",0.7805337784731521
talk.v.01,So Mr. Crombie sat on a wooden box and talked in order to keep Mr. Blatz 's mind from funny things .,0.8051390634623258
talk.v.01,The President spent much of the week-end at his summer home on Cape Cod writing the first drafts of portions of the address with the help of White House aids in Washington with whom he talked by telephone .,0.7997603970976178
talk.v.01,We 'll not talk out of one side of our mouth in Morris County and out of the other side in Hudson .,0.7665719221002691
talk.v.01,"In an apparent effort to head off such a rival primary slate , Mr. Wagner talked by telephone yesterday with Representative Charles A. Buckley , the Bronx Democratic leader , and with Joseph T. Sharkey , the Brooklyn Democratic leader .",0.777831497170209
talk.v.01,"Talking of the rapid population growth ( upwards of 12000 babies born daily ) with an immigrant entering the United States every 1 - 1 2 minutes , he said `` our organization has not been keeping pace with this challenge '' .",0.6663504586500831
talk.v.01,MRS. Marr is the first contact a Skid Row figure talks to after he decides he wants to pick himself up .,0.7254364455930069
talk.v.01,"It was about that time , a board member said later , that Dr. Thomas G. Pullen , Jr. , State superintendent of schools , told Dr. Jenkins and a number of other education officials that he would not talk to them with a recording machine sitting in front of him .",0.8321412192555395
talk.v.01,"This Sunday those attending the second session will hear a lecture by Kern on the world situation ; a review of the philosophy of Communist leaders by Ted Slack , another real estate agent who became interested as a philosophy major at the University of Miami ; and talks on how their Christian faith can guide them in learning about and fighting Communism during high school and college days , by Ted Place , director of Greater Miami Youth for Christ , and Jon Braun , director of Campus Crusade for Christ .",0.6801001573780382
talk.v.01,"`` To tell you the truth '' , Maris said , `` Mickey do n't talk much '' .",0.7714343714976929
talk.v.01,"Maris , in talking to reporters , tries to answer all questions candidly and fully , but on rare occasions , he shuns newsmen .",0.7712573127366421
talk.v.01,"`` When I 've made a dumb play '' , he says , `` I do n't want to talk to anyone .",0.8104069178622176
