sense,sentence,centroid_cs
pressure.n.01,The pressure gradient producing the jet is due to the nature of the magnetic field in the arc ( rapid decrease of current density from cathode to the anode ) .,0.8515288256769327
pressure.n.01,The argon flow from commercial bottles was regulated by a pressure regulator and measured with a gas flow rator .,0.8604557592773555
pressure.n.01,The face of one block contained a hole 1 16 '' in diameter which led to a manometer for the measurement of the normal pressure .,0.9049109857725667
pressure.n.01,"Two of the fluids showed a high positive normal pressure when undergoing shear , and two showed small negative pressures which were negligible in comparison with the amount of the positive pressures generated by the other two .",0.8310430430326694
pressure.n.01,"Two of the fluids showed a high positive normal pressure when undergoing shear , and two showed small negative pressures which were negligible in comparison with the amount of the positive pressures generated by the other two .",0.8310430430326694
pressure.n.01,"Two of the fluids showed a high positive normal pressure when undergoing shear , and two showed small negative pressures which were negligible in comparison with the amount of the positive pressures generated by the other two .",0.8310430430326694
pressure.n.01,"Figure 3 shows the data on a silicone fluid , labeled 12500 cps which gave a high positive normal pressure .",0.9159743468466393
pressure.n.01,"Although the tape was run for over 1 hr. , a steady state was not reached , and it was concluded that the reason for this was that the back pressure of the manometer was built up from the material fed from between the blocks and this was available at a very slow rate .",0.9008584177895915
pressure.n.01,A system had to be used which did not depend upon the feeding of the fluid into the manometer if measurements of the normal pressure were to be made in a reasonable time .,0.9134485883174132
pressure.n.01,"A back pressure was then introduced , and the rise or fall of the material in the manometer indicated which was greater , the normal pressure in the block or the back pressure .",0.8823674881801418
pressure.n.01,"A back pressure was then introduced , and the rise or fall of the material in the manometer indicated which was greater , the normal pressure in the block or the back pressure .",0.8823674881801418
pressure.n.01,"A back pressure was then introduced , and the rise or fall of the material in the manometer indicated which was greater , the normal pressure in the block or the back pressure .",0.8823674881801418
pressure.n.01,By this method it was determined that the normal pressure exerted by a sample of polybutene ( molecular weight reported to be 770 ) was over half an atmosphere .,0.9051187915798057
pressure.n.01,The actual pressure was not determined because the pressure was beyond the upper limit of the apparatus on hand .,0.8893705776558558
pressure.n.01,The actual pressure was not determined because the pressure was beyond the upper limit of the apparatus on hand .,0.8893705776558558
pressure.n.01,The two fluids which gave the small negative pressures were polybutenes with molecular weights which were stated to be 520 and 300 .,0.8353669016760014
pressure.n.01,This negative pressure is not explained by the velocity head * * f since this is not sufficient to explain the readings by several magnitudes .,0.8602768750321124
pressure.n.01,"However , they do demonstrate the presence of large normal pressures in the presence of flat shear fields which were forecast by the theory in the first part of the paper .",0.8373707873060663
pressure.n.01,They also give information which will aid in the design of a more satisfactory instrument for the measurement of the normal pressures .,0.8429742524401331
pressure.n.01,"The actual change * * f caused by a shear field is calculated by multiplying the pressure differential times the volume , just as it is for any gravitational or osmotic pressure head .",0.8396089757516634
pressure.n.01,"This gives * * f , which is the pressure .",0.767183256238982
pressure.n.01,From this and the force of deformation it should be possible to calculate the elastic energy of deformation which should be equal to the * * f calculated from the pressure normal to the shearing face .,0.8868294738281081
pressure.n.01,"The direction of the tension of minimum pressure is , of course , given by the direction of the major axis of the ellipsoids .",0.8964646605353137
pressure.n.01,"( B ) That because of the low viscosity of the fluid , the internal pressure is the same in all directions .",0.9160350330197491
pressure.n.01,"Just as the pressure exerted by surface tension in a spherical drop is * * f and the pressure exerted by surface tension on a cylindrical shape is * * f , the pressure exerted by any curved surface is * * f , where |g is the interfacial tension and * * f and * * f are the two radii of curvature .",0.8495808954740944
pressure.n.01,"Just as the pressure exerted by surface tension in a spherical drop is * * f and the pressure exerted by surface tension on a cylindrical shape is * * f , the pressure exerted by any curved surface is * * f , where |g is the interfacial tension and * * f and * * f are the two radii of curvature .",0.8495808954740944
pressure.n.01,"Just as the pressure exerted by surface tension in a spherical drop is * * f and the pressure exerted by surface tension on a cylindrical shape is * * f , the pressure exerted by any curved surface is * * f , where |g is the interfacial tension and * * f and * * f are the two radii of curvature .",0.8495808954740944
pressure.n.01,"If a is the major axis of an ellipsoid and b and c are the other two axes , the radius of curvature in the ab plane at the end of the axis is * * f , and the difference in pressure along the a and b axes is * * f .",0.8811778538192878
pressure.n.01,"If it is assumed that the formula given by Lodge of * * f , cosec 2lc applies , the pressure difference along the major axes can be calculated from the angle of inclination of the major axis , and from this the interfacial tension can be calculated .",0.8894934695432085
pressure.n.01,The internal energy of an ideal gas depends on temperature only and is independent of pressure or volume .,0.8130311534863461
pressure.n.01,"Note that though the ideal gas itself contains no additional energy , the compressed gas does exert an increased pressure .",0.8925624076326522
pressure.n.01,Both types of tube withstood the pressure of approximately 20 atmospheres exerted by the carbon tetrachloride at 220 ` .,0.8953865430482112
pressure.n.01,"Two types of light source were used , a thousand watt projection lamp and an AH6 high pressure mercury arc .",0.7039847903373877
pressure.n.01,"Whipple ( 1955 ) extends the effects to include the solar corpuscular radiation pressure , which increases both the minimum particle size and the drag .",0.8688351530579094
pressure.n.01,"The radius is calculated from the mass by assuming spheres of density * * f except for the smallest particles , which must have a higher mass density to remain in the solar system in the presence of solar radiation pressure .",0.7761727859327943
pressure.n.01,"For protein identification , fractions from the column were concentrated by pervaporation against a stream of air at 5 ` C or by negative pressure dialysis in an apparatus which permitted simultaneous concentration of the protein and dialysis against isotonic saline .",0.7902733969349931
pressure.n.01,"Because negative pressure dialysis gave better recovery of proteins , permitted detection of proteins concentrated from very dilute solutions and was a gentler procedure , it was used in all but the earliest experiments .",0.796163259402985
pressure.n.01,"When paper electrophoresis was to be used for preparation , eight strips of a whole serum sample or a chromatographic fraction concentrated by negative pressure dialysis were run / chamber under the conditions described above .",0.808018892794514
pressure.n.01,"Fractions from the column which were to be subjected to analytical ultracentrifugation were concentrated by negative pressure dialysis and dialyzed for 16 hr in the cold against at least 500 volumes of phosphate buffered saline , pH 7.2 , ionic strength 0.154 .",0.7747487963811356
pressure.n.01,"For preparative ultracentrifugation , fractions from the column were concentrated by negative pressure dialysis to volumes of 1 ml or less , transferred to cellulose tubes and diluted to 12 ml with isotonic saline .",0.792686425060246
pressure.n.01,"Moreover , after concentration using negative pressure dialysis , agglutinin activity could sometimes be detected in the region designated 2a ( donors P. J. , D. A. , and J. F. , Fig. 1 ) .",0.7911067485472111
pressure.n.01,"In criticism of the latter 's views , his conclusions were based upon dog lung injection studies in which all of the vascular channels were first filled with a solution under pressure and then were injected with various sized colored particles designed to stop at the arteriolar level .",0.7681688806470149
pressure.n.01,"As early as 1913 Ghoreyeb and Karsner demonstrated with perfusion studies in dogs that bronchial artery flow would remain constant at a certain low level when pressure was maintained in the pulmonary artery and vein , but that increases in bronchial artery flow would occur in response to a relative drop in pulmonary artery pressure .",0.8283843221195598
pressure.n.01,"As early as 1913 Ghoreyeb and Karsner demonstrated with perfusion studies in dogs that bronchial artery flow would remain constant at a certain low level when pressure was maintained in the pulmonary artery and vein , but that increases in bronchial artery flow would occur in response to a relative drop in pulmonary artery pressure .",0.8283843221195598
pressure.n.01,"Our own studies in which bronchial artery pulmonary artery anastomoses were demonstrated , were accomplished by injecting the bronchial artery first with no pressure on the pulmonary artery or vein , and then by injecting the pulmonary artery and vein afterwards .",0.7523849215604593
pressure.n.01,"It is distinctly possible , therefore , that simultaneous pressures in all three vessels would have rendered the shunts inoperable and hence , uninjectable .",0.845777121058717
pressure.n.01,"As for the night being warm , he would have been comfortable naked on Mount Everest but his water brothers had little tolerance for changes in temperature and pressure ; he was considerate of their weakness , once he learned of it .",0.8420878974732876
pressure.n.01,"In the lower center rack an 8 - channel recorder indicates the percentage of carbon dioxide and nitrogen from the upper and lower lobes of one lung , the total volume of inhalation per breath , the flow of air from both lobes , and the pressure of the two lobes with respect to each other .",0.8351390617549257
pressure.n.01,"It is also possible to utilize a pressure transducer , mounted at the end of a catheter which is inserted into the heart 's left ventricle , to indicate the blood pressure in the heart itself .",0.8026211761170621
pressure.n.01,This pressure measurement may be made at the same time that the ultrasonic dimensioning measurement is made .,0.8672633341826445
pressure.n.01,"From this doctors can read heart rate , change in diameter , pressure , and effective heart power .",0.8113386873220725
pressure.n.01,Several years ago headlines were made by a small radio transmitter capsule which could be swallowed by the patient and which would then radio internal pressure data to external receivers .,0.8259010798839683
pressure.n.01,In this novel arrangement the `` pill '' is much smaller and contains only a resonant circuit in which the capacitor is formed by a pressure sensing transducer .,0.8606938427586487
pressure.n.01,"These frequencies are amplified and detected by the FM receiver after each burst of transmitted energy and , after the `` pill '' has been calibrated , precise internal pressure indications can be obtained .",0.8524331245726868
pressure.n.01,It consists of a series of pipes and a pressure measuring chamber which record the rise and fall of the water surface .,0.874195296534389
pressure.n.01,"In one of these , an exploding wire device to study systems thermodynamically up to 6000 * * f and 100 atmospheres pressure , a major goal was achieved .",0.8096851138685849
pressure.n.01,"It has also been observed , in helium 2 , , that large discrepancies can exist between surface vapor pressures and those pressures measured by a vapor pressure thermometer .",0.8317203778247714
pressure.n.01,Precise pressure volume temperature measurements on corrosive gases are dependent on a sensitive yet rugged pressure transducer .,0.831789683012925
pressure.n.01,Precise pressure volume temperature measurements on corrosive gases are dependent on a sensitive yet rugged pressure transducer .,0.831789683012925
pressure.n.01,A small pressure unbalance displaces the diaphragm and changes the capacitance between the diaphragm and an electrically insulated plate spaced 0.001 in. apart ( for * * f ) .,0.8774664025693424
pressure.n.01,Spherical concave backing surfaces support the diaphragm when excessive pressures are applied and prevent the stresses within the diaphragm from exceeding the elastic limit .,0.8216041896524902
pressure.n.01,"Over a temperature range from 25 to 200 * * f and at pressures up to 250 atm , an overload of 300 psi , applied for a period of one day , results in an uncertainty in the pressure of , at most , one millimeter of mercury .",0.8802033914206401
pressure.n.01,"Over a temperature range from 25 to 200 * * f and at pressures up to 250 atm , an overload of 300 psi , applied for a period of one day , results in an uncertainty in the pressure of , at most , one millimeter of mercury .",0.8802033914206401
pressure.n.01,"The results of the study , based on collision integrals computed from the latest critically evaluated data on intermolecular forces in air , will be reported in the form of a table of viscosity , thermal conductivity , thermal diffusion , and diffusion coefficients at temperatures of 1000 to 10000 * * f and of logarithm of pressure in atmospheres from * * f to * * f times normal density .",0.8779816170345379
pressure.n.01,Curt 's fingers put a little more pressure on the trigger of his gun .,0.6406552709631816
pressure.n.02,`` I think the big thing about the game was that our kids for the third straight week stayed in there pitching and kept the pressure on .,0.7811977965203094
pressure.n.02,"With the neutralists maintaining pressure for one of their own to succeed Mr. Hammarskjold , U Thant emerged as the only possible candidate unlikely to be waylaid by a veto .",0.8490874052477941
pressure.n.02,"In a sense , the showdown promised by Mr. Hammarskjold 's sudden and tragic death has been avoided ; no precedents have been set as yet ; structurally , the U.N. is still fluid , vulnerable to the pressures that its new and enlarged membership are bringing to bear upon it .",0.8157040149695781
pressure.n.02,Lee renewed his pressure on Mrs. Shaefer to buy his machine when she visited him the next day .,0.7865439351052598
pressure.n.02,"Accounts have been published of Northern liberals in the South up against segregationist prejudice , especially in state-supported universities where pressure may be strong to uphold the majority view .",0.8473300857262072
pressure.n.02,"That he mastered every aspect of his medium according to his own great talents and contemporary judgments , is a good and solid symbol of his people under the tremendous pressures of proclaiming and practising the rigors of a new culture ; and perhaps of even greater significance - his music is strong 20 th Century evidence of the effectiveness of Evolution , based on a broad Traditionalism for the creative art of music .",0.8026153481772088
pressure.n.02,"Despite generally good levels of income , we see greater price pressures than ever before - traveling back along the chain from consumer to distributor to manufacturer .",0.8063718757282143
pressure.n.02,"Some distribution costs are kept up by competitive pressure , some by the fact that the customers have come to expect certain niceties and flourishes .",0.8875127100089264
pressure.n.02,"The National Parks , always popular camping places , are facing the same pressure .",0.8519233513581814
pressure.n.02,In six months O ' Banion had boosted the profits to $ 100000 a month - mainly by bringing pressure to bear on fifty Chicago speak-easy proprietors to shift out to the suburb .,0.8521108401965174
pressure.n.02,"And contrary to what has been said recently , we did not wait for `` outside pressures '' and `` world opinion '' to bring down that Communist government ; we moved decisively to effect an anti Communist coup d ' etat .",0.8117687707467554
